,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Gldani,Varketili,€,Old Tbilisi (Старый город),Авлобари,Vake,Батуми,Центр,desc_en
81,81,23-07-2020 17:19:02,Batumi,7c2ccfb3f3,Мефедрон 3г,,нет,3,Батуми,3 гр,0.0328,24837,9853,835,350.0,,,,,,,,,True,,Mefedron 3g
82,82,23-07-2020 17:19:02,Batumi,7c2ccfb3f3,Таблы Punisher 300 mg. 5шт.,,нет,5,Батуми,5 гр,0.0394,29804,11823,1002,420.0,,,,,,,,,True,,Tably Punisher 300 mg. 5sht.
83,83,23-07-2020 17:19:02,Batumi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,4,Батуми,10 гр,0.053,36163,14322,1210,,,,,,440.0,,,,True,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
84,84,23-07-2020 17:19:02,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Батуми,11 гр,0.047,32054,12695,1072,,,,,,390.0,,,,True,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
85,85,23-07-2020 17:19:02,Batumi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,2,Батуми,11 гр,0.0481,32794,12987,1097,,,,,,399.0,,,,True,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
86,86,23-07-2020 17:19:02,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1641,112990,51992,3805,,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
87,87,23-07-2020 17:19:02,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2599,178900,82321,6024,,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
88,88,23-07-2020 17:19:02,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0094,7096,2815,239,100.0,,,,,,,,,True,,kur'er v Batumi
89,89,23-07-2020 17:19:02,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0234,17741,7038,596,250.0,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
90,90,23-07-2020 17:19:02,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0234,17741,7038,596,250.0,,,,,,,,,True,,Ischu kur'era v Gruzii!
91,91,23-07-2020 17:19:02,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0206,14193,5630,477,200.0,,,,,,,,,True,,Kur'er Batumi na marihuanu
92,92,23-07-2020 17:19:02,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5602,1064445,422250,35781,15000.0,,,,,,,,,True,,Vakansija optovogo kur'era na mef
93,93,23-07-2020 17:19:02,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,2,Батуми,1000 гр,0.0515,35482,14075,1193,500.0,,,,,,,,,,True,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
