,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Vake,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
53,53,05-03-2020 13:25:00,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.0856,52863,19904,1785,800.0,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
54,54,05-03-2020 13:25:00,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2382,147024,55358,4964,2225.0,,,,,,,,,Amfetamin [White] [Import] 10G
55,55,05-03-2020 13:25:00,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,10,Тбилиси,10 гр,0.1567,95748,36051,3233,1449.0,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
56,56,05-03-2020 13:25:00,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0399,24383,9181,823,369.0,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
57,57,05-03-2020 13:25:00,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,4,Тбилиси,10 гр,0.0323,19757,7439,667,299.0,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
58,58,05-03-2020 13:25:00,Tbilisi,c9a56b2b4a,20x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,20 гр,0.0757,46255,17416,1562,700.0,,,,,,,,,20x Extasy Duracell 223mg MDMA.
59,59,05-03-2020 13:25:00,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0648,39581,14903,1336,599.0,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
60,60,05-03-2020 13:25:00,Tbilisi,64284550d9,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.0719,46255,17416,1562,700.0,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
61,61,05-03-2020 13:25:00,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1168,79294,29856,2677,1200.0,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
62,62,05-03-2020 13:25:00,Tbilisi,64284550d9,50G -- HYBRID-> Скидка 5% за BTC,True,нет,1,Тбилиси,50 гр,0.1026,66012,24855,2229,999.0,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
