,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Nadzaladevi,Дигоми,€,Didube,Saburtalo,Gldani,Vake,Old Tbilisi (Старый город),Авлобари,Varketili,Батуми,Центр,Кутаиси,desc_en
68,68,14-07-2020 12:33:47,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,True,нет,5,Тбилиси,10 гр,0.0524,35241,13622,1204,,,,440.0,,,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
69,69,14-07-2020 12:34:22,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,5,Тбилиси,11 гр,0.0465,31237,12074,1068,,,,390.0,,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
70,70,14-07-2020 12:34:22,Tbilisi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",True,нет,3,Тбилиси,11 гр,0.0476,31957,12353,1092,,,,399.0,,,,,,,,,,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
71,71,14-07-2020 12:34:22,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 15 гр",True,нет,1,Тбилиси,15 гр,0.0617,45986,17765,1572,650.0,,,,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
72,72,14-07-2020 12:34:22,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2506,169795,65592,5804,2400.0,,,,,,,,,,,,,,100 gr marijuana buds
73,73,14-07-2020 12:34:22,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.261,176870,68325,6046,2500.0,,,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
74,74,14-07-2020 12:34:22,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.616,417413,161247,14269,5900.0,,,,,,,,,,,,,,180 gr marihuana persoalno
75,75,14-07-2020 12:34:22,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8874,601357,232305,20557,8500.0,,,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
76,76,14-07-2020 12:34:22,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.019,14150,5466,484,200.0,,,,,,,,,,,,,,KURYER..500RUB.+BONUS
77,77,14-07-2020 12:34:22,Tbilisi,83f3d55917,Ишем куриера в тбилиси!! срочно!! толко марихуана!!,True,1,нет,Тбилиси,1 гр,0.0157,10612,4100,363,150.0,,,,,,,,,,,,,,Ishem kuriera v tbilisi!! srochno!! tolko marihuana!!
78,78,14-07-2020 12:34:22,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,1,нет,Тбилиси,1 гр,0.0261,17687,6833,605,250.0,,,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
79,79,14-07-2020 12:34:22,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,1,Тбилиси,1 гр,0.0209,14150,5466,484,200.0,,,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
80,80,14-07-2020 12:34:22,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,3,Тбилиси,1 гр,0.0261,17687,6833,605,250.0,,,,,,,,,,,,,,Rabota na marki (kur'er)
81,81,14-07-2020 12:34:22,Tbilisi,52fe6d0af9,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,True,нет,1,Тбилиси,5 гр,0.0522,35374,13665,1209,500.0,,,,,,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
82,82,14-07-2020 12:34:22,Tbilisi,ae784bef73,Работа курьером,True,нет,1,Тбилиси,10 гр,0.019,14150,5466,484,200.0,,,,,,,,,,,,,,Rabota kur'erom
83,83,14-07-2020 12:34:22,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5802,1061219,409950,36278,15000.0,,,,,,,,,,,,,,Vakansija optovogo kur'era na mef
84,84,14-07-2020 12:34:22,Tbilisi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,3,Тбилиси,1000 гр,0.0522,35374,13665,1209,500.0,,,,,,,True,True,,True,,,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
85,85,14-07-2020 12:36:02,Batumi,f8a875c191,METADON - 0.30 - SALE,,5,5,Батуми,0.3 гр,0.0316,21224,8199,726,300.0,,,,,,,,,,,True,,,METADON - 0.30 - SALE
86,86,14-07-2020 12:36:02,Batumi,3b3ba4f5a5,Мелкие шишки (Indica) 2г,,14,нет,Батуми,2 гр,0.0044,2971,1148,102,42.0,,,,,,,,,,,True,,,Melkie shishki (Indica) 2g
87,87,14-07-2020 12:36:02,Batumi,75738ec358,ASTRAL 3g,,2,нет,Батуми,3 гр,0.0256,19102,7379,653,270.0,,,,,,,,,,,True,,,ASTRAL 3g
88,88,14-07-2020 12:36:02,Batumi,3b3ba4f5a5,Мощные шишки Y-Griega (Sativa) 5г,,1,нет,Батуми,5 гр,0.0365,24762,9566,846,350.0,,,,,,,,,,,True,,,Moschnye shishki Y-Griega (Sativa) 5g
89,89,14-07-2020 12:36:02,Batumi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,2,Батуми,1 гр,0.0369,24829,9598,849,,,,310.0,,,,,,,,True,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
90,90,14-07-2020 12:36:02,Batumi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,4,Батуми,10 гр,0.0524,35241,13622,1204,,,,440.0,,,,,,,,True,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
91,91,14-07-2020 12:36:02,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Батуми,11 гр,0.0464,31237,12074,1068,,,,390.0,,,,,,,,True,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
92,92,14-07-2020 12:36:02,Batumi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,2,Батуми,11 гр,0.0475,31957,12353,1092,,,,399.0,,,,,,,,True,,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
