,time_stamp,region,sell_code,sell_name,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Gldani,Vazisubani,Saburtalo,Vake,Didube,Nadzaladevi,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
66,18-06-2020 17:43:36,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5559,1044270,403500,35718,,True,15000,,,,,,,,,,,Vakansija optovogo kur'era na mef
67,18-06-2020 17:44:53,Batumi,EIH4,San4oPan4o,!! БАТУМИ!! !!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!! !! БАТУМИ !!,,18,нет,Батуми,0.25 гр,0.0146,10100,3915,346,129,,,,,,,,,,,True,,!! BATUMI!! !!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!! !! BATUMI !!
68,18-06-2020 17:44:53,Batumi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),,2,нет,Батуми,5 гр,0.0311,20885,8070,714,,,300,,,,,,,,,True,,Metamfetamin ratsemat 5 g. (MQ)
69,18-06-2020 17:44:53,Batumi,XH0NP,XX-PABLO-XX,METADON - 025,,нет,4,Батуми,0.25 гр,0.0363,24366,9415,833,,,350,,,,,,,,,True,,METADON - 025
70,18-06-2020 17:44:53,Batumi,GGVQZ,KARAVANos,Мощные шишки NORTHERN LIGHTS (INDICA) 10г,,нет,3,Батуми,10 гр,0.0432,29240,11298,1000,,,420,,,,,,,,,True,,Moschnye shishki NORTHERN LIGHTS (INDICA) 10g
71,18-06-2020 17:44:53,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1668,112990,51992,3868,,,,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
72,18-06-2020 17:44:53,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2642,178900,82321,6124,,,,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
73,18-06-2020 17:44:53,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0093,6962,2690,238,,,100,,,,,,,,,True,,kur'er v Batumi
74,18-06-2020 17:44:53,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0234,17405,6725,595,,,250,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
75,18-06-2020 17:44:53,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0234,17405,6725,595,,,250,,,,,,,,,True,,Ischu kur'era v Gruzii!
76,18-06-2020 17:44:53,Batumi,GGVQZ,KARAVANos,Курьер Батуми на марихуану,,нет,2,Батуми,5 гр,0.0206,13924,5380,476,,,200,,,,,,,,,True,,Kur'er Batumi na marihuanu
77,18-06-2020 17:44:53,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5559,1044270,403500,35718,,,15000,,,,,,,,,True,,Vakansija optovogo kur'era na mef
78,18-06-2020 17:44:53,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0514,34809,13450,1191,,,500,,,,,,,,,True,True,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
