,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Gldani,Vazisubani,Saburtalo,Vake,Didube,Nadzaladevi,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
43,43,19-06-2020 11:45:20,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0436,29240,11298,1000,,True,420.0,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
44,44,19-06-2020 11:45:20,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0831,55694,21520,1905,,True,800.0,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
45,45,19-06-2020 11:45:20,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2311,154900,59853,5299,,True,2225.0,,,,,,,,,,,Amfetamin [White] [Import] 10G
46,46,19-06-2020 11:45:20,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,9,Тбилиси,10 гр,0.1636,108534,41937,3713,,True,1559.0,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
47,47,19-06-2020 11:45:20,Tbilisi,dd631c4acf,💘✨10gram MDMA ✨💘,,нет,5,Тбилиси,10 гр,0.0828,54929,21224,1879,,True,789.0,,,,,,,,,,,💘✨10gram MDMA ✨💘
48,48,19-06-2020 11:45:20,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,8,Тбилиси,10 гр,0.0387,25689,9926,879,,True,369.0,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
49,49,19-06-2020 11:45:20,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,1,Тбилиси,11 гр,0.0459,30534,11798,1044,390.0,True,,,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
50,50,19-06-2020 11:45:20,Tbilisi,dd631c4acf,✨💘20g MDMA💘✨,,нет,3,Тбилиси,20 гр,0.1417,104427,40350,3573,,True,1500.0,,,,,,,,,,,✨💘20g MDMA💘✨
51,51,19-06-2020 11:45:20,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0628,41701,16113,1427,,True,599.0,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
52,52,19-06-2020 11:45:20,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,,нет,5,Тбилиси,50 гр,0.1349,90434,34943,3094,,True,1299.0,,,,,,,,,,,50 gr georgian weed. Package on magnet
53,53,19-06-2020 11:45:20,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,,нет,4,Тбилиси,100 гр,0.2596,173975,67223,5952,,True,2499.0,,,,,,,,,,,100 gr georgian weed. Package on magnet
54,54,19-06-2020 11:45:20,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2493,167083,64560,5716,,True,2400.0,,,,,,,,,,,100 gr marijuana buds
55,55,19-06-2020 11:45:20,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2078,139236,53800,4763,,True,2000.0,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
56,56,19-06-2020 11:45:20,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2597,174045,67250,5954,,True,2500.0,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
57,57,19-06-2020 11:45:20,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6129,410746,158710,14052,,True,5900.0,,,,,,,,,,,180 gr marihuana persoalno
58,58,19-06-2020 11:45:20,Tbilisi,e56bb6ca93,200gr Georgian indica dominant buds. WHOLESALE PRICE!,,нет,4,Тбилиси,200 гр,0.4455,295877,114325,10122,,True,4250.0,,,,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
59,59,19-06-2020 11:45:20,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.4778,320243,123740,10956,,True,4600.0,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
60,60,19-06-2020 11:45:20,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.7791,522135,201750,17863,,True,7500.0,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
61,61,19-06-2020 11:45:20,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.883,591753,228650,20244,,True,8500.0,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
62,62,19-06-2020 11:45:20,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0189,13924,5380,476,,True,200.0,,,,,,,,,,,KURYER..500RUB.+BONUS
63,63,19-06-2020 11:45:20,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.0208,13924,5380,476,,True,200.0,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
64,64,19-06-2020 11:45:20,Tbilisi,54915c4374,Работа на марки (курьер),,нет,4,Тбилиси,1 гр,0.0026,1740,673,60,,True,25.0,,,,,,,,,,,Rabota na marki (kur'er)
65,65,19-06-2020 11:45:20,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5723,1044270,403500,35726,,True,15000.0,,,,,,,,,,,Vakansija optovogo kur'era na mef
66,66,19-06-2020 11:46:50,Batumi,be97026d1d,!! БАТУМИ!! !!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!! !! БАТУМИ !!,,17,нет,Батуми,0.25 гр,0.0136,9317,3600,319,119.0,,,,,,,,,,,True,,!! BATUMI!! !!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!! !! BATUMI !!
67,67,19-06-2020 11:46:50,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,1,нет,Батуми,5 гр,0.0315,20885,8070,715,,,300.0,,,,,,,,,True,,Metamfetamin ratsemat 5 g. (MQ)
68,68,19-06-2020 11:46:50,Batumi,f8a875c191,METADON - 025,,1,4,Батуми,0.25 гр,0.0367,24366,9415,834,,,350.0,,,,,,,,,True,,METADON - 025
69,69,19-06-2020 11:46:50,Batumi,3b3ba4f5a5,Мощные шишки NORTHERN LIGHTS (INDICA) 10г,,нет,3,Батуми,10 гр,0.0436,29240,11298,1000,,,420.0,,,,,,,,,True,,Moschnye shishki NORTHERN LIGHTS (INDICA) 10g
70,70,19-06-2020 11:46:50,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1687,112990,51992,3873,,,,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
71,71,19-06-2020 11:46:50,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.267,178900,82321,6133,,,,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
72,72,19-06-2020 11:46:50,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0094,6962,2690,238,,,100.0,,,,,,,,,True,,kur'er v Batumi
73,73,19-06-2020 11:46:50,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0236,17405,6725,595,,,250.0,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
74,74,19-06-2020 11:46:50,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0236,17405,6725,595,,,250.0,,,,,,,,,True,,Ischu kur'era v Gruzii!
75,75,19-06-2020 11:46:50,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,2,Батуми,5 гр,0.0208,13924,5380,476,,,200.0,,,,,,,,,True,,Kur'er Batumi na marihuanu
76,76,19-06-2020 11:46:50,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5729,1044270,403500,35726,,,15000.0,,,,,,,,,True,,Vakansija optovogo kur'era na mef
77,77,19-06-2020 11:46:50,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.052000000000000005,34809,13450,1191,,,500.0,,,,,,,,,True,True,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
