,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Vake,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
86,16-02-2020 07:49:08,Tbilisi,V4QM9,PotHero420,"Godfather OG - (Only Buds, IMPORT) Шишки(всегда подъезд) 10G (BTC sale 10%) (предзаказ будет сделан очень оперативно)",True,нет,5,Тбилиси,10 гр,0.0352,25318,9831,877,399,,,,,,,,,"Godfather OG - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 10G (BTC sale 10%) (predzakaz budet sdelan ochen' operativno)"
87,16-02-2020 07:49:08,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.216,141184,54824,4892,2225,,,,,,,,,Amfetamin [White] [Import] 10G
88,16-02-2020 07:49:08,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,1,Тбилиси,10 гр,0.0293,18973,7367,657,299,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
89,16-02-2020 07:49:08,Tbilisi,NVOG,ProperMgzn,15x Extasy Duracell 223mg MDMA.,True,нет,10,Тбилиси,15 гр,0.0441,28554,11088,989,450,,,,,,,,,15x Extasy Duracell 223mg MDMA.
90,16-02-2020 07:49:08,Tbilisi,7B8EQ,w1ld1nd1an,"20g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,8,Тбилиси,20 гр,0.2912,209397,81312,7255,3300,,,,,,,,,"20g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
91,16-02-2020 07:49:08,Tbilisi,ABOAB,ProGrow,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.0559,38072,14784,1319,600,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
92,16-02-2020 07:49:08,Tbilisi,RGIUB,SaintJoint,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1059,76144,29568,2638,1200,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
93,16-02-2020 07:49:08,Tbilisi,9VVG,ToWeedShop,Hybrid Skunk! 50 gr,True,нет,2,Тбилиси,50 гр,0.0922,60281,23408,2089,950,,,,,,,,,Hybrid Skunk! 50 gr
94,16-02-2020 07:49:08,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.1942,126907,49280,4397,2000,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
95,16-02-2020 07:49:08,Tbilisi,9VVG,ToWeedShop,Hybrid Skunk! 100 gr,True,нет,1,Тбилиси,100 гр,0.1747,114216,44352,3957,1800,,,,,,,,,Hybrid Skunk! 100 gr
96,16-02-2020 07:49:08,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2427,158634,61600,5497,2500,,,,,,,,,Marihuana [Shishki] [Gali] 100G
97,16-02-2020 07:49:08,Tbilisi,F8K,BestAcid,"марки 25i-nbome 2,5mg (100шт)",True,нет,2,Тбилиси,100 гр,0.0379,27285,10595,945,430,,,,,,,,,"marki 25i-nbome 2,5mg (100sht)"
98,16-02-2020 07:49:08,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4465,291887,113344,10114,4600,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
99,16-02-2020 07:49:33,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7281,475902,184800,16490,7500,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
100,16-02-2020 07:49:33,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8251,539356,209440,18688,8500,,,,,,,,,10000sht marki 25i-nbome. predoplata
101,16-02-2020 07:49:33,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0177,12691,4928,440,200,,,,,,,,,KURYER..500RUB.+BONUS
102,16-02-2020 07:49:33,Tbilisi,3TGJ9,Elegant,Требуется Курьер,True,1,нет,Тбилиси,1 гр,0.0177,12691,4928,440,200,,,,,,,,,Trebuetsja Kur'er
103,16-02-2020 07:49:33,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0194,12691,4928,440,200,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
104,16-02-2020 07:49:33,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0243,15863,6160,550,250,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
105,16-02-2020 07:49:33,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.4694,951804,369600,32979,15000,,,,,,,,,Vakansija optovogo kur'era na mef
