,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Дигоми,Old Tbilisi (Старый город),Авлобари,Varketili,Vake,Батуми,Центр,desc_en
24,24,24-07-2020 11:26:11,Tbilisi,83f3d55917,Badazz Kush 3G VHQ 25% THC,True,3,нет,Тбилиси,3 гр,0.0136,9225,3647,310,,,130.0,,,,,,,,Badazz Kush 3G VHQ 25% THC
25,25,24-07-2020 11:26:11,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 3gramm (special price),,4,нет,Тбилиси,3 гр,0.0109,8161,3226,274,,True,115.0,,,,,,,,Northern Lights Regular [budsonly] 3gramm (special price)
26,26,24-07-2020 11:26:11,Tbilisi,e771f4c371,Skunk 4.2G (23 % THC) FROM EUROPE,,1,нет,Тбилиси,4.2 гр,0.0219,14902,5891,501,,True,210.0,,,,,,,,Skunk 4.2G (23 % THC) FROM EUROPE
27,27,24-07-2020 11:26:11,Tbilisi,4a91350669,5 ecstasy red maseratti VHQ екстази импорт с США,,2,нет,Тбилиси,5 гр,0.0219,14902,5891,501,,True,210.0,,,,,,,,5 ecstasy red maseratti VHQ ekstazi import s SShA
28,28,24-07-2020 11:26:11,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,1,нет,Тбилиси,5 гр,0.0292,19870,7854,668,,True,280.0,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
29,29,24-07-2020 11:26:11,Tbilisi,7c395c455d,5 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,1,нет,Тбилиси,5 гр,0.0282,19160,7574,644,,True,270.0,,,,,,,,5 marijuana BUDS northen lights 24% THC ShIShKI!!!
30,30,24-07-2020 11:26:11,Tbilisi,8528108b62,5g. марихуана шишки Critical,,1,нет,Тбилиси,5 гр,0.0185,13838,5470,465,,True,195.0,,,,,,,,5g. marihuana shishki Critical
31,31,24-07-2020 11:26:11,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 5гр",,1,1,Тбилиси,5 гр,0.0228,17031,6732,573,,True,240.0,True,,,,,,,"Hindu Kush (photoperiod, regular) 5gr"
32,32,24-07-2020 11:26:11,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 20gramm special price,,1,нет,Тбилиси,20 гр,0.055,41159,16269,1384,,True,580.0,,,,,,,,Northern Lights Regular [budsonly] 20gramm special price
33,33,24-07-2020 11:26:11,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2105,141926,56100,4771,,True,2000.0,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
34,34,24-07-2020 11:26:11,Tbilisi,9610a68a0a,suboxsone 0.4 g,,нет,7,Тбилиси,0.4 гр,0.0042,2839,1122,95,,True,40.0,,,,,,,,suboxsone 0.4 g
35,35,24-07-2020 11:26:11,Tbilisi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,4,Тбилиси,1 гр,0.0378,25479,10066,856,310.0,True,,,,,,,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
36,36,24-07-2020 11:27:02,Tbilisi,7c395c455d,10 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,10,Тбилиси,4 гр,0.0417,28385,11220,954,,True,400.0,,,,,,,,10 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
37,37,24-07-2020 11:27:02,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,нет,10,Тбилиси,5 гр,0.0261,17741,7013,596,,True,250.0,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
