,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,Gldani,Varketili,€,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
103,103,27-03-2020 00:42:24,Batumi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 6 штук!!!!,,6,нет,Батуми,6 гр,0.0121,7479,2717,245,95.0,,,,,,,,,True,,Bozhestvennyj ejforik!!! Marki nboooom!!! 6 shtuk!!!!
104,104,27-03-2020 00:42:24,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.3077,173189,62920,5674,2200.0,,,,,,,,,True,,[100g] SPAIN HASH
105,105,27-03-2020 00:42:24,Batumi,f8a875c191,METADON - BATUMI - 0.27 G,,нет,5,Батуми,0.27 гр,0.0321,17870,6492,585,227.0,,,,,,,,True,,,METADON - BATUMI - 0.27 G
106,106,27-03-2020 00:42:24,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,14,Батуми,5 гр,0.0254,15744,5720,516,200.0,,,,,,,,,True,,Metamfetamin ratsemat 5 g. (MQ)
107,107,27-03-2020 00:42:24,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2825,157445,57200,5158,2000.0,,,,,,,,,True,,SUBOXIN - HQ - 100 G.
108,108,27-03-2020 00:42:24,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.2119,118083,42900,3868,1500.0,,,,,,,,,True,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
109,109,27-03-2020 00:42:24,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0127,7872,2860,258,100.0,,,,,,,,,True,,kur'er v Batumi
110,110,27-03-2020 00:42:24,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0318,19681,7150,645,250.0,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
111,111,27-03-2020 00:42:24,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0318,19681,7150,645,250.0,,,,,,,,,True,,Ischu kur'era v Gruzii!
112,112,27-03-2020 00:42:24,Batumi,54915c4374,Работа на марки (курьер),,1,нет,Батуми,50 гр,0.0347,21491,7813,698,,,,,,250.0,,,,True,,Rabota na marki (kur'er)
113,113,27-03-2020 00:42:24,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.1172,1180835,429000,38684,15000.0,,,,,,,,,True,,Vakansija optovogo kur'era na mef
114,114,27-03-2020 00:42:24,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0699,39361,14300,1289,500.0,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
115,115,27-03-2020 00:43:40,Kutaisi,be97026d1d,Columbia Cocaine VHQ 1g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! КУТАИСИ!!!,,8,нет,Кутаиси,1 гр,0.027000000000000003,15351,5577,503,195.0,,,,,,,,,,True,Columbia Cocaine VHQ 1g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! KUTAISI!!!
116,116,27-03-2020 00:43:40,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! КУТАИСИ!!!,,8,нет,Кутаиси,1.5 гр,0.0215,12202,4433,400,155.0,,,,,,,,,,True,MDMA from Europe!!! 1.5g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! KUTAISI!!!
117,117,27-03-2020 00:43:40,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! КУТАИСИ!!!,,11,нет,Кутаиси,2 гр,0.0519,29521,10725,967,375.0,,,,,,,,,,True,Columbia Cocaine VHQ 2g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! KUTAISI!!!
118,118,27-03-2020 00:43:40,Kutaisi,be97026d1d,ГАШИШ твердый!!! Hash!!!! 2.0 g !!BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! КУТАИСИ!!!,,4,нет,Кутаиси,2 гр,0.0201,11415,4147,374,145.0,,,,,,,,,,True,GAShISh tverdyj!!! Hash!!!! 2.0 g !!BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! KUTAISI!!!
119,119,27-03-2020 00:43:40,Kutaisi,be97026d1d,MDMA from Europe!!! 3g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! КУТАИСИ!!!,,10,нет,Кутаиси,3 гр,0.0408,23223,8437,761,295.0,,,,,,,,,,True,MDMA from Europe!!! 3g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! KUTAISI!!!
120,120,27-03-2020 00:43:40,Kutaisi,54915c4374,Работа на марки (курьер),,1,нет,Кутаиси,50 гр,0.0347,21491,7813,698,,,,,,250.0,,,,,True,Rabota na marki (kur'er)
