,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,€,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
53,02-03-2020 21:08:13,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0972,59695,22446,2015,900,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
54,02-03-2020 21:08:13,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.0756,46429,17458,1567,700,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
55,02-03-2020 21:08:13,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0431,26465,9951,893,399,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
56,02-03-2020 21:08:13,Tbilisi,NVOG,ProperMgzn,10x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,10 гр,0.0382,23215,8729,784,350,,,,,,,,,10x Extasy Duracell 223mg MDMA.
57,02-03-2020 21:08:13,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.0864,53062,19952,1791,800,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
58,02-03-2020 21:08:13,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2403,147578,55492,4982,2225,,,,,,,,,Amfetamin [White] [Import] 10G
59,02-03-2020 21:08:13,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,10,Тбилиси,10 гр,0.158,96108,36138,3244,1449,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
60,02-03-2020 21:08:13,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0402,24475,9203,826,369,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
61,02-03-2020 21:08:13,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,4,Тбилиси,10 гр,0.0326,19832,7457,670,299,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
62,02-03-2020 21:08:13,Tbilisi,NVOG,ProperMgzn,20x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,20 гр,0.0763,46429,17458,1567,700,,,,,,,,,20x Extasy Duracell 223mg MDMA.
