,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Nadzaladevi,Дигоми,€,Didube,Saburtalo,Vake,Old Tbilisi (Старый город),Авлобари,Varketili,Батуми,Центр,Кутаиси,desc_en
97,97,14-07-2020 03:07:45,Batumi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,4,Батуми,10 гр,0.0525,35241,13583,1204,,,,440.0,,,,,,,True,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
98,98,14-07-2020 03:07:45,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Батуми,11 гр,0.0465,31237,12039,1068,,,,390.0,,,,,,,True,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
99,99,14-07-2020 03:07:45,Batumi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,2,Батуми,11 гр,0.0476,31957,12317,1092,,,,399.0,,,,,,,True,,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
100,100,14-07-2020 03:07:45,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1667,112990,51992,3861,,,,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
101,101,14-07-2020 03:07:45,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.264,178900,82321,6113,,,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
102,102,14-07-2020 03:07:45,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0095,7075,2725,242,100.0,,,,,,,,,,True,,,kur'er v Batumi
103,103,14-07-2020 03:07:45,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0237,17687,6813,605,250.0,,,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
104,104,14-07-2020 03:07:45,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0237,17687,6813,605,250.0,,,,,,,,,,True,,,Ischu kur'era v Gruzii!
105,105,14-07-2020 03:07:45,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0209,14150,5450,484,200.0,,,,,,,,,,True,,,Kur'er Batumi na marihuanu
106,106,14-07-2020 03:07:45,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.58,1061219,408750,36278,15000.0,,,,,,,,,,True,,,Vakansija optovogo kur'era na mef
107,107,14-07-2020 03:07:45,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0522,35374,13625,1209,500.0,,,,,,,,,,,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
108,108,14-07-2020 03:09:03,Kutaisi,b7446e2cca,CUSTOM Шишки 230g 3in1,,1,нет,Кутаиси,230 гр,0.4405,298556,114995,10206,4220.0,,,,,,,,,,,,True,CUSTOM Shishki 230g 3in1
