,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,Дигоми,Vazisubani,Saburtalo,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
44,30-05-2020 13:07:50,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,9,Тбилиси,10 гр,0.039,26107,9981,889,369,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
45,30-05-2020 13:07:50,Tbilisi,7LHWP,GEOBUDS,20 gr georgian weed. Package on magnet,True,нет,9,Тбилиси,20 гр,0.0417,28230,10793,962,399,,,,,,,,,,,20 gr georgian weed. Package on magnet
46,30-05-2020 13:07:50,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5283,353760,135250,12050,5000,,,,,,,,,,,METADON - 20 G.
47,30-05-2020 13:07:50,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0633,42380,16203,1444,599,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
48,30-05-2020 13:07:50,Tbilisi,7LHWP,GEOBUDS,50 gr georgian weed. Package on magnet,True,нет,6,Тбилиси,50 гр,0.1359,91907,35138,3131,1299,,,,,,,,,,,50 gr georgian weed. Package on magnet
49,30-05-2020 13:07:50,Tbilisi,7LHWP,GEOBUDS,100 gr georgian weed. Package on magnet,True,нет,5,Тбилиси,100 гр,0.2614,176809,67598,6023,2499,,,,,,,,,,,100 gr georgian weed. Package on magnet
50,30-05-2020 13:07:50,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2511,169805,64920,5784,2400,,,,,,,,,,,100 gr marijuana buds
51,30-05-2020 13:07:50,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2092,141504,54100,4820,2000,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
52,30-05-2020 13:07:50,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2615,176880,67625,6025,2500,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
53,30-05-2020 13:07:50,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6172,417437,159595,14219,5900,,,,,,,,,,,180 gr marihuana persoalno
