,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Gldani,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
42,27-05-2020 05:55:44,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,8,Тбилиси,5 гр,0.1059,68224,25998,2304,959,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
43,27-05-2020 05:55:44,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,10,Тбилиси,5 гр,0.021,13517,5151,456,190,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
44,27-05-2020 05:55:44,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,3,Тбилиси,5 гр,0.054,34788,13257,1175,489,,,,,,,,,,,💘✨5g. MDMA ✨💘
45,27-05-2020 05:55:44,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,10,Тбилиси,5 гр,0.0209,13446,5124,454,189,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
46,27-05-2020 05:55:44,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0984,64027,24399,2162,900,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
47,27-05-2020 05:55:44,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0437,28456,10844,961,400,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
48,27-05-2020 05:55:44,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0766,49799,18977,1681,700,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
49,27-05-2020 05:55:44,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0459,29879,11386,1009,420,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
50,27-05-2020 05:55:44,Tbilisi,18FB,Mr.Green Tbilis,10G Hybrid Marijuana Leafs,True,1,38,Тбилиси,10 гр,0.0148,9604,3660,324,135,,,,,,,,,,,10G Hybrid Marijuana Leafs
51,27-05-2020 05:55:44,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0875,56913,21688,1922,800,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
52,27-05-2020 05:55:44,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2433,158288,60320,5344,2225,,,,,,,,,,,Amfetamin [White] [Import] 10G
53,27-05-2020 05:55:44,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,5,Тбилиси,10 гр,0.1722,110909,42264,3745,1559,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
54,27-05-2020 05:55:44,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0408,26251,10004,886,369,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
55,27-05-2020 05:55:44,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,3,Тбилиси,10 гр,0.0348,22409,8540,757,315,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
56,27-05-2020 05:55:44,Tbilisi,7LHWP,GEOBUDS,20 gr georgian weed. Package on magnet,True,нет,11,Тбилиси,20 гр,0.0436,28385,10817,958,399,,,,,,,,,,,20 gr georgian weed. Package on magnet
57,27-05-2020 05:55:44,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5523,355704,135550,12010,5000,,,,,,,,,,,METADON - 20 G.
58,27-05-2020 05:55:44,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0662,42613,16239,1439,599,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
59,27-05-2020 05:55:44,Tbilisi,7LHWP,GEOBUDS,50 gr georgian weed. Package on magnet,True,нет,6,Тбилиси,50 гр,0.1421,92412,35216,3120,1299,,,,,,,,,,,50 gr georgian weed. Package on magnet
60,27-05-2020 05:55:44,Tbilisi,7LHWP,GEOBUDS,100 gr georgian weed. Package on magnet,True,нет,5,Тбилиси,100 гр,0.2733,177781,67748,6003,2499,,,,,,,,,,,100 gr georgian weed. Package on magnet
61,27-05-2020 05:55:44,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2625,170738,65064,5765,2400,,,,,,,,,,,100 gr marijuana buds
62,27-05-2020 05:55:44,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2187,142282,54220,4804,2000,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
