,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Varketili,Vake,Дигоми,€,Nadzaladevi,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
103,103,10-02-2020 16:21:39,Batumi,f8a875c191,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE - SALE - SALE ),,3,10,Батуми,0.27 гр,0.0229,14476,5607,494,227.0,,,,,,,,,True,,,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE - SALE - SALE )
104,104,10-02-2020 16:21:39,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,19,Батуми,5 гр,0.0182,12754,4940,435,200.0,,,,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
105,105,10-02-2020 16:21:39,Batumi,30f48d507d,Hybrid Skunk! 50 gr,,нет,2,Батуми,50 гр,0.0949,60582,23465,2067,950.0,,,,,,,,,True,,,Hybrid Skunk! 50 gr
106,106,10-02-2020 16:21:39,Batumi,30f48d507d,Hybrid Skunk! 100 gr,,нет,1,Батуми,100 гр,0.1798,114787,44460,3917,1800.0,,,,,,,,,True,,,Hybrid Skunk! 100 gr
107,107,10-02-2020 16:21:39,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.3026,191312,74100,6529,3000.0,,,,,,,,,True,,,SUBOXIN - HQ - 100 G.
108,108,10-02-2020 16:21:39,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,5,Батуми,150 гр,0.2522,159427,61750,5441,2500.0,,,,,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
109,109,10-02-2020 16:21:39,Batumi,d4df7908c3,"Приходите к нам работать вторым кладменом (кладчик, курьер)",,1,нет,Батуми,1 гр,0.0101,6377,2470,218,100.0,,,,,,,,,True,,,"Prihodite k nam rabotat' vtorym kladmenom (kladchik, kur'er)"
110,110,10-02-2020 16:21:39,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0045,3189,1235,109,50.0,,,,,,,,,True,,,kur'er v Batumi
111,111,10-02-2020 16:21:39,Batumi,a5417660bf,Вакансия Курьера в Батуми,,1,нет,Батуми,3 гр,0.0045,3189,1235,109,50.0,,,,,,,,,True,,,Vakansija Kur'era v Batumi
112,112,10-02-2020 16:21:39,Batumi,a5417660bf,Вакансия Курьера в Батуми,,1,нет,Батуми,5 гр,0.0071,5000,2301,171,,,,,,,,,,True,,,Vakansija Kur'era v Batumi
113,113,10-02-2020 16:21:39,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0227,15943,6175,544,250.0,,,,,,,,,True,,,Ischu kur'era v Gruzii!
114,114,10-02-2020 16:21:39,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5117,956562,370500,32643,15000.0,,,,,,,,,True,,,Vakansija optovogo kur'era na mef
115,115,10-02-2020 16:21:39,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0499,31885,12350,1088,500.0,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
116,116,10-02-2020 16:23:31,Kutaisi,d4df7908c3,"Шишки/weeds Afghan Kush, - 0,5г - Удобные клады в подъездах",,6,нет,Кутаиси,0.5 гр,0.002,1275,494,44,20.0,,,,,,,,,,,True,"Shishki/weeds Afghan Kush, - 0,5g - Udobnye klady v pod'ezdah"
117,117,10-02-2020 16:23:31,Kutaisi,d4df7908c3,Шишки / weeds Afghan Kush - 2г,,2,нет,Кутаиси,2 гр,0.0075,4719,1828,161,74.0,,,,,,,,,,,True,Shishki / weeds Afghan Kush - 2g
118,118,10-02-2020 16:23:31,Kutaisi,d4df7908c3,"Шишки/weed Afghan Kush, 1г - Удобные клады в подъездах",,4,2,Кутаиси,1 гр,0.0037,2360,914,81,37.0,,,,,,,,,,,True,"Shishki/weed Afghan Kush, 1g - Udobnye klady v pod'ezdah"
119,119,10-02-2020 16:23:31,Kutaisi,d4df7908c3,"Шишки/Weeds OG Kush, 3g",,2,3,Кутаиси,3 гр,0.0106,6696,2594,229,105.0,,,,,,,,,,,True,"Shishki/Weeds OG Kush, 3g"
120,120,10-02-2020 16:23:31,Kutaisi,d4df7908c3,"Приходите к нам работать вторым кладменом (кладчик, курьер)",,1,нет,Кутаиси,1 гр,0.0101,6377,2470,218,100.0,,,,,,,,,,,True,"Prihodite k nam rabotat' vtorym kladmenom (kladchik, kur'er)"
