,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Gldani,€,Old Tbilisi (Старый город),Авлобари,Vake,Varketili,Батуми,Центр,Кутаиси,desc_en
59,22-07-2020 03:34:49,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 15 гр",,нет,1,Тбилиси,15 гр,0.0615,46128,18200,1552,650,True,,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
60,22-07-2020 03:34:49,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2499,170320,67200,5731,2400,True,,,,,,,,,,100 gr marijuana buds
61,22-07-2020 03:34:49,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2603,177417,70000,5970,2500,True,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
62,22-07-2020 03:34:49,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 100шт. Готовые клады в Грузии от производителя!,,нет,3,Тбилиси,100 гр,0.0364,24838,9800,836,350,,,,True,True,True,,,,,Moschnye zhirnye marki 25i nbome 100sht. Gotovye klady v Gruzii ot proizvoditelja!
63,22-07-2020 03:34:49,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6143,418704,165200,14089,5900,True,,,,,,,,,,180 gr marihuana persoalno
64,22-07-2020 03:34:49,Tbilisi,6UG,Good Enuff,500 шт. марки 25i nbome. готовый клад в Тбилиси.,True,нет,4,Тбилиси,500 гр,0.1249,85160,33600,2865,1200,,,,True,True,,True,,,,500 sht. marki 25i nbome. gotovyj klad v Tbilisi.
65,22-07-2020 03:34:49,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.885,603218,238000,20297,8500,True,,,,,,,,,,10000sht marki 25i-nbome. predoplata
66,22-07-2020 03:34:49,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0189,14193,5600,478,200,True,,,,,,,,,,KURYER..500RUB.+BONUS
67,22-07-2020 03:34:49,Tbilisi,9R7SU,ClownBaroN,Работа курьер в Тбилиси 15 лари на клад толка марихуана,True,1,нет,Тбилиси,1 гр,0.0156,10645,4200,358,150,,,,,,,,,,,Rabota kur'er v Tbilisi 15 lari na klad tolka marihuana
68,22-07-2020 03:34:49,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,1,нет,Тбилиси,1 гр,0.026,17742,7000,597,250,True,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
69,22-07-2020 03:34:49,Tbilisi,7U9YP,ChitosPizz,Курьер Фасовщик залог обязательно 400$ 5гр,,1,нет,Тбилиси,5 гр,0.0379,28387,11200,955,400,True,,,,,,,,,,Kur'er Fasovschik zalog objazatel'no 400$ 5gr
70,22-07-2020 03:35:43,Tbilisi,QVK5,Galiak,"ищеm курьерa толка за марихуани в тбилиси, клад 8$. Залог с 200$",,1,нет,Тбилиси,10 гр,0.0189,14193,5600,478,200,True,,,,,,,,,,"ischem kur'era tolka za marihuani v tbilisi, klad 8$. Zalog s 200$"
71,22-07-2020 03:35:43,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.0208,14193,5600,478,200,True,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
72,22-07-2020 03:35:43,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,3,Тбилиси,1 гр,0.026,17742,7000,597,250,True,,,,,,,,,,Rabota na marki (kur'er)
73,22-07-2020 03:35:43,Tbilisi,6P9R,RickNMorty,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,,нет,1,Тбилиси,5 гр,0.0521,35483,14000,1194,500,True,,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
74,22-07-2020 03:35:43,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.576,1064502,420000,35819,15000,True,,,,,,,,,,Vakansija optovogo kur'era na mef
75,22-07-2020 03:35:43,Tbilisi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Тбилиси,1000 гр,0.0521,35483,14000,1194,500,,,,True,,,True,,,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
76,22-07-2020 03:37:55,Batumi,GGVQZ,KARAVANos,Мелкие шишки (Indica) 2г,,4,нет,Батуми,2 гр,0.0044,2981,1176,100,42,,,,,,,,True,,,Melkie shishki (Indica) 2g
77,22-07-2020 03:37:55,Batumi,XUYA,MRweed,Gelato Grinded Moonrocks (измельченные мунроки) Эксклюзив. 5гр,,1,нет,Батуми,5 гр,0.0284,21290,8400,716,300,,,,,,,,True,,,Gelato Grinded Moonrocks (izmel'chennye munroki) Ekskljuziv. 5gr
78,22-07-2020 03:37:55,Batumi,GGVQZ,KARAVANos,Мощные шишки Y-Griega (Sativa) 5г,,1,нет,Батуми,5 гр,0.0364,24838,9800,836,350,,,,,,,,True,,,Moschnye shishki Y-Griega (Sativa) 5g
79,22-07-2020 03:37:55,Batumi,Z9UT,Rainbow,Super Critical 10G,,2,нет,Батуми,10 гр,0.0469,31935,12600,1075,450,,,,,,,,,True,,Super Critical 10G
80,22-07-2020 03:37:55,Batumi,6KB,Marioshop,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,2,Батуми,1 гр,0.0373,25187,9905,848,,,,310,,,,,True,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
81,22-07-2020 03:37:55,Batumi,BN40,Panters,Мефедрон 3г,,нет,3,Батуми,3 гр,0.0331,24838,9800,836,350,,,,,,,,True,,,Mefedron 3g
82,22-07-2020 03:37:55,Batumi,BN40,Panters,Таблы Punisher 300 mg. 5шт.,,нет,5,Батуми,5 гр,0.0398,29806,11760,1003,420,,,,,,,,True,,,Tably Punisher 300 mg. 5sht.
