,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Nadzaladevi,Old Tbilisi (Старый город),€,Дигоми,Didube,Vake,Авлобари,Varketili,Батуми,Центр,Кутаиси,desc_en
75,75,15-07-2020 02:22:18,Tbilisi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",True,нет,2,Тбилиси,11 гр,0.0478,32169,12353,1095,,,,,399.0,,,,,,,,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
76,76,15-07-2020 02:22:18,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 15 гр",True,нет,1,Тбилиси,15 гр,0.0619,46233,17713,1573,650.0,,,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
77,77,15-07-2020 02:22:18,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2513,170706,65400,5807,2400.0,,,,,,,,,,,,,100 gr marijuana buds
78,78,15-07-2020 02:22:18,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2617,177819,68125,6049,2500.0,,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
79,79,15-07-2020 02:22:18,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6177,419652,160775,14274,5900.0,,,,,,,,,,,,,180 gr marihuana persoalno
80,80,15-07-2020 02:22:18,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8899,604584,231625,20565,8500.0,,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
81,81,15-07-2020 02:22:18,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.019,14226,5450,484,200.0,,,,,,,,,,,,,KURYER..500RUB.+BONUS
82,82,15-07-2020 02:22:18,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,1,нет,Тбилиси,1 гр,0.0262,17782,6813,605,250.0,,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
83,83,15-07-2020 02:22:18,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,1,Тбилиси,1 гр,0.0209,14226,5450,484,200.0,,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
84,84,15-07-2020 02:22:18,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,3,Тбилиси,1 гр,0.0262,17782,6813,605,250.0,,,,,,,,,,,,,Rabota na marki (kur'er)
85,85,15-07-2020 02:22:18,Tbilisi,52fe6d0af9,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,True,нет,1,Тбилиси,5 гр,0.0523,35564,13625,1210,500.0,,,,,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
86,86,15-07-2020 02:22:18,Tbilisi,ae784bef73,Работа курьером,True,нет,1,Тбилиси,10 гр,0.019,14226,5450,484,200.0,,,,,,,,,,,,,Rabota kur'erom
87,87,15-07-2020 02:22:18,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5846,1066913,408750,36291,15000.0,,,,,,,,,,,,,Vakansija optovogo kur'era na mef
88,88,15-07-2020 02:22:18,Tbilisi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,3,Тбилиси,1000 гр,0.0523,35564,13625,1210,500.0,,,True,,,,True,,True,,,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
89,89,15-07-2020 02:23:41,Batumi,f8a875c191,METADON - 0.30 - SALE,,4,5,Батуми,0.3 гр,0.0317,21338,8175,726,300.0,,,,,,,,,,True,,,METADON - 0.30 - SALE
90,90,15-07-2020 02:23:41,Batumi,3b3ba4f5a5,Мелкие шишки (Indica) 2г,,12,нет,Батуми,2 гр,0.0044,2987,1145,102,42.0,,,,,,,,,,True,,,Melkie shishki (Indica) 2g
91,91,15-07-2020 02:23:41,Batumi,75738ec358,ASTRAL 3g,,2,нет,Батуми,3 гр,0.0257,19204,7358,653,270.0,,,,,,,,,,True,,,ASTRAL 3g
92,92,15-07-2020 02:23:41,Batumi,3b3ba4f5a5,Мощные шишки Y-Griega (Sativa) 5г,,1,нет,Батуми,5 гр,0.0334,22761,8720,774,320.0,,,,,,,,,,True,,,Moschnye shishki Y-Griega (Sativa) 5g
93,93,15-07-2020 02:23:41,Batumi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,2,Батуми,1 гр,0.0371,24993,9598,850,,,,,310.0,,,,,,True,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
