,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Дигоми,Gldani,Old Tbilisi (Старый город),Авлобари,Varketili,Vake,Батуми,Центр,desc_en
88,23-07-2020 21:58:35,Batumi,6KB,Marioshop,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,4,Батуми,10 гр,0.0527,36163,14300,1210,440,,,,,,,,,True,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
89,23-07-2020 21:58:35,Batumi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Батуми,11 гр,0.0467,32054,12675,1072,390,,,,,,,,,True,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
90,23-07-2020 21:58:35,Batumi,6KB,Marioshop,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,2,Батуми,11 гр,0.0478,32794,12968,1097,399,,,,,,,,,True,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
91,23-07-2020 21:58:35,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1632,112990,51992,3805,,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
92,23-07-2020 21:58:35,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2584,178900,82321,6024,,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
93,23-07-2020 21:58:35,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0093,7096,2815,239,,,100,,,,,,,True,,kur'er v Batumi
94,23-07-2020 21:58:35,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0233,17741,7038,596,,,250,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
95,23-07-2020 21:58:35,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0233,17741,7038,596,,,250,,,,,,,True,,Ischu kur'era v Gruzii!
96,23-07-2020 21:58:35,Batumi,GGVQZ,KARAVANos,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0205,14193,5630,477,,,200,,,,,,,True,,Kur'er Batumi na marihuanu
97,23-07-2020 21:58:35,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5519,1064445,422250,35781,,,15000,,,,,,,True,,Vakansija optovogo kur'era na mef
98,23-07-2020 21:58:35,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,2,Батуми,1000 гр,0.0513,35482,14075,1193,,,500,,,,,,,,True,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
