,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,€,Дигоми,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
37,17-03-2020 03:15:39,Tbilisi,EIH4,San4oPan4o,MDMA from Europe!!! 5g + (0.5g hash подарок !!!!) BTC SALE 5%!!,,4,нет,Тбилиси,5.5 гр,0.0573,24091,9068,768,325,,,,True,,,,,,,MDMA from Europe!!! 5g + (0.5g hash podarok !!!!) BTC SALE 5%!!
38,17-03-2020 03:15:39,Tbilisi,P5MBO,ToppoT,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,2,нет,Тбилиси,10 гр,0.0644,27056,10184,863,365,,,,,True,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
39,17-03-2020 03:15:39,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 10шт. вес таблетки 450mg,True,1,нет,Тбилиси,10 гр,0.0471,19792,7449,631,267,,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
40,17-03-2020 03:15:39,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,6,нет,Тбилиси,10 гр,0.0159,7339,2762,234,99,,True,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
41,17-03-2020 03:15:39,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0677,29650,11160,945,400,,,,,,,,,,,gashish evro 10g
42,17-03-2020 03:15:39,Tbilisi,EIH4,San4oPan4o,MDMA from Europe!!! 10g + (1g hash подарок !!!!) BTC SALE 5%!!,,2,нет,Тбилиси,11 гр,0.112,47070,17717,1501,635,,,,True,,,,,,,MDMA from Europe!!! 10g + (1g hash podarok !!!!) BTC SALE 5%!!
43,17-03-2020 03:15:39,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.27 G - (SALE),True,14,5,Тбилиси,0.27 гр,0.0405,16827,6333,537,227,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G - (SALE)
44,17-03-2020 03:15:39,Tbilisi,Y6FO,Opiate,Methadone HQ in city 0.35g,True,1,2,Тбилиси,0.35 гр,0.0406,17049,6417,544,230,,,,,,,,,,,Methadone HQ in city 0.35g
45,17-03-2020 03:15:39,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 1.1 G (SALE),True,1,3,Тбилиси,1.1 гр,0.1158,48182,18135,1536,650,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1.1 G (SALE)
46,17-03-2020 03:15:39,Tbilisi,Y6FO,Opiate,Methadone HQ in city 1.4g,True,нет,1,Тбилиси,1.4 гр,0.1235,51888,19530,1655,700,,,,,,,,,,,Methadone HQ in city 1.4g
47,17-03-2020 03:15:39,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,3,Тбилиси,3 гр,0.1051,43734,16461,1395,590,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
48,17-03-2020 03:15:39,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0706,29650,11160,945,400,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
49,17-03-2020 03:15:39,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.097,40769,15345,1300,550,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
50,17-03-2020 03:15:39,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,5,Тбилиси,5 гр,0.0275,11564,4352,369,156,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
51,17-03-2020 03:15:39,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0351,14751,5552,470,199,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
52,17-03-2020 03:15:39,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,1,Тбилиси,5 гр,0.0282,11860,4464,378,160,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
53,17-03-2020 03:15:39,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0351,14751,5552,470,199,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
54,17-03-2020 03:15:39,Tbilisi,SF03,CRAZYFROG,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,1,Тбилиси,5 гр,0.0351,14751,5552,470,199,,,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
55,17-03-2020 03:15:39,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,9,Тбилиси,5 гр,0.0256,10748,4046,343,145,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
56,17-03-2020 03:15:39,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0351,16234,6110,518,219,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
57,17-03-2020 03:15:39,Tbilisi,TDSHF,THC,Hybrid Gagarin. 5g.,True,нет,3,Тбилиси,5 гр,0.0372,16308,6138,520,220,,,,,,,,,,,Hybrid Gagarin. 5g.
58,17-03-2020 03:15:39,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 5 G. (SHISHKI) (SALE),True,нет,5,Тбилиси,5 гр,0.0535,22238,8370,709,300,,,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
59,17-03-2020 03:15:39,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,9,Тбилиси,5 гр,0.0265,11119,4185,355,150,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
60,17-03-2020 03:15:39,Tbilisi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),True,нет,15,Тбилиси,5 гр,0.0321,14825,5580,473,200,,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
61,17-03-2020 03:15:39,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.4111,190000,87429,6022,,,,,,,,,,,,reagent 25i nbome. 5gr
