,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,€,Nadzaladevi,Varketili,Didube,Old Tbilisi (Старый город),Дигоми,Батуми,Центр,Кутаиси,desc_en
30,13-04-2020 17:01:56,Tbilisi,A3I9,Joookerrr,Божественный эйфорик!!! Марки нбоооом!!! 4 штуки!!!,True,6,нет,Тбилиси,4 гр,0.0082,4832,1788,162,,,,60,,,,True,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 4 shtuki!!!
31,13-04-2020 17:01:56,Tbilisi,LYHBG,Playboy,!!!NEW!!! 5G Critical KusH !!!NEW!!!,True,1,нет,Тбилиси,5 гр,0.0275,14558,5405,490,198,,,,,,,,,,,,!!!NEW!!! 5G Critical KusH !!!NEW!!!
32,13-04-2020 17:01:56,Tbilisi,LYHBG,Playboy,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,1,нет,Тбилиси,5 гр,0.0277,14631,5433,493,199,,,,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
33,13-04-2020 17:01:56,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0423,23528,8736,792,320,,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
34,13-04-2020 17:01:56,Tbilisi,BCF,Doitgod,5 Grm Mdma Pure Quality A +++,True,3,нет,Тбилиси,5 гр,0.0409,22057,8190,743,300,,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
35,13-04-2020 17:02:29,Tbilisi,1GT8,GREENGY,5g MDMA (IMPORTED),True,1,нет,Тбилиси,5 гр,0.0528,29410,10920,990,400,,,,,,,,,,,,5g MDMA (IMPORTED)
36,13-04-2020 17:02:29,Tbilisi,8B31,GEOWEEDSHOP,5gr marijuana buds -indica- (hight quality),True,2,нет,Тбилиси,5 гр,0.0184,9852,3658,332,134,,,,,,,,,,,,5gr marijuana buds -indica- (hight quality)
37,13-04-2020 17:02:29,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,True,2,нет,Тбилиси,5 гр,0.0243,12867,4778,433,175,,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
38,13-04-2020 17:02:29,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 5g.,True,1,нет,Тбилиси,5 гр,0.1076,63231,23478,2129,860,,,,,,,,,,,,Cocaine Pure VHQ 5g.
39,13-04-2020 17:02:29,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 5g.,True,1,нет,Тбилиси,5 гр,0.1139,66907,24843,2252,910,,,,,,,,,,,,VHQ BEST Cocaine 5g.
