,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,€,Дигоми,Didube,Gldani,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
57,20-03-2020 17:27:31,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,3,Тбилиси,5 гр,0.0255,14438,5236,470,185,True,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
58,20-03-2020 17:27:31,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,,нет,5,Тбилиси,5 гр,0.0675,38164,13839,1243,489,True,,,,,,,,,,💘✨5g. MDMA ✨💘
59,20-03-2020 17:27:31,Tbilisi,9VLN,AlienShop,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩,,нет,5,Тбилиси,5 гр,0.0454,25677,9311,836,329,True,,,,,,,,,,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩
60,20-03-2020 17:27:31,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,нет,8,Тбилиси,5 гр,0.0248,14048,5094,457,180,True,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
61,20-03-2020 17:27:31,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.123,70240,25470,2287,900,True,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
62,20-03-2020 17:27:31,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,5,Тбилиси,10 гр,0.0957,54631,19810,1779,700,True,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
63,20-03-2020 17:27:31,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,6,Тбилиси,10 гр,0.0437,24974,9056,813,320,True,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
64,20-03-2020 17:27:31,Tbilisi,NVOG,ProperMgzn,10x Extasy Duracell 223mg MDMA.,,нет,5,Тбилиси,10 гр,0.0483,27316,9905,889,350,True,,,,,,,,,,10x Extasy Duracell 223mg MDMA.
65,20-03-2020 17:28:27,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,10,Тбилиси,10 гр,0.0514,28798,10369,938,369,True,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
66,20-03-2020 17:28:27,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,,нет,3,Тбилиси,10 гр,0.0417,23335,8402,760,299,True,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
67,20-03-2020 17:28:27,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0834,46749,16832,1522,599,True,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
68,20-03-2020 17:28:27,Tbilisi,RGIUB,SaintJoint,50 gr 23% THC Amnesia Haze top quality,,нет,1,Тбилиси,50 гр,0.1505,93653,33720,3050,1200,True,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
69,20-03-2020 17:28:27,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2758,156089,56200,5083,2000,True,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
70,20-03-2020 17:28:27,Tbilisi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,,нет,1,Тбилиси,100 гр,0.2786,156089,56200,5083,2000,True,,,,,,,,,,SUBOXIN - HQ - 100 G.
71,20-03-2020 17:28:27,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.3448,195111,70250,6354,2500,True,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
72,20-03-2020 17:28:27,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,1,Тбилиси,150 гр,0.209,117066,42150,3812,1500,True,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
73,20-03-2020 17:28:27,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.6344,359004,129260,11690,4600,True,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
74,20-03-2020 17:28:27,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,1.0344,585332,210750,19061,7500,True,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
75,20-03-2020 17:28:27,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,1.1723,663377,238850,21602,8500,True,,,,,,,,,,10000sht marki 25i-nbome. predoplata
76,20-03-2020 17:28:27,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,,1,нет,Тбилиси,1 гр,0.0251,15609,5620,508,200,True,,,,,,,,,,KURYER..500RUB.+BONUS
77,20-03-2020 17:28:27,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),,1,нет,Тбилиси,10 гр,0.0188,11707,4215,381,150,True,,,,,,,,,,Rabota na marki (kur'er)
78,20-03-2020 17:28:27,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0276,15609,5620,508,200,True,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
79,20-03-2020 17:28:27,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0345,19511,7025,635,250,True,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
80,20-03-2020 17:28:27,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,2.0877,1170665,421500,38121,15000,True,,,,,,,,,,Vakansija optovogo kur'era na mef
81,20-03-2020 17:29:37,Batumi,72B,CHINATOWN,NZT-52 limited 1 г мука,,25,нет,Батуми,1 гр,0.0236,14828,5377,483,190,,,,,,,,True,,,NZT-52 limited 1 g muka
82,20-03-2020 17:29:37,Batumi,72B,CHINATOWN,NZT-52 limited 2г мука,,12,нет,Батуми,2 гр,0.0422,26535,9622,864,340,,,,,,,,True,,,NZT-52 limited 2g muka
83,20-03-2020 17:29:37,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.3007,171697,62260,5591,2200,,,,,,,,True,,,[100g] SPAIN HASH
