,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Gldani,Vazisubani,Varketili,Didube,€,Saburtalo,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
44,44,26-05-2020 06:47:05,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0436,28638,10820,960,400.0,,,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
45,45,26-05-2020 06:47:05,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0763,50117,18935,1680,700.0,,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
46,46,26-05-2020 06:47:05,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0458,30070,11361,1008,420.0,,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
47,47,26-05-2020 06:47:05,Tbilisi,89f7212915,10G Hybrid Marijuana Leafs,True,1,38,Тбилиси,10 гр,0.0147,9665,3652,324,135.0,,,,,,,,,,,,,10G Hybrid Marijuana Leafs
48,48,26-05-2020 06:47:05,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0872,57277,21640,1920,800.0,,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
49,49,26-05-2020 06:47:05,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2424,159302,60186,5339,2225.0,,,,,,,,,,,,,Amfetamin [White] [Import] 10G
50,50,26-05-2020 06:47:05,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,5,Тбилиси,10 гр,0.1715,111618,42171,3741,1559.0,,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
51,51,26-05-2020 06:47:05,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0406,26419,9981,885,369.0,,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
52,52,26-05-2020 06:47:05,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,3,Тбилиси,10 гр,0.0347,22553,8521,756,315.0,,,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
53,53,26-05-2020 06:47:05,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5502,357981,135250,11998,5000.0,,,,,,,,,,,,,METADON - 20 G.
