,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Old Tbilisi (Старый город),Didube,Vake,Авлобари,Gldani,Дигоми,Nadzaladevi,Центр,Батуми,Кутаиси,desc_en
102,07-05-2020 08:03:50,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5864,1109579,405750,36791,15000,,,,,,,,,,,,Vakansija optovogo kur'era na mef
103,07-05-2020 08:05:28,Batumi,Z9UT,Rainbow,шишки марихуаны 5G,,2,нет,Батуми,5 гр,0.0315,22192,8115,736,300,,,,,,,,,True,,,shishki marihuany 5G
104,07-05-2020 08:05:28,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2311,162738,59510,5396,2200,,,,,,,,,,True,,[100g] SPAIN HASH
105,07-05-2020 08:05:28,Batumi,A3I9,Joookerrr,"""Джокер экспрес"" марки нбооом 8 шт",,нет,7,Батуми,8 гр,0.0084,5918,2164,196,80,,,,,,,,,,True,,"""Dzhoker ekspres"" marki nbooom 8 sht"
106,07-05-2020 08:05:28,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 100 грамм ♥,,нет,1,Батуми,100 гр,0.0481,33900,15599,1122,,,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 100 gramm ♥
107,07-05-2020 08:05:28,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1604,112990,51992,3740,,,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
108,07-05-2020 08:05:28,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.254,178900,82321,5921,,,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
109,07-05-2020 08:05:28,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0095,7397,2705,245,100,,,,,,,,,,True,,kur'er v Batumi
110,07-05-2020 08:05:28,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0239,18493,6763,613,250,,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
111,07-05-2020 08:05:28,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0239,18493,6763,613,250,,,,,,,,,,True,,Ischu kur'era v Gruzii!
112,07-05-2020 08:05:28,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5898,1109579,405750,36791,15000,,,,,,,,,,True,,Vakansija optovogo kur'era na mef
113,07-05-2020 08:05:28,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0525,36986,13525,1226,500,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
114,07-05-2020 08:07:14,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,2,нет,Кутаиси,1.5 гр,0.0226,16274,5951,540,220,,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
115,07-05-2020 08:07:14,Kutaisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,7,нет,Кутаиси,2 гр,0.0546,38465,14066,1275,520,,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
116,07-05-2020 08:07:14,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,3 гр,0.0401,28849,10550,957,390,,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
117,07-05-2020 08:07:14,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.021,14794,5410,491,200,,,,,,,,,,,True,Rabota na marki (kur'er)
