,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,€,Nadzaladevi,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
67,67,08-03-2020 01:27:39,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.501,310581,115598,10302,4600.0,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
68,68,08-03-2020 01:27:39,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.8168,506381,188475,16797,7500.0,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
69,69,08-03-2020 01:27:39,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9257,573899,213605,19037,8500.0,,,,,,,,,,10000sht marki 25i-nbome. predoplata
70,70,08-03-2020 01:28:16,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.8168,506381,188475,16797,7500.0,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
71,71,08-03-2020 01:28:16,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9257,573899,213605,19037,8500.0,,,,,,,,,,10000sht marki 25i-nbome. predoplata
72,72,08-03-2020 01:28:16,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0198,13504,5026,448,200.0,,,,,,,,,,KURYER..500RUB.+BONUS
73,73,08-03-2020 01:28:16,Tbilisi,54915c4374,Работа на марки (курьер),True,1,нет,Тбилиси,10 гр,0.0149,10128,3770,336,150.0,,,,,,,,,,Rabota na marki (kur'er)
74,74,08-03-2020 01:28:16,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0218,13504,5026,448,200.0,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
75,75,08-03-2020 01:28:16,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0272,16879,6283,560,250.0,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
76,76,08-03-2020 01:28:16,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.6484,1012763,376950,33594,15000.0,,,,,,,,,,Vakansija optovogo kur'era na mef
77,77,08-03-2020 01:30:03,Batumi,c72111ac1a,NZT-52 limited 1 г мука,,25,нет,Батуми,1 гр,0.0198,13504,5026,448,200.0,,,,,,,True,,,NZT-52 limited 1 g muka
78,78,08-03-2020 01:30:03,Batumi,3ee37c89bb,ORANGE PUNCH [1g],,4,нет,Батуми,1 гр,0.0065,4051,1508,134,60.0,,,,,,,True,,,ORANGE PUNCH [1g]
79,79,08-03-2020 01:30:03,Batumi,c72111ac1a,NZT-52 limited 2г мука,,13,нет,Батуми,2 гр,0.0357,24306,9047,806,360.0,,,,,,,True,,,NZT-52 limited 2g muka
80,80,08-03-2020 01:30:03,Batumi,3c4662c591,Super Critical HIGHEST QUALITY 2G,,5,нет,Батуми,2 гр,0.0109,6752,2513,224,100.0,,,,,,,,True,,Super Critical HIGHEST QUALITY 2G
81,81,08-03-2020 01:30:03,Batumi,3ee37c89bb,ТРАВА ORANGE PUNCH [2g],,1,нет,Батуми,2 гр,0.0055,3376,1257,112,50.0,,,,,,,True,,,TRAVA ORANGE PUNCH [2g]
82,82,08-03-2020 01:30:03,Batumi,012f23b5ea,Power Africa 2.5 g,,1,нет,Батуми,2.5 гр,0.0104,7089,2639,235,105.0,,,,,,,True,,,Power Africa 2.5 g
83,83,08-03-2020 01:30:03,Batumi,3c4662c591,Super Critical HIGHEST QUALITY 5G,,2,нет,Батуми,5 гр,0.0273,16879,6283,560,250.0,,,,,,,,True,,Super Critical HIGHEST QUALITY 5G
84,84,08-03-2020 01:30:03,Batumi,30f48d507d,Skunk! 50 gr.,,1,нет,Батуми,50 гр,0.1636,101276,37695,3359,1500.0,,,,,,,True,,,Skunk! 50 gr.
85,85,08-03-2020 01:30:03,Batumi,f8a875c191,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE ),,нет,5,Батуми,0.27 гр,0.0297,18230,6785,605,270.0,,,,,,,True,,,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE )
86,86,08-03-2020 01:30:03,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,16,Батуми,5 гр,0.0198,13504,5026,448,200.0,,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
87,87,08-03-2020 01:30:03,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2203,135035,50260,4479,2000.0,,,,,,,True,,,SUBOXIN - HQ - 100 G.
88,88,08-03-2020 01:30:03,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.1652,101276,37695,3359,1500.0,,,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
89,89,08-03-2020 01:30:03,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.005,3376,1257,112,50.0,,,,,,,True,,,kur'er v Batumi
90,90,08-03-2020 01:30:03,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0248,16879,6283,560,250.0,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
91,91,08-03-2020 01:30:03,Batumi,54915c4374,Работа на марки (курьер),,1,нет,Батуми,10 гр,0.0149,10128,3770,336,150.0,,,,,,,True,,,Rabota na marki (kur'er)
92,92,08-03-2020 01:30:03,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0248,16879,6283,560,250.0,,,,,,,True,,,Ischu kur'era v Gruzii!
93,93,08-03-2020 01:30:03,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6509,1012763,376950,33594,15000.0,,,,,,,True,,,Vakansija optovogo kur'era na mef
94,94,08-03-2020 01:30:03,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0545,33759,12565,1120,500.0,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
95,95,08-03-2020 01:31:19,Kutaisi,54915c4374,Работа на марки (курьер),,1,нет,Кутаиси,10 гр,0.0149,10128,3770,336,150.0,,,,,,,,,True,Rabota na marki (kur'er)
