,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,€,Дигоми,Tbilisis Zgva,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
64,15-03-2020 14:52:18,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,3,Тбилиси,5 гр,0.0306,13540,4975,433,185,,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
65,15-03-2020 14:52:18,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0808,35789,13149,1144,489,,,,,,,,,,,,💘✨5g. MDMA ✨💘
66,15-03-2020 14:52:44,Tbilisi,9VLN,AlienShop,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩,True,нет,5,Тбилиси,5 гр,0.0547,24079,8847,770,329,,,,,,,,,,,,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩
67,15-03-2020 14:52:44,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1481,65869,24201,2106,900,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
68,15-03-2020 14:52:44,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.1152,51232,18823,1638,700,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
69,15-03-2020 14:52:44,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0657,29202,10729,934,399,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
70,15-03-2020 14:52:44,Tbilisi,NVOG,ProperMgzn,10x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,10 гр,0.0582,25616,9412,819,350,,,,,,,,,,,,10x Extasy Duracell 223mg MDMA.
71,15-03-2020 14:52:44,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.1317,58551,21512,1872,800,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
72,15-03-2020 14:52:44,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.3662,162844,59830,5207,2225,,,,,,,,,,,,Amfetamin [White] [Import] 10G
73,15-03-2020 14:52:44,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,9,Тбилиси,10 гр,0.2408,106050,38964,3391,1449,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
74,15-03-2020 14:52:44,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0613,27006,9922,864,369,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
75,15-03-2020 14:52:44,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,3,Тбилиси,10 гр,0.0497,21883,8040,700,299,,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
76,15-03-2020 14:52:44,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0996,43840,16107,1402,599,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
77,15-03-2020 14:52:44,Tbilisi,RGIUB,SaintJoint,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1795,87826,32268,2808,1200,,,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
78,15-03-2020 14:52:44,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.3291,146376,53780,4680,2000,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
79,15-03-2020 14:52:44,Tbilisi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.3324,146376,53780,4680,2000,,,,,,,,,,,,SUBOXIN - HQ - 100 G.
80,15-03-2020 14:52:44,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.4114,182971,67225,5851,2500,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
81,15-03-2020 14:52:44,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.2493,109782,40335,3510,1500,,,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
82,15-03-2020 14:52:44,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.757,336666,123694,10765,4600,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
83,15-03-2020 14:52:44,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,1.2343,548912,201675,17552,7500,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
84,15-03-2020 14:52:44,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.3988,622100,228565,19892,8500,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
85,15-03-2020 14:52:44,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0299,14638,5378,468,200,,,,,,,,,,,,KURYER..500RUB.+BONUS
86,15-03-2020 14:52:44,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),True,1,нет,Тбилиси,10 гр,0.0224,10978,4034,351,150,,,,,,,,,,,,Rabota na marki (kur'er)
87,15-03-2020 14:52:44,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0329,14638,5378,468,200,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
88,15-03-2020 14:52:44,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0411,18297,6723,585,250,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
89,15-03-2020 14:52:44,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,2.491,1097823,403350,35103,15000,,,,,,,,,,,,Vakansija optovogo kur'era na mef
90,15-03-2020 14:54:35,Batumi,9VVG,ToWeedShop,Skunk! 50 gr.,,1,нет,Батуми,50 гр,0.246,109782,40335,3510,1500,,,,,,,,,True,,,Skunk! 50 gr.
91,15-03-2020 14:54:35,Batumi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),,нет,16,Батуми,5 гр,0.0298,14638,5378,468,200,,,,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
92,15-03-2020 14:54:35,Batumi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.3312,146376,53780,4680,2000,,,,,,,,,True,,,SUBOXIN - HQ - 100 G.
93,15-03-2020 14:54:35,Batumi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.2484,109782,40335,3510,1500,,,,,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
94,15-03-2020 14:54:35,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0149,7319,2689,234,100,,,,,,,,,True,,,kur'er v Batumi
95,15-03-2020 14:54:35,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0373,18297,6723,585,250,,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
96,15-03-2020 14:54:35,Batumi,A3I9,Joookerrr,Работа на марки (курьер),,1,нет,Батуми,10 гр,0.0224,10978,4034,351,150,,,,,,,,,True,,,Rabota na marki (kur'er)
97,15-03-2020 14:54:35,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0373,18297,6723,585,250,,,,,,,,,True,,,Ischu kur'era v Gruzii!
98,15-03-2020 14:54:35,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.482,1097823,403350,35103,15000,,,,,,,,,True,,,Vakansija optovogo kur'era na mef
99,15-03-2020 14:54:35,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.082,36594,13445,1170,500,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
100,15-03-2020 14:55:59,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,1,нет,Кутаиси,10 гр,0.0224,10978,4034,351,150,,,,,,,,,,,True,Rabota na marki (kur'er)
