,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Varketili,Vake,Дигоми,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
61,61,21-02-2020 13:26:50,Tbilisi,89f7212915,3 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,4,нет,Тбилиси,3 гр,0.0108,7649,2941,265,120.0,,,,,,,,,,,3 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
62,62,21-02-2020 13:26:50,Tbilisi,8ddca45a78,3g AFGHANI Indica THC 18% / BTC -10% sale,True,2,нет,Тбилиси,3 гр,0.0099,7012,2696,243,110.0,,,,,,,,,,,3g AFGHANI Indica THC 18% / BTC -10% sale
63,63,21-02-2020 13:26:50,Tbilisi,7c395c455d,3gr bubble hash thc 25% гашиш вишего качество HQ,True,1,нет,Тбилиси,3 гр,0.0243,15617,6005,540,245.0,,,,,,,,,,,3gr bubble hash thc 25% gashish vishego kachestvo HQ
64,64,21-02-2020 13:26:50,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,3,нет,Тбилиси,3 гр,0.0105,6693,2574,232,105.0,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
65,65,21-02-2020 13:26:50,Tbilisi,ae784bef73,White Widow ! 3G ! grainded,True,9,нет,Тбилиси,3 гр,0.0072,4589,1765,159,72.0,,,,,,,,,,,White Widow ! 3G ! grainded
66,66,21-02-2020 13:26:50,Tbilisi,4be7861731,metadon sirop 4ml,True,2,нет,Тбилиси,4 гр,0.0067,4271,1642,148,67.0,,,,,,,,,,,metadon sirop 4ml
67,67,21-02-2020 13:27:41,Tbilisi,366326d4d6,!!!NEW!!! 5G Critical KusH !!!NEW!!!,True,3,нет,Тбилиси,5 гр,0.016,10135,3897,351,159.0,,,,,,,,,,,!!!NEW!!! 5G Critical KusH !!!NEW!!!
68,68,21-02-2020 13:27:41,Tbilisi,366326d4d6,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,5,нет,Тбилиси,5 гр,0.0156,9880,3799,342,155.0,,,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
69,69,21-02-2020 13:27:41,Tbilisi,366326d4d6,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!,True,2,нет,Тбилиси,5 гр,0.0853,54180,20834,1874,850.0,,,,,,,,,,,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!
70,70,21-02-2020 13:27:41,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,2,нет,Тбилиси,5 гр,0.0176,11155,4289,386,175.0,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
71,71,21-02-2020 13:27:41,Tbilisi,0fa6c5b020,Hybrid Weed VHQ (5г) BТС 10% СКИДКА,True,1,нет,Тбилиси,5 гр,0.0154,10836,4167,375,170.0,,,,,,,,,,,Hybrid Weed VHQ (5g) BTS 10% SKIDKA
72,72,21-02-2020 13:27:41,Tbilisi,8219f5e7b8,"LSD - 250 ug, 5 pieces",True,3,нет,Тбилиси,5 гр,0.015,9561,3677,331,150.0,,,,,,,,,,,"LSD - 250 ug, 5 pieces"
73,73,21-02-2020 13:27:41,Tbilisi,366326d4d6,NEW !!! 5G OG KusH !!! NEW,True,6,нет,Тбилиси,5 гр,0.016,10135,3897,351,159.0,,,,,,,,,,,NEW !!! 5G OG KusH !!! NEW
74,74,21-02-2020 13:27:41,Tbilisi,366326d4d6,NEW !!! 5G White Widow !!! NEW,True,4,нет,Тбилиси,5 гр,0.0155,9816,3775,340,154.0,,,,,,,,,,,NEW !!! 5G White Widow !!! NEW
75,75,21-02-2020 13:27:41,Tbilisi,c225d2f67d,гашиш евро 5г,True,1,нет,Тбилиси,5 гр,0.02,13386,5147,463,210.0,,,,,,,,,,,gashish evro 5g
76,76,21-02-2020 13:27:41,Tbilisi,7ee4f68218,🍃 5гр ГАШИШ 🍃,True,1,нет,Тбилиси,5 гр,0.0257,17210,6618,595,270.0,,,,,,,,,,,🍃 5gr GAShISh 🍃
77,77,21-02-2020 13:27:41,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,True,5,нет,Тбилиси,10 гр,0.0265,17019,6544,589,267.0,,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
