,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),Saburtalo,Vake,Didube,.,Nadzaladevi,€,Авлобари,Батуми,Центр,Кутаиси,desc_en
43,27-04-2020 04:15:47,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,3,Тбилиси,10 гр,0.0892,52301,19145,1724,700,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
44,27-04-2020 04:15:47,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0408,23909,8752,788,320,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
45,27-04-2020 04:15:47,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.1019,59773,21880,1970,800,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
46,27-04-2020 04:15:47,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2835,166244,60854,5480,2225,,,,,,,,,,,,Amfetamin [White] [Import] 10G
47,27-04-2020 04:15:47,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,7,Тбилиси,10 гр,0.1865,108264,39630,3569,1449,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
48,27-04-2020 04:15:47,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0475,27570,10092,909,369,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
49,27-04-2020 04:15:47,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,1,Тбилиси,10 гр,0.0385,22340,8178,736,299,,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
50,27-04-2020 04:15:47,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 20 G.,True,нет,2,Тбилиси,20 гр,0.6435,373582,136750,12315,5000,,,,,,,,,,,,METADON - 20 G.
51,27-04-2020 04:15:47,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0771,44755,16383,1475,599,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
52,27-04-2020 04:15:47,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1402,82188,30085,2709,1100,,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
53,27-04-2020 04:15:47,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.3058,179319,65640,5911,2400,,,,,,,,,,,,100 gr marijuana buds
54,27-04-2020 04:15:47,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2548,149433,54700,4926,2000,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
