,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Varketili,Didube,Gldani,Saburtalo,Vake,Old Tbilisi (Старый город),Авлобари,Дигоми,Vazisubani,Nadzaladevi,Tbilisis Zgva,€,Батуми,Центр,Кутаиси,desc_en
50,23-04-2020 19:54:35,Tbilisi,8B31,GEOWEEDSHOP,200gr Georgian indica dominant buds. WHOLESALE PRICE!,True,нет,1,Тбилиси,200 гр,0.41,236656,85838,7859,3150,,,,,,,,,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
51,23-04-2020 19:54:35,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.5987,345593,125350,11477,4600,,,,,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
52,23-04-2020 19:54:35,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.9762,563468,204375,18712,7500,,,,,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
53,23-04-2020 19:54:35,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.1064,638597,231625,21207,8500,,,,,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
54,23-04-2020 19:54:35,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0237,15026,5450,499,200,,,,,,,,,,,,,,,,KURYER..500RUB.+BONUS
55,23-04-2020 19:54:35,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.026,15026,5450,499,200,,,,,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
56,23-04-2020 19:54:35,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0325,18782,6813,624,250,,,,,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
57,23-04-2020 19:54:35,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),True,нет,1,Тбилиси,25 гр,0.026,15026,5450,499,200,,,,,,,,,,,,,,,,Rabota na marki (kur'er)
58,23-04-2020 19:54:35,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.9702,1126935,408750,37424,15000,,,,,,,,,,,,,,,,Vakansija optovogo kur'era na mef
59,23-04-2020 19:56:02,Batumi,A3I9,Joookerrr,Батуми н-бооом 1 штука,,1,нет,Батуми,1 гр,0.0023,1461,531,49,,,,,,,,,,,,,18,True,,,Batumi n-booom 1 shtuka
60,23-04-2020 19:56:02,Batumi,A3I9,Joookerrr,Батуми н-бооом 2 штуки,,3,нет,Батуми,2 гр,0.0045,2597,944,86,,,,,,,,,,,,,32,True,,,Batumi n-booom 2 shtuki
61,23-04-2020 19:56:02,Batumi,A3I9,Joookerrr,Батуми н-бооом 4 штуки,,4,нет,Батуми,4 гр,0.007,4463,1623,149,,,,,,,,,,,,,55,True,True,,Batumi n-booom 4 shtuki
62,23-04-2020 19:56:02,Batumi,A3I9,Joookerrr,Батуми н-бооом 5 штук,,4,нет,Батуми,5 гр,0.0077,4869,1770,162,,,,,,,,,,,,,60,True,,,Batumi n-booom 5 shtuk
63,23-04-2020 19:56:02,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2864,165284,59950,5489,2200,,,,,,,,,,,,,True,,,[100g] SPAIN HASH
64,23-04-2020 19:56:02,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0118,7513,2725,249,100,,,,,,,,,,,,,True,,,kur'er v Batumi
65,23-04-2020 19:56:02,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0296,18782,6813,624,250,,,,,,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
66,23-04-2020 19:56:02,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0296,18782,6813,624,250,,,,,,,,,,,,,True,,,Ischu kur'era v Gruzii!
67,23-04-2020 19:56:02,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.9702,1126935,408750,37424,15000,,,,,,,,,,,,,True,,,Vakansija optovogo kur'era na mef
68,23-04-2020 19:56:02,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0651,37565,13625,1247,500,,,,,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
69,23-04-2020 19:57:15,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,3,нет,Кутаиси,1.5 гр,0.0244,14199,5150,472,189,,,,,,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
70,23-04-2020 19:57:15,Kutaisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,7,нет,Кутаиси,2 гр,0.0578,33357,12099,1108,444,,,,,,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
71,23-04-2020 19:57:15,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,3 гр,0.0404,23290,8448,773,310,,,,,,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
72,23-04-2020 19:57:15,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.026,15026,5450,499,200,,,,,,,,,,,,,,,True,Rabota na marki (kur'er)
