,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Gldani,Vake,€,Didube,Дигоми,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
52,29-03-2020 00:15:15,Tbilisi,XH0NP,XX-PABLO-XX,0.25G - METADON - VHQ,,4,5,Тбилиси,0.25 гр,0.0258,13603,4988,451,175,True,,,,,,,,,,,0.25G - METADON - VHQ
53,29-03-2020 00:15:15,Tbilisi,9VLN,AlienShop,✨✨2gram. MDMA✨✨,,нет,2,Тбилиси,2 гр,0.0295,15547,5700,515,200,True,,,,,,,,,,,✨✨2gram. MDMA✨✨
54,29-03-2020 00:15:15,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,,нет,4,Тбилиси,2 гр,0.0544,28683,10517,950,369,True,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
55,29-03-2020 00:15:15,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,3,Тбилиси,3 гр,0.0869,45862,16815,1519,590,True,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
56,29-03-2020 00:15:15,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0583,31093,11400,1030,400,True,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
57,29-03-2020 00:15:15,Tbilisi,JVZTQ,partyshop,5 Amnesia Haze марихуана шишки тгк 25%,,нет,4,Тбилиси,5 гр,0.0233,12437,4560,412,160,True,,,,,,,,,,,5 Amnesia Haze marihuana shishki tgk 25%
58,29-03-2020 00:15:15,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0802,42753,15675,1416,550,True,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
59,29-03-2020 00:15:15,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,1,Тбилиси,5 гр,0.0246,13137,4817,435,169,True,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
60,29-03-2020 00:15:15,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,,нет,9,Тбилиси,5 гр,0.0248,13215,4845,438,170,True,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
61,29-03-2020 00:15:15,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,1,Тбилиси,5 гр,0.029,15469,5672,513,199,True,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
62,29-03-2020 00:15:15,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,10,Тбилиси,5 гр,0.029,15469,5672,513,199,True,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
63,29-03-2020 00:15:15,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,9,Тбилиси,5 гр,0.029,15469,5672,513,199,True,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
64,29-03-2020 00:15:15,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.029,17023,6242,564,219,True,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
65,29-03-2020 00:15:15,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 5 G. (SHISHKI) (SALE),,нет,5,Тбилиси,5 гр,0.0442,23320,8550,773,300,True,,,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
66,29-03-2020 00:16:27,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3951,233198,85500,7726,3000,,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
67,29-03-2020 00:16:27,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,2,Тбилиси,5 гр,0.1272,67550,24767,2238,869,True,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
68,29-03-2020 00:16:27,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,5,Тбилиси,5 гр,0.0278,14769,5415,489,190,True,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
69,29-03-2020 00:16:27,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,,нет,5,Тбилиси,5 гр,0.0716,38011,13937,1259,489,True,,,,,,,,,,,💘✨5g. MDMA ✨💘
70,29-03-2020 00:16:27,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,нет,7,Тбилиси,5 гр,0.0277,14691,5387,487,189,True,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
71,29-03-2020 00:16:27,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.1304,69959,25650,2318,900,True,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
72,29-03-2020 00:16:27,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,5,Тбилиси,10 гр,0.1014,54413,19950,1803,700,True,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
73,29-03-2020 00:16:27,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,6,Тбилиси,10 гр,0.0464,24874,9120,824,320,True,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
74,29-03-2020 00:16:27,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,5,Тбилиси,10 гр,0.1159,62186,22800,2060,800,True,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
75,29-03-2020 00:16:27,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.3223,172955,63413,5730,2225,True,,,,,,,,,,,Amfetamin [White] [Import] 10G
76,29-03-2020 00:16:27,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,,нет,8,Тбилиси,10 гр,0.212,112634,41297,3732,1449,True,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
77,29-03-2020 00:16:27,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,10,Тбилиси,10 гр,0.054,28683,10517,950,369,True,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
78,29-03-2020 00:16:27,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,,нет,2,Тбилиси,10 гр,0.0438,23242,8522,770,299,True,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
