,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Дигоми,Nadzaladevi,€,Varketili,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
61,61,11-02-2020 02:40:47,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0247,15943,6175,546,250.0,,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
62,62,11-02-2020 02:40:47,Tbilisi,cb721d4bca,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,4,Тбилиси,5 гр,0.0197,12690,4915,435,199.0,,,,,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
63,63,11-02-2020 02:40:47,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,4,Тбилиси,5 гр,0.0247,15943,6175,546,250.0,,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
64,64,11-02-2020 02:41:27,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0197,13966,5409,478,219.0,,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
65,65,11-02-2020 02:41:27,Tbilisi,851e5b91a0,"Doctor Jamaica (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%)",True,нет,3,Тбилиси,5 гр,0.0188,13328,5162,457,209.0,,,,,,,,,,,,,"Doctor Jamaica (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%)"
66,66,11-02-2020 02:41:27,Tbilisi,851e5b91a0,"Jack Herer - (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%)",True,нет,3,Тбилиси,5 гр,0.0188,13328,5162,457,209.0,,,,,,,,,,,,,"Jack Herer - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%)"
67,67,11-02-2020 02:41:27,Tbilisi,851e5b91a0,"NEW! O.G. Kush - (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%)",True,нет,5,Тбилиси,5 гр,0.0188,13328,5162,457,209.0,,,,,,,,,,,,,"NEW! O.G. Kush - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%)"
68,68,11-02-2020 02:41:27,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана SABURTALO! если платите с бтк скидка 10% !!,True,нет,10,Тбилиси,5 гр,0.0247,15943,6175,546,250.0,,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana SABURTALO! esli platite s btk skidka 10% !!
69,69,11-02-2020 02:41:27,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),True,нет,19,Тбилиси,5 гр,0.018000000000000002,12754,4940,437,200.0,,,,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
70,70,11-02-2020 02:41:27,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.1973,140000,64421,4794,,,,,,,,,,,,,,reagent 25i nbome. 5gr
71,71,11-02-2020 02:41:27,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2697,191312,74100,6554,3000.0,,,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
72,72,11-02-2020 02:41:27,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,8,Тбилиси,5 гр,0.0488,31184,12078,1068,489.0,,,,,,,,,,,,,💘✨5g. MDMA ✨💘
73,73,11-02-2020 02:41:27,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,2,Тбилиси,5 гр,0.018000000000000002,11479,4446,393,180.0,,,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
74,74,11-02-2020 02:41:27,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0395,25445,9855,872,399.0,,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
75,75,11-02-2020 02:41:27,Tbilisi,ce030318fd,"10g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,4,Тбилиси,10 гр,0.1798,127542,49400,4369,2000.0,,,,,,,,,,,,,"10g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
76,76,11-02-2020 02:41:27,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.0791,51017,19760,1748,800.0,,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
77,77,11-02-2020 02:41:27,Tbilisi,851e5b91a0,"Doctor Jamaica (Only Buds, IMPORT) Шишки(всегда подъезд) 10G (BTC sale 10%) (предзаказ будет сделан очень оперативно)",True,нет,5,Тбилиси,10 гр,0.0359,25445,9855,872,399.0,,,,,,,,,,,,,"Doctor Jamaica (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 10G (BTC sale 10%) (predzakaz budet sdelan ochen' operativno)"
78,78,11-02-2020 02:41:27,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.22,141890,54958,4861,2225.0,,,,,,,,,,,,,Amfetamin [White] [Import] 10G
79,79,11-02-2020 02:41:27,Tbilisi,dd631c4acf,💘✨10gram MDMA ✨💘,True,нет,10,Тбилиси,10 гр,0.0807,51527,19958,1765,808.0,,,,,,,,,,,,,💘✨10gram MDMA ✨💘
80,80,11-02-2020 02:41:27,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,2,Тбилиси,10 гр,0.0299,19067,7385,653,299.0,,,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
81,81,11-02-2020 02:41:27,Tbilisi,84c8f0bee0,SALE 50%. Шишки 11гр (лсд феминиз),True,нет,2,Тбилиси,11 гр,0.0148,9566,3705,328,150.0,,,,,,,,,,,,,SALE 50%. Shishki 11gr (lsd feminiz)
82,82,11-02-2020 02:41:27,Tbilisi,c9a56b2b4a,15x Extasy Duracell 223mg MDMA.,True,нет,10,Тбилиси,15 гр,0.0449,28697,11115,983,450.0,,,,,,,,,,,,,15x Extasy Duracell 223mg MDMA.
83,83,11-02-2020 02:41:27,Tbilisi,ce030318fd,"20g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,8,Тбилиси,20 гр,0.2966,210444,81510,7210,3300.0,,,,,,,,,,,,,"20g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
84,84,11-02-2020 02:41:27,Tbilisi,64284550d9,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.0569,38262,14820,1311,600.0,,,,,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
85,85,11-02-2020 02:41:27,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1079,76525,29640,2622,1200.0,,,,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
86,86,11-02-2020 02:41:27,Tbilisi,64284550d9,50G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,50 гр,0.0854,57394,22230,1966,900.0,,,,,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
87,87,11-02-2020 02:41:27,Tbilisi,30f48d507d,Hybrid Skunk! 50 gr,True,нет,2,Тбилиси,50 гр,0.0939,60582,23465,2075,950.0,,,,,,,,,,,,,Hybrid Skunk! 50 gr
88,88,11-02-2020 02:41:27,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.1978,127542,49400,4369,2000.0,,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
89,89,11-02-2020 02:41:27,Tbilisi,30f48d507d,Hybrid Skunk! 100 gr,True,нет,1,Тбилиси,100 гр,0.17800000000000002,114787,44460,3932,1800.0,,,,,,,,,,,,,Hybrid Skunk! 100 gr
90,90,11-02-2020 02:41:27,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2472,159427,61750,5462,2500.0,,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
