,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,Vake,$,Авлобари,Дигоми,Nadzaladevi,Varketili,Old Tbilisi (Старый город),Saburtalo,Gldani,Vazisubani,€,Центр,Батуми,Кутаиси,desc_en
63,63,03-05-2020 04:44:03,Tbilisi,54915c4374,"""Джокер экспрес"" марки нбооом 10 шт",True,нет,10,Тбилиси,10 гр,0.0115,2992,266,8000,,110.0,,,,,,,,,,,,,"""Dzhoker ekspres"" marki nbooom 10 sht"
64,64,03-05-2020 04:44:03,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0941,24480,2173,65454,,900.0,,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
65,65,03-05-2020 04:44:03,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0418,10880,966,29091,,400.0,,,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
66,66,03-05-2020 04:44:03,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,3,Тбилиси,10 гр,0.0732,19040,1690,50908,,700.0,,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
67,67,03-05-2020 04:44:03,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0335,8704,773,23272,,320.0,,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
68,68,03-05-2020 04:44:03,Tbilisi,89f7212915,10G Hybrid Marijuana Leafs,True,нет,40,Тбилиси,10 гр,0.0105,2720,241,7273,,100.0,,,,,,,,,,,,,10G Hybrid Marijuana Leafs
69,69,03-05-2020 04:44:54,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.0836,21760,1931,58181,,800.0,,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
70,70,03-05-2020 04:44:54,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 10 Gr,True,нет,2,Тбилиси,10 гр,0.0303,7888,700,21091,,290.0,,,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 10 Gr
71,71,03-05-2020 04:44:54,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2326,60520,5372,161816,,2225.0,,,,,,,,,,,,,Amfetamin [White] [Import] 10G
72,72,03-05-2020 04:44:55,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,6,Тбилиси,10 гр,0.1646,42405,3764,113380,,1559.0,,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
