,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Vazisubani,Дигоми,Old Tbilisi (Старый город),Авлобари,€,Didube,Vake,Varketili,Батуми,Центр,desc_en
26,12-08-2020 03:29:30,Tbilisi,I7IU,MrPickless,1.2гр перемолотые шишки btc 5% sale,True,1,нет,Тбилиси,1.2 гр,0.0029,2560,973,86,35,,,,,,,,,,,,1.2gr peremolotye shishki btc 5% sale
27,12-08-2020 03:29:30,Tbilisi,LYHBG,Playboy,!!!NEW!!! 2G Jack Herer !!!NEW!!!,True,7,нет,Тбилиси,2 гр,0.0086,7242,2752,242,99,,,,,,,,,,,,!!!NEW!!! 2G Jack Herer !!!NEW!!!
28,12-08-2020 03:29:30,Tbilisi,03F3,geoshop,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,1,нет,Тбилиси,2 гр,0.0085,7242,2752,242,99,,,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
29,12-08-2020 03:29:30,Tbilisi,3Y9,HIGHTHC,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,5,нет,Тбилиси,2 гр,0.0086,7315,2780,245,100,,,,,,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
30,12-08-2020 03:29:30,Tbilisi,ABOAB,ProGrow,2G ---> Big Devil (BTC - Sale),True,3,нет,Тбилиси,2 гр,0.0077,6584,2502,220,90,,,,,,,,,,,,2G ---> Big Devil (BTC - Sale)
31,12-08-2020 03:29:30,Tbilisi,7LHWP,GEOBUDS,2gr HYBRID buds,True,3,нет,Тбилиси,2 гр,0.0075,6437,2446,215,88,,,,,,,,,,,,2gr HYBRID buds
32,12-08-2020 03:29:30,Tbilisi,8B31,GEOWEEDSHOP,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,2,нет,Тбилиси,2 гр,0.008,6803,2585,228,93,True,True,,,,,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
33,12-08-2020 03:29:30,Tbilisi,XUYA,MRweed,"Gorilla Breath - photoperiod, feminised 2 гр",,2,нет,Тбилиси,2 гр,0.0086,8047,3058,269,110,,,True,,,,,,,,,"Gorilla Breath - photoperiod, feminised 2 gr"
34,12-08-2020 03:29:30,Tbilisi,LYHBG,Playboy,NEW !!! 2G OG KusH !!! NEW,True,6,нет,Тбилиси,2 гр,0.0086,7242,2752,242,99,,,,,,,,,,,,NEW !!! 2G OG KusH !!! NEW
35,12-08-2020 03:29:30,Tbilisi,LYHBG,Playboy,NEW !!! 2G White Widow !!! NEW,True,3,нет,Тбилиси,2 гр,0.0086,7242,2752,242,99,,,,,,,,,,,,NEW !!! 2G White Widow !!! NEW
36,12-08-2020 03:31:09,Tbilisi,5XD8,TYsonWeed,TYson Budds 2G Скидка 5%,True,5,нет,Тбилиси,2 гр,0.0062,5852,2224,196,80,,,,,,,,,,,,TYson Budds 2G Skidka 5%
37,12-08-2020 03:31:09,Tbilisi,QUZIV,Hollyweed,Marijuana Super Skunk leaves 3g plan (подезд),,2,нет,Тбилиси,3 гр,0.0021,1756,667,59,24,True,,,,,,,,,,,Marijuana Super Skunk leaves 3g plan (podezd)
38,12-08-2020 03:31:09,Tbilisi,R4156,bestchoice,Northern Lights Regular [budsonly] 3gramm,True,3,нет,Тбилиси,3 гр,0.007,6584,2502,220,90,,,,,,,,,,,,Northern Lights Regular [budsonly] 3gramm
39,12-08-2020 03:31:09,Tbilisi,LYHBG,Playboy,!!!NEW!!! 4G Critical KusH !!!NEW!!!,True,2,нет,Тбилиси,4 гр,0.012,10168,3864,340,139,,,,,,,,,,,,!!!NEW!!! 4G Critical KusH !!!NEW!!!
40,12-08-2020 03:31:09,Tbilisi,LYHBG,Playboy,!!!NEW!!! 5G Critical KusH !!!NEW!!!,True,1,нет,Тбилиси,5 гр,0.0146,12363,4698,414,169,,,,,,,,,,,,!!!NEW!!! 5G Critical KusH !!!NEW!!!
41,12-08-2020 03:31:09,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 5гр",,1,нет,Тбилиси,5 гр,0.0186,17557,6672,588,240,,,True,,,,,,,,,"Hindu Kush (photoperiod, regular) 5gr"
42,12-08-2020 03:31:09,Tbilisi,2LY77,SveetWeed,15 + GRAMM NEW BEASTWEED,True,1,нет,Тбилиси,15 гр,0.0162,15289,5810,512,209,,,,,,,,,,,,15 + GRAMM NEW BEASTWEED
43,12-08-2020 03:31:09,Tbilisi,18FB,Mr.Green Tbilis,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,нет,10,Тбилиси,5 гр,0.0214,18288,6950,612,250,,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
44,12-08-2020 03:31:09,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,6,Тбилиси,5 гр,0.0231,19751,7506,661,270,,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
45,12-08-2020 03:31:09,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.0235,20117,7645,673,275,,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
46,12-08-2020 03:31:09,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0205,17557,6672,588,240,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
47,12-08-2020 03:31:09,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,6,Тбилиси,5 гр,0.0239,20483,7784,686,280,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
48,12-08-2020 03:31:09,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0231,19751,7506,661,270,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
49,12-08-2020 03:31:09,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.017,16020,6088,536,219,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
50,12-08-2020 03:31:09,Tbilisi,XUYA,MRweed,"Gorilla Breath - photoperiod, feminised 5гр",True,нет,2,Тбилиси,5 гр,0.0186,17557,6672,588,240,,,,,,,,,,,,"Gorilla Breath - photoperiod, feminised 5gr"
