,Unnamed: 0,time_stamp,region,sell_code,description,Didube,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Saburtalo,Vake,Gldani,Дигоми,Old Tbilisi (Старый город),Авлобари,Батуми,€,Центр,Кутаиси,desc_en
64,64,27-05-2020 13:53:04,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,,нет,5,Тбилиси,100 гр,0.2719,177781,67923,6003,2499.0,True,,,,,,,,,,,100 gr georgian weed. Package on magnet
65,65,27-05-2020 13:53:04,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2612,170738,65232,5765,2400.0,True,,,,,,,,,,,100 gr marijuana buds
66,66,27-05-2020 13:53:04,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2176,142282,54360,4804,2000.0,True,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
67,67,27-05-2020 13:53:04,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.272,177852,67950,6005,2500.0,True,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
68,68,27-05-2020 13:54:09,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.272,177852,67950,6005,2500.0,True,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
69,69,27-05-2020 13:54:09,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.642,419731,160362,14172,5900.0,True,,,,,,,,,,,180 gr marihuana persoalno
70,70,27-05-2020 13:54:09,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.5006,327248,125028,11049,4600.0,True,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
71,71,27-05-2020 13:54:09,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.8161,533556,203850,18015,7500.0,True,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
72,72,27-05-2020 13:54:09,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.925,604697,231030,20417,8500.0,True,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
73,73,27-05-2020 13:54:09,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0198,14228,5436,480,200.0,True,,,,,,,,,,,KURYER..500RUB.+BONUS
74,74,27-05-2020 13:54:09,Tbilisi,52fe6d0af9,Need Delivery 300$ Only MJ & Hash | куриер залог 300$ | 200 Rub For Adress 0.5-1 Gr,,нет,1,Тбилиси,1 гр,0.0326,21342,8154,721,300.0,True,,,,,,,,,,,Need Delivery 300$ Only MJ & Hash | kurier zalog 300$ | 200 Rub For Adress 0.5-1 Gr
75,75,27-05-2020 13:54:09,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0218,14228,5436,480,200.0,True,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
76,76,27-05-2020 13:54:09,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0272,17785,6795,601,250.0,True,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
77,77,27-05-2020 13:54:09,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.6471,1067112,407700,36030,15000.0,True,,,,,,,,,,,Vakansija optovogo kur'era na mef
78,78,27-05-2020 13:55:41,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2398,156510,59796,5284,2200.0,,,,,,,,True,,,,[100g] SPAIN HASH
79,79,27-05-2020 13:55:41,Batumi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм",,нет,1,Батуми,0.5 гр,0.0093,6047,2310,204,85.0,,,,,,,,True,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm"
80,80,27-05-2020 13:55:41,Batumi,54915c4374,MDMA !! 3 грамма,,нет,1,Батуми,3 гр,0.0441,28812,11008,973,405.0,,,,,,,,True,,,,MDMA !! 3 gramma
81,81,27-05-2020 13:55:41,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1731,112990,51992,3817,,,,,,,,,True,,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
82,82,27-05-2020 13:55:41,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2741,178900,82321,6043,,,,,,,,,True,,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
83,83,27-05-2020 13:55:41,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0099,7114,2718,240,100.0,,,,,,,,True,,,,kur'er v Batumi
84,84,27-05-2020 13:55:41,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0248,17785,6795,601,250.0,,,,,,,,True,,,,Rabota kladmenom. Tol'ko shishki.
85,85,27-05-2020 13:55:41,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0248,17785,6795,601,250.0,,,,,,,,True,,,,Ischu kur'era v Gruzii!
86,86,27-05-2020 13:55:41,Batumi,54915c4374,Работа на марки (курьер),,нет,1,Батуми,25 гр,0.0298,19446,7450,657,,,,,,,,,True,250.0,,,Rabota na marki (kur'er)
87,87,27-05-2020 13:55:41,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6497,1067112,407700,36030,15000.0,,,,,,,,True,,,,Vakansija optovogo kur'era na mef
88,88,27-05-2020 13:55:41,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0545,35570,13590,1201,500.0,,,,,,,,True,,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
89,89,27-05-2020 13:57:04,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,6,нет,Кутаиси,2 гр,0.0523,34503,13182,1165,485.0,,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
90,90,27-05-2020 13:57:04,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! BTC SALE 5%!!!!,,4,нет,Кутаиси,3 гр,0.0352,23476,8969,793,330.0,,,,,,,,,,,True,MDMA from Europe!!! 3g !!! BTC SALE 5%!!!!
91,91,27-05-2020 13:57:04,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0298,19446,7450,657,,,,,,,,,,250.0,,True,Rabota na marki (kur'er)
