,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Varketili,Дигоми,€,Nadzaladevi,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
91,91,10-02-2020 02:48:38,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0192,12694,4940,435,200.0,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
92,92,10-02-2020 02:48:38,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.024,15868,6175,544,250.0,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
93,93,10-02-2020 02:48:38,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.452,952080,370500,32643,15000.0,,,,,,,,,,,,Vakansija optovogo kur'era na mef
94,94,10-02-2020 02:49:37,Batumi,ea97036e14,Метамфетамин рацемат 2г (MQ),,2,нет,Батуми,2 гр,0.0082,5395,2100,185,85.0,,,,,,,,,True,,,Metamfetamin ratsemat 2g (MQ)
95,95,10-02-2020 02:49:37,Batumi,d50134d8a6,"Combo: bruce lee, wembley, speedi+ (3g)",,2,нет,Батуми,3 гр,0.0131,9521,3705,326,150.0,,,,,,,,,True,,,"Combo: bruce lee, wembley, speedi+ (3g)"
96,96,10-02-2020 02:49:37,Batumi,f8a875c191,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE - SALE - SALE ),,3,10,Батуми,0.27 гр,0.022000000000000002,14408,5607,494,227.0,,,,,,,,,True,,,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE - SALE - SALE )
97,97,10-02-2020 02:49:37,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,19,Батуми,5 гр,0.0174,12694,4940,435,200.0,,,,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
98,98,10-02-2020 02:49:37,Batumi,30f48d507d,Hybrid Skunk! 50 gr,,нет,2,Батуми,50 гр,0.091,60298,23465,2067,950.0,,,,,,,,,True,,,Hybrid Skunk! 50 gr
99,99,10-02-2020 02:49:37,Batumi,30f48d507d,Hybrid Skunk! 100 gr,,нет,1,Батуми,100 гр,0.1724,114250,44460,3917,1800.0,,,,,,,,,True,,,Hybrid Skunk! 100 gr
100,100,10-02-2020 02:49:37,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2902,190416,74100,6529,3000.0,,,,,,,,,True,,,SUBOXIN - HQ - 100 G.
