,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Varketili,Дигоми,Saburtalo,Old Tbilisi (Старый город),Авлобари,Didube,Vake,Батуми,€,Центр,desc_en
51,51,15-08-2020 09:51:22,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0228,19768,7452,663,270.0,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
52,52,15-08-2020 09:51:22,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0168,16034,6044,538,219.0,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
53,53,15-08-2020 09:51:22,Tbilisi,3c9bc6f8e9,"Gorilla Breath - photoperiod, feminised 5гр",True,нет,2,Тбилиси,5 гр,0.0184,17572,6624,590,240.0,,,,,,,,,,,,"Gorilla Breath - photoperiod, feminised 5gr"
54,54,15-08-2020 09:51:22,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.0211,18304,6900,614,250.0,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
55,55,15-08-2020 09:51:22,Tbilisi,52fe6d0af9,Subotex From France B8 VHQ 5pc,True,нет,1,Тбилиси,5 гр,0.091,79073,29808,2653,1080.0,,,,,,,,,,,,Subotex From France B8 VHQ 5pc
56,56,15-08-2020 09:51:22,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.1988,190000,87429,6381,,,,,,,,,,,,,reagent 25i nbome. 5gr
57,57,15-08-2020 09:51:22,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2298,219647,82800,7369,3000.0,,,,,True,True,,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
58,58,15-08-2020 09:51:22,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0463,40269,15180,1351,550.0,,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
59,59,15-08-2020 09:51:22,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.059000000000000004,51251,19320,1719,700.0,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
60,60,15-08-2020 09:51:22,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0354,30751,11592,1032,420.0,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
61,61,15-08-2020 09:51:22,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0674,58573,22080,1965,800.0,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
62,62,15-08-2020 09:51:22,Tbilisi,9610a68a0a,GABAGAMA 10 shtuk,True,нет,6,Тбилиси,10 гр,0.0012,1025,386,34,14.0,,,,,,,,,,,,GABAGAMA 10 shtuk
63,63,15-08-2020 09:51:22,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.1875,162905,61410,5465,2225.0,,,,,,,,,,,,Amfetamin [White] [Import] 10G
64,64,15-08-2020 09:51:22,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2022,175718,66240,5895,2400.0,,,,,,,,,,,,100 gr marijuana buds
65,65,15-08-2020 09:51:22,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2107,183039,69000,6141,2500.0,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
66,66,15-08-2020 09:51:22,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.4972,431973,162840,14493,5900.0,,,,,,,,,,,,180 gr marihuana persoalno
67,67,15-08-2020 09:51:22,Tbilisi,9610a68a0a,GABAGAMA 250 shtuk,,нет,4,Тбилиси,250 гр,0.0242,21000,9663,705,,,,,,,,True,,,,,GABAGAMA 250 shtuk
68,68,15-08-2020 09:51:22,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.7163,622333,234600,20879,8500.0,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
69,69,15-08-2020 09:51:22,Tbilisi,3c9bc6f8e9,Курьер Тбилиси,True,1,нет,Тбилиси,1 гр,0.0153,14643,5520,491,200.0,,,,,,,,,,,,Kur'er Tbilisi
70,70,15-08-2020 09:51:22,Tbilisi,509c9eb778,РоСС Убой 2гр,True,нет,33,Тбилиси,2 гр,0.0062,5638,2125,189,77.0,,,,,,,,,,,,RoSS Uboj 2gr
71,71,15-08-2020 09:51:22,Tbilisi,6932ed9978,10g Methadone Crystal (В ЦЕНТРЕ НА МАГНИТАХ),True,нет,2,Тбилиси,10 гр,0.2451,234290,88320,7860,3200.0,,,,,,,,,,,,10g Methadone Crystal (V TsENTRE NA MAGNITAH)
72,72,15-08-2020 09:52:14,Tbilisi,3c9bc6f8e9,Курьер Тбилиси. позиция для конкретного человека.,True,1,нет,Тбилиси,1 гр,0.0077,7322,2760,246,100.0,,,,,,,,,,,,Kur'er Tbilisi. pozitsija dlja konkretnogo cheloveka.
73,73,15-08-2020 09:52:14,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,1,нет,Тбилиси,1 гр,0.0211,18304,6900,614,250.0,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
74,74,15-08-2020 09:52:14,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,1,Тбилиси,1 гр,0.0169,14643,5520,491,200.0,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
75,75,15-08-2020 09:52:14,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,3,Тбилиси,1 гр,0.0211,18304,6900,614,250.0,,,,,,,,,,,,Rabota na marki (kur'er)
76,76,15-08-2020 09:52:14,Tbilisi,52fe6d0af9,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,True,нет,1,Тбилиси,5 гр,0.0421,36608,13800,1228,500.0,,,,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
77,77,15-08-2020 09:52:14,Tbilisi,ccc85b93d8,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | работат куриерам ЗП 5-20$ за адресс залог 500$,True,нет,1,Тбилиси,10 гр,0.0421,36608,13800,1228,500.0,,,,,,,,,,,,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | rabotat kurieram ZP 5-20$ za adress zalog 500$
78,78,15-08-2020 09:52:14,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.2755,1098236,414000,36846,15000.0,,,,,,,,,,,,Vakansija optovogo kur'era na mef
79,79,15-08-2020 09:52:14,Tbilisi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,3,Тбилиси,1000 гр,0.0421,36608,13800,1228,500.0,,True,,,True,,,True,,,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
80,80,15-08-2020 09:52:14,Tbilisi,98f436eeb7,верифицированный аккаунт на localbitcoins 1 шт,True,нет,2,Тбилиси,1 гр,0.0035,3000,1380,101,,,,,,,,,,,,,verifitsirovannyj akkaunt na localbitcoins 1 sht
81,81,15-08-2020 09:52:14,Tbilisi,98f436eeb7,Генацвале! Работай у лучшей девушки RC!,True,нет,1,Тбилиси,2 гр,0.0084,7322,2760,246,100.0,,,,,,,,,,,,Genatsvale! Rabotaj u luchshej devushki RC!
82,82,15-08-2020 09:53:46,Batumi,75738ec358,ASTRAL 10g,,1,нет,Батуми,10 гр,0.0512,45394,17112,1523,620.0,,,,,,,,,True,,,ASTRAL 10g
83,83,15-08-2020 09:53:46,Batumi,75738ec358,ASTRAL 15g,,2,нет,Батуми,15 гр,0.0702,62233,23460,2088,850.0,,,,,,,,,True,,,ASTRAL 15g
84,84,15-08-2020 09:53:46,Batumi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,4,Батуми,10 гр,0.04,34477,13007,1157,,,,,,,,,,True,399.0,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
85,85,15-08-2020 09:53:46,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,3,Батуми,11 гр,0.0391,33700,12714,1131,,,,,,,,,,True,390.0,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
86,86,15-08-2020 09:53:46,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0192,18304,6900,614,250.0,,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
87,87,15-08-2020 09:53:46,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0192,18304,6900,614,250.0,,,,,,,,,True,,,Ischu kur'era v Gruzii!
88,88,15-08-2020 09:53:46,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0169,14643,5520,491,200.0,,,,,,,,,True,,,Kur'er Batumi na marihuanu
89,89,15-08-2020 09:53:46,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.2755,1098236,414000,36846,15000.0,,,,,,,,,True,,,Vakansija optovogo kur'era na mef
90,90,15-08-2020 09:53:46,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,2,Батуми,1000 гр,0.0421,36608,13800,1228,500.0,,,,,,,,,,,True,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
