,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,$,Didube,Gldani,Дигоми,Vake,Saburtalo,Old Tbilisi (Старый город),Авлобари,Varketili,Батуми,Центр,desc_en
55,55,07-07-2020 02:28:57,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6243,420911,160480,14356,,5900.0,,,,,,,,,,,180 gr marihuana persoalno
56,56,07-07-2020 02:28:57,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8993,606398,231200,20682,,8500.0,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
57,57,07-07-2020 02:28:57,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0192,14268,5440,487,,200.0,,,,,,,,,,,KURYER..500RUB.+BONUS
58,58,07-07-2020 02:28:57,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,1,нет,Тбилиси,1 гр,0.0265,17835,6800,608,,250.0,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
59,59,07-07-2020 02:28:57,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,1,Тбилиси,1 гр,0.0212,14268,5440,487,,200.0,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
60,60,07-07-2020 02:28:57,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,3,Тбилиси,1 гр,0.0265,17835,6800,608,,250.0,,,,,,,,,,,Rabota na marki (kur'er)
61,61,07-07-2020 02:28:57,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.6015,1070114,408000,36498,,15000.0,,,,,,,,,,,Vakansija optovogo kur'era na mef
62,62,07-07-2020 02:28:57,Tbilisi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,3,Тбилиси,1000 гр,0.0529,35670,13600,1217,,500.0,,,,True,,True,,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
63,63,07-07-2020 02:31:29,Batumi,3b3ba4f5a5,Мелкие шишки (Indica) 2г,,4,нет,Батуми,2 гр,0.0051,3424,1306,117,,48.0,,,,,,,,,True,,Melkie shishki (Indica) 2g
64,64,07-07-2020 02:31:29,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Батуми,11 гр,0.047,31418,12012,1072,390.0,,,,,,,,,,True,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
65,65,07-07-2020 02:31:29,Batumi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,4,Батуми,11 гр,0.0507,33834,12936,1155,420.0,,,,,,,,,,True,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
66,66,07-07-2020 02:31:29,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1677,112990,51992,3844,,,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
67,67,07-07-2020 02:31:29,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2655,178900,82321,6086,,,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
68,68,07-07-2020 02:31:29,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0096,7134,2720,243,,100.0,,,,,,,,,True,,kur'er v Batumi
69,69,07-07-2020 02:31:29,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0241,17835,6800,608,,250.0,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
70,70,07-07-2020 02:31:29,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0241,17835,6800,608,,250.0,,,,,,,,,True,,Ischu kur'era v Gruzii!
71,71,07-07-2020 02:31:29,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0212,14268,5440,487,,200.0,,,,,,,,,True,,Kur'er Batumi na marihuanu
72,72,07-07-2020 02:31:29,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6019999999999999,1070114,408000,36498,,15000.0,,,,,,,,,True,,Vakansija optovogo kur'era na mef
73,73,07-07-2020 02:31:29,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0529,35670,13600,1217,,500.0,,,,,,,,,,True,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
