,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Varketili,Saburtalo,€,Vake,Дигоми,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
40,40,18-02-2020 15:58:01,Tbilisi,1768a14bbd,Cocaine HQ Высокое качество 2020 SALE 2гр.,True,3,нет,Тбилиси,2 гр,0.0374,23595,9069,812,370.0,,,,,,,,,,,Cocaine HQ Vysokoe kachestvo 2020 SALE 2gr.
41,41,18-02-2020 15:58:01,Tbilisi,be97026d1d,Columbia Cocaine VHQ 2.0g BTC SALE 5%,True,1,нет,Тбилиси,2 гр,0.0348,22638,8701,779,355.0,,,,,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5%
42,42,18-02-2020 15:58:01,Tbilisi,851e5b91a0,"Godfather OG - (Only Buds, IMPORT) Шишки(всегда подъезд) 2G (BTC sale 10%)",,4,нет,Тбилиси,2 гр,0.008,5612,2157,193,88.0,,True,,,,,,,,,"Godfather OG - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 2G (BTC sale 10%)"
43,43,18-02-2020 15:58:01,Tbilisi,3c4662c591,KALI MIST 2G,,8,нет,Тбилиси,2 гр,0.01,6377,2451,219,100.0,,True,,,,,,,,,KALI MIST 2G
44,44,18-02-2020 15:58:01,Tbilisi,8219f5e7b8,Ketamine 2 g,True,1,нет,Тбилиси,2 гр,0.0182,11479,4412,395,180.0,,,,,,,,,,,Ketamine 2 g
45,45,18-02-2020 15:58:01,Tbilisi,8219f5e7b8,"LSD - 250 ug, 2 pieces",True,1,нет,Тбилиси,2 гр,0.0071,4464,1716,154,70.0,,,,,,,,,,,"LSD - 250 ug, 2 pieces"
46,46,18-02-2020 15:58:01,Tbilisi,be97026d1d,MDMA from Europe!!! 2g BTC SALE 5%(ПОДЪЕЗД!!!),,3,нет,Тбилиси,2 гр,0.0172,11160,4289,384,175.0,,,,,True,,,,,,MDMA from Europe!!! 2g BTC SALE 5%(POD'EZD!!!)
47,47,18-02-2020 15:58:01,Tbilisi,c72111ac1a,NZT-52 mind storm limited 2г мука,True,8,нет,Тбилиси,2 гр,0.02,14029,5392,483,220.0,,,,,,,,,,,NZT-52 mind storm limited 2g muka
48,48,18-02-2020 15:58:01,Tbilisi,edfbad0151,Pineapple Express 2G pressed buds only (hydro),True,2,нет,Тбилиси,2 гр,0.0083,5420,2083,187,85.0,,,,,,,,,,,Pineapple Express 2G pressed buds only (hydro)
49,49,18-02-2020 15:58:01,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 2g.,True,1,нет,Тбилиси,2 гр,0.0355,24870,9559,856,390.0,,,,,,,,,,,VHQ BEST Cocaine 2g.
50,50,18-02-2020 15:58:01,Tbilisi,d04eeb6525,Кокаин HQ 2г.,True,4,нет,Тбилиси,2 гр,0.0364,24169,9289,832,379.0,,,,,,,,,,,Kokain HQ 2g.
51,51,18-02-2020 15:58:01,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 2g,,3,нет,Тбилиси,2 гр,0.0349,22256,8554,766,349.0,,,,True,,,,,,,Kokain KOLUMBIA 2g
52,52,18-02-2020 15:58:01,Tbilisi,366326d4d6,3 Ecstasy >TEKASHI 69< !!! L I M I T E D !!!,True,1,нет,Тбилиси,3 гр,0.011000000000000001,6951,2672,239,109.0,,,,,,,,,,,3 Ecstasy >TEKASHI 69< !!! L I M I T E D !!!
53,53,18-02-2020 15:58:01,Tbilisi,89f7212915,3 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,4,нет,Тбилиси,3 гр,0.0114,7971,3064,274,125.0,,,,,,,,,,,3 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
54,54,18-02-2020 15:58:01,Tbilisi,8ddca45a78,3g AFGHANI Indica THC 18% / BTC -10% sale,True,2,нет,Тбилиси,3 гр,0.01,7015,2696,241,110.0,,,,,,,,,,,3g AFGHANI Indica THC 18% / BTC -10% sale
55,55,18-02-2020 15:58:01,Tbilisi,7c395c455d,3gr bubble hash thc 25% гашиш вишего качество HQ,True,1,нет,Тбилиси,3 гр,0.0245,15624,6005,538,245.0,,,,,,,,,,,3gr bubble hash thc 25% gashish vishego kachestvo HQ
56,56,18-02-2020 15:58:01,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,2,нет,Тбилиси,3 гр,0.0106,6696,2574,230,105.0,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
57,57,18-02-2020 15:58:01,Tbilisi,c72111ac1a,NZT-52 mind storm limited 3г мука,True,1,нет,Тбилиси,3 гр,0.0282,19769,7598,680,310.0,,,,,,,,,,,NZT-52 mind storm limited 3g muka
