,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Didube,Saburtalo,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
45,45,20-05-2020 00:46:59,Tbilisi,54915c4374,"""Express Batumi"" марки н-боооом 8 шт.",True,нет,4,Тбилиси,8 гр,0.0102,7239,2667,244,100.0,,,,,,,,,,"""Express Batumi"" marki n-boooom 8 sht."
46,46,20-05-2020 00:46:59,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0916,65153,24003,2193,900.0,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
47,47,20-05-2020 00:46:59,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0407,28957,10668,975,400.0,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
48,48,20-05-2020 00:46:59,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0712,50674,18669,1706,700.0,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
49,49,20-05-2020 00:46:59,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0427,30405,11201,1023,420.0,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
50,50,20-05-2020 00:46:59,Tbilisi,89f7212915,10G Hybrid Marijuana Leafs,True,нет,38,Тбилиси,10 гр,0.0102,7239,2667,244,100.0,,,,,,,,,,10G Hybrid Marijuana Leafs
51,51,20-05-2020 00:46:59,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0814,57913,21336,1949,800.0,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
52,52,20-05-2020 00:46:59,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 10 Gr,True,нет,1,Тбилиси,10 гр,0.0295,20994,7734,707,290.0,,,,,,,,,,VHQ Jamaican Dream 19% Thc 10 Gr
53,53,20-05-2020 00:46:59,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2264,161072,59341,5421,2225.0,,,,,,,,,,Amfetamin [White] [Import] 10G
54,54,20-05-2020 00:46:59,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,5,Тбилиси,10 гр,0.1602,112859,41579,3799,1559.0,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
55,55,20-05-2020 00:46:59,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0379,26713,9841,899,369.0,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
56,56,20-05-2020 00:46:59,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,3,Тбилиси,10 гр,0.0324,22803,8401,768,315.0,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
57,57,20-05-2020 00:46:59,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5139,361959,133350,12183,5000.0,,,,,,,,,,METADON - 20 G.
58,58,20-05-2020 00:46:59,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0616,43363,15975,1459,599.0,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
59,59,20-05-2020 00:46:59,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1119,79631,29337,2680,1100.0,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
60,60,20-05-2020 00:46:59,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2442,173740,64008,5848,2400.0,,,,,,,,,,100 gr marijuana buds
