,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Didube,Saburtalo,Nadzaladevi,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
41,28-04-2020 03:40:04,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1134,67046,24615,2217,900,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
42,28-04-2020 03:40:04,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,3,Тбилиси,10 гр,0.0882,52147,19145,1724,700,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
43,28-04-2020 03:40:04,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0403,23839,8752,788,320,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
44,28-04-2020 03:40:04,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.1008,59597,21880,1970,800,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
45,28-04-2020 03:40:04,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2802,165754,60854,5480,2225,,,,,,,,,,,Amfetamin [White] [Import] 10G
46,28-04-2020 03:40:04,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,7,Тбилиси,10 гр,0.1843,107945,39630,3569,1449,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
47,28-04-2020 03:40:04,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0469,27489,10092,909,369,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
48,28-04-2020 03:40:04,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,1,Тбилиси,10 гр,0.038,22274,8178,736,299,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
49,28-04-2020 03:40:04,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 20 G.,True,нет,2,Тбилиси,20 гр,0.636,372480,136750,12315,5000,,,,,,,,,,,METADON - 20 G.
50,28-04-2020 03:40:04,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0762,44623,16383,1475,599,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
51,28-04-2020 03:40:04,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1385,81946,30085,2709,1100,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
52,28-04-2020 03:40:04,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.3023,178790,65640,5911,2400,,,,,,,,,,,100 gr marijuana buds
