,Unnamed: 0,time_stamp,region,sell_code,description,Vake,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
55,55,28-04-2020 16:59:35,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0253,14914,5450,493,200.0,True,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
56,56,28-04-2020 16:59:35,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0317,18643,6813,616,250.0,True,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
57,57,28-04-2020 16:59:35,Tbilisi,54915c4374,Работа на марки (курьер),,нет,1,Тбилиси,25 гр,0.0253,14914,5450,493,200.0,True,,,,,,,,Rabota na marki (kur'er)
58,58,28-04-2020 16:59:35,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.9172,1118559,408750,36945,15000.0,True,,,,,,,,Vakansija optovogo kur'era na mef
59,59,28-04-2020 17:01:12,Batumi,54915c4374,Батуми н-бооом 10 штук,,2,нет,Батуми,10 гр,0.0125,8077,2960,265,,,,100.0,,,True,,,Batumi n-booom 10 shtuk
60,60,28-04-2020 17:01:12,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2783,164055,59950,5419,2200.0,,,,,,True,,,[100g] SPAIN HASH
61,61,28-04-2020 17:01:12,Batumi,f8a875c191,METADON - 20 G.,,нет,1,Батуми,20 гр,0.6388,372853,136250,12315,5000.0,,,,,,True,,,METADON - 20 G.
62,62,28-04-2020 17:01:12,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0115,7457,2725,246,100.0,,,,,,True,,,kur'er v Batumi
63,63,28-04-2020 17:01:12,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0288,18643,6813,616,250.0,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
64,64,28-04-2020 17:01:12,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0288,18643,6813,616,250.0,,,,,,True,,,Ischu kur'era v Gruzii!
65,65,28-04-2020 17:01:12,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.9147,1118559,408750,36945,15000.0,,,,,,True,,,Vakansija optovogo kur'era na mef
66,66,28-04-2020 17:01:12,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0632,37285,13625,1232,500.0,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
67,67,28-04-2020 17:02:45,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,2,нет,Кутаиси,1.5 гр,0.0237,14094,5150,466,189.0,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
68,68,28-04-2020 17:02:45,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,7,нет,Кутаиси,2 гр,0.0612,36092,13189,1192,484.0,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
69,69,28-04-2020 17:02:45,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,3 гр,0.0421,24832,9074,820,333.0,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
70,70,28-04-2020 17:02:45,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0253,14914,5450,493,200.0,,,,,,,,True,Rabota na marki (kur'er)
