,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Varketili,Vazisubani,Old Tbilisi (Старый город),Авлобари,Батуми,€,Центр,Кутаиси,desc_en
54,06-06-2020 18:10:13,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2264,152706,59741,5298,2225,,,,,,,,,,,Amfetamin [White] [Import] 10G
55,06-06-2020 18:10:13,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,10,Тбилиси,10 гр,0.1602,106997,41859,3712,1559,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
56,06-06-2020 18:10:13,Tbilisi,9VLN,AlienShop,💘✨10gram MDMA ✨💘,True,нет,5,Тбилиси,10 гр,0.083,55455,21695,1924,808,,,,,,,,,,,💘✨10gram MDMA ✨💘
57,06-06-2020 18:10:13,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,9,Тбилиси,10 гр,0.0379,25325,9908,879,369,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
58,06-06-2020 18:10:13,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,5,Тбилиси,11 гр,0.0359,24021,9398,833,350,,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
59,06-06-2020 18:10:13,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 20шт. вес таблетки 450mg,True,нет,1,Тбилиси,20 гр,0.0519,35002,13694,1214,510,,,,,,,,,,,Extasy GUCCI 20sht. ves tabletki 450mg
60,06-06-2020 18:10:13,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 20 G.,True,нет,2,Тбилиси,20 гр,0.5139,343160,134250,11905,5000,,,,,,,,,,,METADON - 20 G.
61,06-06-2020 18:10:13,Tbilisi,9VLN,AlienShop,✨💘20g MDMA💘✨,True,нет,3,Тбилиси,20 гр,0.1388,102948,40275,3572,1500,,,,,,,,,,,✨💘20g MDMA💘✨
62,06-06-2020 18:10:13,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0616,41111,16083,1426,599,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
63,06-06-2020 18:10:13,Tbilisi,7LHWP,GEOBUDS,50 gr georgian weed. Package on magnet,True,нет,5,Тбилиси,50 гр,0.1322,89153,34878,3093,1299,,,,,,,,,,,50 gr georgian weed. Package on magnet
64,06-06-2020 18:10:13,Tbilisi,7LHWP,GEOBUDS,100 gr georgian weed. Package on magnet,True,нет,4,Тбилиси,100 гр,0.2543,171511,67098,5950,2499,,,,,,,,,,,100 gr georgian weed. Package on magnet
