,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Vake,€,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
59,07-03-2020 10:57:53,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,10,Тбилиси,10 гр,0.1557,97833,36413,3245,1449,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
60,07-03-2020 10:57:53,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0397,24914,9273,826,369,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
61,07-03-2020 10:57:53,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,4,Тбилиси,10 гр,0.0321,20188,7514,670,299,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
62,07-03-2020 10:57:53,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0644,40443,15053,1342,599,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
63,07-03-2020 10:57:53,Tbilisi,ABOAB,ProGrow,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.0715,47262,17591,1568,700,,,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
64,07-03-2020 10:57:53,Tbilisi,RGIUB,SaintJoint,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1161,81021,30156,2688,1200,,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
65,07-03-2020 10:57:53,Tbilisi,ABOAB,ProGrow,50G -- HYBRID-> Скидка 5% за BTC,True,нет,1,Тбилиси,50 гр,0.102,67450,25105,2237,999,,,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
66,07-03-2020 10:57:53,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2128,135035,50260,4479,2000,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
67,07-03-2020 10:57:53,Tbilisi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.2149,135035,50260,4479,2000,,,,,,,,,,,SUBOXIN - HQ - 100 G.
68,07-03-2020 10:57:53,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.266,168794,62825,5599,2500,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
69,07-03-2020 10:57:53,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.1612,101276,37695,3359,1500,,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
70,07-03-2020 10:58:40,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4892,310581,115598,10302,4600,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
71,07-03-2020 10:58:40,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7976,506381,188475,16797,7500,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
72,07-03-2020 10:58:40,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9039,573899,213605,19037,8500,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
73,07-03-2020 10:58:40,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0193,13504,5026,448,200,,,,,,,,,,,KURYER..500RUB.+BONUS
74,07-03-2020 10:58:40,Tbilisi,3TGJ9,Elegant,Требуется Курьер,True,1,нет,Тбилиси,1 гр,0.0193,13504,5026,448,200,,,,,,,,,,,Trebuetsja Kur'er
75,07-03-2020 10:58:40,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),True,1,нет,Тбилиси,10 гр,0.0145,10128,3770,336,150,,,,,,,,,,,Rabota na marki (kur'er)
76,07-03-2020 10:58:40,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0213,13504,5026,448,200,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
77,07-03-2020 10:58:40,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0266,16879,6283,560,250,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
78,07-03-2020 10:58:40,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.6097,1012763,376950,33594,15000,,,,,,,,,,,Vakansija optovogo kur'era na mef
