,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Gldani,Дигоми,€,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
39,18-03-2020 12:14:03,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",,2,нет,Тбилиси,5 гр,0.0483,23645,9120,758,320,True,,,,,,,,,,"5 Grm MDMA , Purity A +++"
40,18-03-2020 12:14:03,Tbilisi,BCF,Doitgod,5 Grm Mdma Pure Quality A +++,,1,нет,Тбилиси,5 гр,0.0493,22167,8550,710,300,True,,,,,,,,,,5 Grm Mdma Pure Quality A +++
41,18-03-2020 12:14:03,Tbilisi,0WE,Khachapuri,5 gr mdma (скидка в биткоин 5%),,2,нет,Тбилиси,5 гр,0.0602,27984,10710,895,,True,,,340,,,,,,,5 gr mdma (skidka v bitkoin 5%)
42,18-03-2020 12:14:03,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,,7,нет,Тбилиси,5 гр,0.0294,12931,4988,414,175,True,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
43,18-03-2020 12:14:03,Tbilisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 5g BTC SALE 5%!!,,3,нет,Тбилиси,5 гр,0.1307,58151,22430,1863,787,,,True,,,,,,,,Columbia Cocaine VHQ 5g BTC SALE 5%!!
44,18-03-2020 12:14:03,Tbilisi,LYHBG,Playboy,NEW !!! 5G OG KusH !!! NEW,,2,нет,Тбилиси,5 гр,0.0267,11748,4532,376,159,True,,,,,,,,,,NEW !!! 5G OG KusH !!! NEW
45,18-03-2020 12:14:03,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,,10,нет,Тбилиси,5 гр,0.0098,4803,1853,154,65,True,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
46,18-03-2020 12:14:03,Tbilisi,EIH4,San4oPan4o,MDMA from Europe!!! 5g + (0.5g hash подарок !!!!) BTC SALE 5%!!,,4,нет,Тбилиси,5.5 гр,0.054,24014,9263,769,325,,,True,,,,,,,,MDMA from Europe!!! 5g + (0.5g hash podarok !!!!) BTC SALE 5%!!
47,18-03-2020 12:14:03,Tbilisi,P5MBO,ToppoT,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,2,нет,Тбилиси,10 гр,0.0606,26970,10403,864,365,,,,,True,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
48,18-03-2020 12:14:03,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 10шт. вес таблетки 450mg,,1,нет,Тбилиси,10 гр,0.0443,19729,7610,632,267,True,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
49,18-03-2020 12:14:03,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,,6,нет,Тбилиси,10 гр,0.0149,7315,2822,234,99,True,True,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
50,18-03-2020 12:14:03,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,,2,нет,Тбилиси,10 гр,0.0637,29556,11400,947,400,True,,,,,,,,,,gashish evro 10g
51,18-03-2020 12:14:03,Tbilisi,EIH4,San4oPan4o,MDMA from Europe!!! 10g + (1g hash подарок !!!!) BTC SALE 5%!!,,1,нет,Тбилиси,11 гр,0.1055,46920,18098,1503,635,,,True,,,,,,,,MDMA from Europe!!! 10g + (1g hash podarok !!!!) BTC SALE 5%!!
52,18-03-2020 12:14:03,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.27 G - (SALE),,13,5,Тбилиси,0.27 гр,0.0381,16773,6470,537,227,True,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G - (SALE)
53,18-03-2020 12:14:03,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 1.1 G (SALE),,нет,3,Тбилиси,1.1 гр,0.109,48028,18525,1539,650,True,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1.1 G (SALE)
54,18-03-2020 12:14:03,Tbilisi,Y6FO,Opiate,Methadone HQ in city 1.4g,,нет,1,Тбилиси,1.4 гр,0.1163,51723,19950,1657,700,True,,,,,,,,,,Methadone HQ in city 1.4g
55,18-03-2020 12:14:03,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,3,Тбилиси,3 гр,0.099,43595,16815,1397,590,True,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
56,18-03-2020 12:14:03,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0664,29556,11400,947,400,True,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
