,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,Тбилиси,Дигоми,Vazisubani,Nadzaladevi,Old Tbilisi (Старый город),Авлобари,Центр,€,Батуми,Кутаиси,desc_en
50,08-05-2020 15:43:31,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2727,221618,81150,7360,3000,,,,,,True,True,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
51,08-05-2020 15:43:31,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,9,Тбилиси,5 гр,0.0969,70844,25941,2353,959,,True,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
52,08-05-2020 15:43:31,Tbilisi,9VLN,AlienShop,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,,нет,3,Тбилиси,5 гр,0.0191,13962,5112,464,189,,True,,,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
53,08-05-2020 15:43:31,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,5,Тбилиси,5 гр,0.0192,14036,5140,466,190,,True,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
54,08-05-2020 15:43:31,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,,нет,5,Тбилиси,5 гр,0.0494,36124,13227,1200,489,,True,,,,,,,,,,💘✨5g. MDMA ✨💘
55,08-05-2020 15:43:31,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,нет,3,Тбилиси,5 гр,0.0191,13962,5112,464,189,,True,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
56,08-05-2020 15:43:31,Tbilisi,A3I9,Joookerrr,"""Джокер экспрес"" марки нбооом 8 шт",,нет,5,Тбилиси,8 гр,0.008,5910,2164,196,80,,True,,,,,,,,,,"""Dzhoker ekspres"" marki nbooom 8 sht"
57,08-05-2020 15:43:31,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.09,66485,24345,2208,900,,True,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
58,08-05-2020 15:43:31,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.04,29549,10820,981,400,,True,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
59,08-05-2020 15:43:31,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,3,Тбилиси,10 гр,0.07,51711,18935,1717,700,,True,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
60,08-05-2020 15:43:31,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.042,31026,11361,1030,420,,True,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
61,08-05-2020 15:43:31,Tbilisi,18FB,Mr.Green Tbilis,10G Hybrid Marijuana Leafs,,нет,40,Тбилиси,10 гр,0.01,7387,2705,245,100,,True,,,,,,,,,,10G Hybrid Marijuana Leafs
62,08-05-2020 15:43:31,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,4,Тбилиси,10 гр,0.08,59098,21640,1963,800,,True,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
63,08-05-2020 15:43:31,Tbilisi,6P9R,RickNMorty,VHQ Jamaican Dream 19% Thc 10 Gr,,нет,1,Тбилиси,10 гр,0.029,21423,7845,711,290,,True,,,,,,,,,,VHQ Jamaican Dream 19% Thc 10 Gr
