,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Gldani,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,€,Кутаиси,desc_en
54,54,26-05-2020 21:05:06,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0413,26251,10004,885,369.0,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
55,55,26-05-2020 21:05:06,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,3,Тбилиси,10 гр,0.0352,22409,8540,756,315.0,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
56,56,26-05-2020 21:05:06,Tbilisi,0dec0e1c48,20 gr georgian weed. Package on magnet,True,нет,11,Тбилиси,20 гр,0.0442,28385,10817,957,399.0,,,,,,,,,,,20 gr georgian weed. Package on magnet
57,57,26-05-2020 21:05:06,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5594,355704,135550,11998,5000.0,,,,,,,,,,,METADON - 20 G.
58,58,26-05-2020 21:05:06,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.067,42613,16239,1437,599.0,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
59,59,26-05-2020 21:05:06,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,True,нет,6,Тбилиси,50 гр,0.1439,92412,35216,3117,1299.0,,,,,,,,,,,50 gr georgian weed. Package on magnet
60,60,26-05-2020 21:05:06,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,True,нет,5,Тбилиси,100 гр,0.2768,177781,67748,5996,2499.0,,,,,,,,,,,100 gr georgian weed. Package on magnet
61,61,26-05-2020 21:05:06,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2658,170738,65064,5759,2400.0,,,,,,,,,,,100 gr marijuana buds
62,62,26-05-2020 21:05:06,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2215,142282,54220,4799,2000.0,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
63,63,26-05-2020 21:05:06,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2769,177852,67775,5999,2500.0,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
64,64,26-05-2020 21:05:06,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6535,419731,159949,14157,5900.0,,,,,,,,,,,180 gr marihuana persoalno
65,65,26-05-2020 21:05:06,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.5095,327248,124706,11038,4600.0,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
66,66,26-05-2020 21:05:06,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.8307,533556,203325,17996,7500.0,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
67,67,26-05-2020 21:05:06,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9415,604697,230435,20396,8500.0,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
68,68,26-05-2020 21:05:49,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9419,604697,230435,20396,8500.0,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
69,69,26-05-2020 21:05:49,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0201,14228,5422,480,200.0,,,,,,,,,,,KURYER..500RUB.+BONUS
70,70,26-05-2020 21:05:49,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0222,14228,5422,480,200.0,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
71,71,26-05-2020 21:05:49,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0277,17785,6778,600,250.0,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
72,72,26-05-2020 21:05:49,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.6772,1067112,406650,35993,15000.0,,,,,,,,,,,Vakansija optovogo kur'era na mef
73,73,26-05-2020 21:07:32,Batumi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм",,1,нет,Батуми,0.5 гр,0.0094,6047,2304,204,85.0,,,,,,,True,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm"
74,74,26-05-2020 21:07:32,Batumi,54915c4374,"MDMA ""цунами удовольствия) 2 граммa",,1,нет,Батуми,2 гр,0.01,6403,2440,216,90.0,,,,,,,True,,,,"MDMA ""tsunami udovol'stvija) 2 gramma"
75,75,26-05-2020 21:07:32,Batumi,3c4662c591,шишки марихуаны 5G,,2,нет,Батуми,5 гр,0.0333,21342,8133,720,300.0,,,,,,,,True,,,shishki marihuany 5G
76,76,26-05-2020 21:07:32,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2439,156510,59642,5279,2200.0,,,,,,,True,,,,[100g] SPAIN HASH
77,77,26-05-2020 21:07:32,Batumi,54915c4374,MDMA !! 3 грамма,,нет,1,Батуми,3 гр,0.0449,28812,10980,972,405.0,,,,,,,True,,,,MDMA !! 3 gramma
78,78,26-05-2020 21:07:32,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1761,112990,51992,3787,,,,,,,,True,,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
79,79,26-05-2020 21:07:32,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2788,178900,82321,5996,,,,,,,,True,,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
80,80,26-05-2020 21:07:32,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0101,7114,2711,240,100.0,,,,,,,True,,,,kur'er v Batumi
81,81,26-05-2020 21:07:32,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0252,17785,6778,600,250.0,,,,,,,True,,,,Rabota kladmenom. Tol'ko shishki.
82,82,26-05-2020 21:07:32,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0252,17785,6778,600,250.0,,,,,,,True,,,,Ischu kur'era v Gruzii!
83,83,26-05-2020 21:07:32,Batumi,54915c4374,Работа на марки (курьер),,нет,1,Батуми,25 гр,0.0303,19446,7400,653,,,,,,,,True,,250.0,,Rabota na marki (kur'er)
84,84,26-05-2020 21:07:32,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6778,1067112,406650,35993,15000.0,,,,,,,True,,,,Vakansija optovogo kur'era na mef
85,85,26-05-2020 21:07:32,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0554,35570,13555,1200,500.0,,,,,,,True,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
86,86,26-05-2020 21:08:49,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,6,нет,Кутаиси,2 гр,0.0532,34503,13148,1164,485.0,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
87,87,26-05-2020 21:08:49,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,4,нет,Кутаиси,3 гр,0.0282,18497,7049,624,260.0,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
88,88,26-05-2020 21:08:49,Kutaisi,b7446e2cca,Шишки Lemon weed ТГК 25% 3.3г бтк скидка 10% !!,,1,нет,Кутаиси,3.3 гр,0.0076,5336,2033,180,75.0,,,,,,,,,,True,Shishki Lemon weed TGK 25% 3.3g btk skidka 10% !!
89,89,26-05-2020 21:08:49,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0303,19446,7400,653,,,,,,,,,,250.0,True,Rabota na marki (kur'er)
