,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,€,Дигоми,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
60,60,16-03-2020 13:15:07,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,9,Тбилиси,5 гр,0.0254,10612,3919,339,145.0,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
61,61,16-03-2020 13:15:07,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0349,16028,5920,513,219.0,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
62,62,16-03-2020 13:15:07,Tbilisi,f8a875c191,MARIXYANA - 5 G. (SHISHKI) (SALE),True,нет,5,Тбилиси,5 гр,0.0531,21956,8109,702,300.0,,,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
63,63,16-03-2020 13:15:07,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,9,Тбилиси,5 гр,0.0263,10978,4055,351,150.0,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
64,64,16-03-2020 13:15:07,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),True,нет,15,Тбилиси,5 гр,0.0319,14638,5406,468,200.0,,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
65,65,16-03-2020 13:15:07,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.4139,190000,87429,6072,,,,,,,,,,,,reagent 25i nbome. 5gr
66,66,16-03-2020 13:16:03,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.4783,219565,81090,7021,3000.0,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
67,67,16-03-2020 13:16:03,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,3,Тбилиси,5 гр,0.1522,62869,23219,2010,859.0,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
68,68,16-03-2020 13:16:03,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,3,Тбилиси,5 гр,0.0328,13540,5001,433,185.0,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
69,69,16-03-2020 13:16:03,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0866,35789,13218,1144,489.0,,,,,,,,,,,💘✨5g. MDMA ✨💘
70,70,16-03-2020 13:16:03,Tbilisi,dd631c4acf,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩,True,нет,5,Тбилиси,5 гр,0.0583,24079,8893,770,329.0,,,,,,,,,,,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩
71,71,16-03-2020 13:16:03,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,10,Тбилиси,5 гр,0.0319,13174,4865,421,180.0,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
72,72,16-03-2020 13:16:03,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1579,65869,24327,2106,900.0,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
73,73,16-03-2020 13:16:03,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.1228,51232,18921,1638,700.0,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
74,74,16-03-2020 13:16:03,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.07,29202,10785,934,399.0,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
75,75,16-03-2020 13:16:03,Tbilisi,c9a56b2b4a,10x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,10 гр,0.062,25616,9461,819,350.0,,,,,,,,,,,10x Extasy Duracell 223mg MDMA.
76,76,16-03-2020 13:16:03,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.1403,58551,21624,1872,800.0,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
77,77,16-03-2020 13:16:03,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.3903,162844,60142,5207,2225.0,,,,,,,,,,,Amfetamin [White] [Import] 10G
78,78,16-03-2020 13:16:03,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,9,Тбилиси,10 гр,0.2567,106050,39166,3391,1449.0,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
79,79,16-03-2020 13:16:03,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0654,27006,9974,864,369.0,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
80,80,16-03-2020 13:16:03,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,3,Тбилиси,10 гр,0.053,21883,8082,700,299.0,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
81,81,16-03-2020 13:16:03,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.1061,43840,16191,1402,599.0,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
82,82,16-03-2020 13:16:03,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1913,87826,32436,2808,1200.0,,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
83,83,16-03-2020 13:16:03,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.3508,146376,54060,4680,2000.0,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
84,84,16-03-2020 13:16:03,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.3543,146376,54060,4680,2000.0,,,,,,,,,,,SUBOXIN - HQ - 100 G.
85,85,16-03-2020 13:16:03,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.4385,182971,67575,5851,2500.0,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
86,86,16-03-2020 13:16:03,Tbilisi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.2657,109782,40545,3510,1500.0,,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
87,87,16-03-2020 13:16:03,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.8068,336666,124338,10765,4600.0,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
88,88,16-03-2020 13:16:03,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,1.3154,548912,202725,17552,7500.0,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
89,89,16-03-2020 13:16:03,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.4908,622100,229755,19892,8500.0,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
90,90,16-03-2020 13:16:03,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0319,14638,5406,468,200.0,,,,,,,,,,,KURYER..500RUB.+BONUS
91,91,16-03-2020 13:16:03,Tbilisi,54915c4374,Работа на марки (курьер),True,1,нет,Тбилиси,10 гр,0.0239,10978,4055,351,150.0,,,,,,,,,,,Rabota na marki (kur'er)
92,92,16-03-2020 13:16:03,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0351,14638,5406,468,200.0,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
93,93,16-03-2020 13:16:03,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0438,18297,6758,585,250.0,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
94,94,16-03-2020 13:16:03,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,2.6548,1097823,405450,35103,15000.0,,,,,,,,,,,Vakansija optovogo kur'era na mef
95,95,16-03-2020 13:18:20,Batumi,30f48d507d,Skunk! 50 gr.,,1,нет,Батуми,50 гр,0.2654,109782,40545,3510,1500.0,,,,,,,,True,,,Skunk! 50 gr.
96,96,16-03-2020 13:18:20,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,16,Батуми,5 гр,0.0322,14638,5406,468,200.0,,,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
97,97,16-03-2020 13:18:20,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.3575,146376,54060,4680,2000.0,,,,,,,,True,,,SUBOXIN - HQ - 100 G.
98,98,16-03-2020 13:18:20,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.2681,109782,40545,3510,1500.0,,,,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
99,99,16-03-2020 13:18:20,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0161,7319,2703,234,100.0,,,,,,,,True,,,kur'er v Batumi
100,100,16-03-2020 13:18:20,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0402,18297,6758,585,250.0,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
