,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Old Tbilisi (Старый город),Saburtalo,Gldani,Дигоми,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
80,80,12-03-2020 22:10:04,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0892,44342,15933,1386,599.0,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
81,81,12-03-2020 22:10:04,Tbilisi,64284550d9,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.099,51819,18620,1620,700.0,,,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
82,82,12-03-2020 22:10:04,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1609,88833,31920,2777,1200.0,,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
83,83,12-03-2020 22:10:04,Tbilisi,64284550d9,50G -- HYBRID-> Скидка 5% за BTC,True,нет,1,Тбилиси,50 гр,0.1414,73953,26573,2312,999.0,,,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
84,84,12-03-2020 22:10:04,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2949,148055,53200,4628,2000.0,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
85,85,12-03-2020 22:10:04,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.3686,185069,66500,5785,2500.0,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
86,86,12-03-2020 22:10:04,Tbilisi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.2234,111041,39900,3471,1500.0,,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
87,87,12-03-2020 22:10:04,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.6783,340526,122360,10645,4600.0,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
88,88,12-03-2020 22:10:04,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,1.1059,555206,199500,17356,7500.0,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
89,89,12-03-2020 22:10:04,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.2533,629233,226100,19670,8500.0,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
90,90,12-03-2020 22:10:04,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0268,14805,5320,463,200.0,,,,,,,,,,,KURYER..500RUB.+BONUS
91,91,12-03-2020 22:10:04,Tbilisi,54915c4374,Работа на марки (курьер),True,1,нет,Тбилиси,10 гр,0.0201,11104,3990,347,150.0,,,,,,,,,,,Rabota na marki (kur'er)
92,92,12-03-2020 22:10:04,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0295,14805,5320,463,200.0,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
93,93,12-03-2020 22:10:04,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0369,18507,6650,579,250.0,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
94,94,12-03-2020 22:10:04,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,2.2319,1110411,399000,34712,15000.0,,,,,,,,,,,Vakansija optovogo kur'era na mef
95,95,12-03-2020 22:11:48,Batumi,c72111ac1a,NZT-52 limited 1 г мука,,12,нет,Батуми,1 гр,0.0267,14805,5320,463,200.0,,,,,,,,True,,,NZT-52 limited 1 g muka
96,96,12-03-2020 22:11:48,Batumi,3ee37c89bb,ORANGE PUNCH [1g],,2,нет,Батуми,1 гр,0.0081,4072,1463,127,55.0,,,,,,,,True,,,ORANGE PUNCH [1g]
97,97,12-03-2020 22:11:48,Batumi,c72111ac1a,NZT-52 limited 2г мука,,11,нет,Батуми,2 гр,0.0481,26650,9576,833,360.0,,,,,,,,True,,,NZT-52 limited 2g muka
98,98,12-03-2020 22:11:48,Batumi,30f48d507d,Skunk! 50 gr.,,1,нет,Батуми,50 гр,0.2205,111041,39900,3471,1500.0,,,,,,,,True,,,Skunk! 50 gr.
99,99,12-03-2020 22:11:48,Batumi,f8a875c191,Метадон - (KRISTAL) - VHQ - BATUMI - 0.27 G,,3,5,Батуми,0.27 гр,0.0401,19987,7182,625,270.0,,,,,,,,True,,,Metadon - (KRISTAL) - VHQ - BATUMI - 0.27 G
100,100,12-03-2020 22:11:48,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,16,Батуми,5 гр,0.0267,14805,5320,463,200.0,,,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
101,101,12-03-2020 22:11:48,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.297,148055,53200,4628,2000.0,,,,,,,,True,,,SUBOXIN - HQ - 100 G.
102,102,12-03-2020 22:11:48,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.2227,111041,39900,3471,1500.0,,,,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
103,103,12-03-2020 22:11:48,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0067,3701,1330,116,50.0,,,,,,,,True,,,kur'er v Batumi
104,104,12-03-2020 22:11:48,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0334,18507,6650,579,250.0,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
