,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,€,Old Tbilisi (Старый город),Vake,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
45,45,01-03-2020 22:43:53,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,4,Тбилиси,5 гр,0.0978,57545,21217,1923,859.0,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
46,46,01-03-2020 22:43:53,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0211,12393,4570,414,185.0,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
47,47,01-03-2020 22:43:53,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0557,32759,12078,1095,489.0,,,,,,,,,,,💘✨5g. MDMA ✨💘
48,48,01-03-2020 22:43:53,Tbilisi,dd631c4acf,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩,True,нет,5,Тбилиси,5 гр,0.0375,22040,8126,737,329.0,,,,,,,,,,,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩
49,49,01-03-2020 22:43:53,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,3,Тбилиси,5 гр,0.0205,12058,4446,403,180.0,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
50,50,01-03-2020 22:43:53,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1014,60292,22230,2015,900.0,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
51,51,01-03-2020 22:43:53,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.0789,46894,17290,1567,700.0,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
52,52,01-03-2020 22:43:53,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.045,26729,9855,893,399.0,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
53,53,01-03-2020 22:43:53,Tbilisi,c9a56b2b4a,10x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,10 гр,0.0398,23447,8645,784,350.0,,,,,,,,,,,10x Extasy Duracell 223mg MDMA.
54,54,01-03-2020 22:43:53,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.0902,53593,19760,1791,800.0,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
