,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Old Tbilisi (Старый город),Gldani,Saburtalo,Дигоми,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
79,13-03-2020 16:20:53,Tbilisi,EIH4,San4oPan4o,MDMA 20 g,True,нет,1,Тбилиси,20 гр,0.2726,124420,45577,3991,1700,,,,,,,,,,,MDMA 20 g
80,13-03-2020 16:20:53,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.097,43840,16059,1406,599,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
81,13-03-2020 16:20:53,Tbilisi,ABOAB,ProGrow,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.1077,51232,18767,1643,700,,,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
82,13-03-2020 16:20:53,Tbilisi,RGIUB,SaintJoint,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1749,87826,32172,2817,1200,,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
83,13-03-2020 16:20:53,Tbilisi,ABOAB,ProGrow,50G -- HYBRID-> Скидка 5% за BTC,True,нет,1,Тбилиси,50 гр,0.1537,73115,26783,2345,999,,,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
84,13-03-2020 16:20:53,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.3207,146376,53620,4695,2000,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
85,13-03-2020 16:20:53,Tbilisi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.3239,146376,53620,4695,2000,,,,,,,,,,,SUBOXIN - HQ - 100 G.
86,13-03-2020 16:20:53,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.4009,182971,67025,5869,2500,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
87,13-03-2020 16:20:53,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.2429,109782,40215,3521,1500,,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
88,13-03-2020 16:20:53,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.7376,336666,123326,10798,4600,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
89,13-03-2020 16:20:53,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,1.2026,548912,201075,17606,7500,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
90,13-03-2020 16:20:53,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.363,622100,227885,19953,8500,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
