,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,Saburtalo,$,Didube,Gldani,€,Old Tbilisi (Старый город),Дигоми,Авлобари,Батуми,Центр,Кутаиси,desc_en
55,15-04-2020 15:51:40,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3712,82500,7361,221144,,3000,,,,True,,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
56,15-04-2020 15:51:40,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,2,Тбилиси,5 гр,0.1195,23898,2132,64058,,869,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
57,15-04-2020 15:51:40,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0261,5225,466,14006,,190,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
58,15-04-2020 15:51:40,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0672,13448,1200,36046,,489,,,,,,,,,,💘✨5g. MDMA ✨💘
59,15-04-2020 15:51:40,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,5,Тбилиси,5 гр,0.026,5198,464,13932,,189,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
60,15-04-2020 15:51:40,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1225,24750,2208,66343,,900,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
61,15-04-2020 15:51:40,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,3,Тбилиси,10 гр,0.0953,19250,1717,51600,,700,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
62,15-04-2020 15:51:40,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0436,8800,785,23589,,320,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
63,15-04-2020 15:51:40,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.1089,22000,1963,58972,,800,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
64,15-04-2020 15:51:40,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.3028,61188,5459,164015,,2225,,,,,,,,,,Amfetamin [White] [Import] 10G
65,15-04-2020 15:51:40,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбооооом!!! 10 штук!!!,True,5,3,Тбилиси,10 гр,0.0149,3005,268,8067,,,,,100,,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 10 shtuk!!!
66,15-04-2020 15:51:40,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,7,Тбилиси,10 гр,0.1992,39848,3555,106812,,1449,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
67,15-04-2020 15:51:40,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0507,10148,905,27201,,369,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
68,15-04-2020 15:52:09,Tbilisi,8B31,GEOWEEDSHOP,20 gr Indica marijuana buds (hight quality),True,нет,2,Тбилиси,20 гр,0.0551,11138,994,29854,True,405,,,,,,,,,,20 gr Indica marijuana buds (hight quality)
69,15-04-2020 15:52:09,Tbilisi,Z5UFK,Vein,Cocaine Fishscale 20g,True,нет,1,Тбилиси,20 гр,0.4463,90173,8045,241710,,3279,,,,,,,,,,Cocaine Fishscale 20g
70,15-04-2020 15:52:09,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0823,16473,1470,44155,,599,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
71,15-04-2020 15:52:09,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1497,30250,2699,81086,,1100,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
72,15-04-2020 15:52:09,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.3266,66000,5888,176915,,2400,,,,,,,,,,100 gr marijuana buds
73,15-04-2020 15:52:09,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2722,55000,4907,147429,,2000,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
74,15-04-2020 15:52:09,Tbilisi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.2749,55000,4907,147429,,2000,,,,,,,,,,SUBOXIN - HQ - 100 G.
