,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Didube,Gldani,Vazisubani,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
52,52,22-05-2020 20:22:57,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0442,30190,11323,1002,420.0,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
53,53,22-05-2020 20:22:57,Tbilisi,89f7212915,10G Hybrid Marijuana Leafs,True,1,38,Тбилиси,10 гр,0.0142,9704,3640,322,135.0,,,,,,,,,,,,10G Hybrid Marijuana Leafs
54,54,22-05-2020 20:22:57,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0841,57504,21568,1908,800.0,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
55,55,22-05-2020 20:22:57,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 10 Gr,True,нет,1,Тбилиси,10 гр,0.0305,20845,7818,692,290.0,,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 10 Gr
56,56,22-05-2020 20:22:57,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.23399999999999999,159934,59986,5308,2225.0,,,,,,,,,,,,Amfetamin [White] [Import] 10G
57,57,22-05-2020 20:22:57,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,5,Тбилиси,10 гр,0.1656,112062,42031,3719,1559.0,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
58,58,22-05-2020 20:22:57,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0392,26524,9948,880,369.0,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
59,59,22-05-2020 20:22:57,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,3,Тбилиси,10 гр,0.0335,22642,8492,751,315.0,,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
60,60,22-05-2020 20:22:57,Tbilisi,0dec0e1c48,20 gr georgian weed. Package on magnet,True,нет,11,Тбилиси,20 гр,0.0556,38025,14262,1262,529.0,,,,,,,,,,,,20 gr georgian weed. Package on magnet
61,61,22-05-2020 20:22:57,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5312,359402,134800,11928,5000.0,,,,,,,,,,,,METADON - 20 G.
62,62,22-05-2020 20:22:57,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0636,43056,16149,1429,599.0,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
63,63,22-05-2020 20:22:57,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,True,нет,7,Тбилиси,50 гр,0.1366,93373,35021,3099,1299.0,,,,,,,,,,,,50 gr georgian weed. Package on magnet
64,64,22-05-2020 20:22:57,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1157,79068,29656,2624,1100.0,,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
65,65,22-05-2020 20:22:57,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,True,нет,5,Тбилиси,100 гр,0.2628,179629,67373,5962,2499.0,,,,,,,,,,,,100 gr georgian weed. Package on magnet
66,66,22-05-2020 20:22:57,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2524,172513,64704,5725,2400.0,,,,,,,,,,,,100 gr marijuana buds
67,67,22-05-2020 20:22:57,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2104,143761,53920,4771,2000.0,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
68,68,22-05-2020 20:22:57,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.263,179701,67400,5964,2500.0,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
69,69,22-05-2020 20:23:50,Tbilisi,9610a68a0a,GABAGAMA 150 shtuk,True,нет,5,Тбилиси,150 гр,0.0177,13298,4988,441,185.0,,,,,,,,,,,,GABAGAMA 150 shtuk
70,70,22-05-2020 20:23:50,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6206,424094,159064,14075,5900.0,,,,,,,,,,,,180 gr marihuana persoalno
71,71,22-05-2020 20:23:50,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4838,330650,124016,10974,4600.0,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
72,72,22-05-2020 20:23:50,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7889,539103,202200,17892,7500.0,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
73,73,22-05-2020 20:23:50,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.894,610983,229160,20278,8500.0,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
74,74,22-05-2020 20:23:50,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0191,14376,5392,477,200.0,,,,,,,,,,,,KURYER..500RUB.+BONUS
75,75,22-05-2020 20:23:50,Tbilisi,e56bb6ca93,"Работа курьером в Тбилиси, ЗП от 4500$ в месяц, залог от 400$",True,1,нет,Тбилиси,1 гр,0.0421,28752,10784,954,400.0,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 4500$ v mesjats, zalog ot 400$"
76,76,22-05-2020 20:23:50,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.021,14376,5392,477,200.0,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
77,77,22-05-2020 20:23:50,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0263,17970,6740,596,250.0,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
78,78,22-05-2020 20:23:50,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5921,1078206,404400,35784,15000.0,,,,,,,,,,,,Vakansija optovogo kur'era na mef
79,79,22-05-2020 20:25:06,Batumi,be97026d1d,ГАШИШ твердый!!! Hash!!!! 0.5 g !!! SALE!!! !!! БАТУМИ !!! BTC SALE 5%!!!,,6,нет,Батуми,0.5 гр,0.0063,4313,1618,143,60.0,,,,,,,,,True,,,GAShISh tverdyj!!! Hash!!!! 0.5 g !!! SALE!!! !!! BATUMI !!! BTC SALE 5%!!!
80,80,22-05-2020 20:25:06,Batumi,3c4662c591,шишки марихуаны 5G,,7,нет,Батуми,5 гр,0.0316,21564,8088,716,300.0,,,,,,,,,,True,,shishki marihuany 5G
81,81,22-05-2020 20:25:06,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2314,158137,59312,5248,2200.0,,,,,,,,,True,,,[100g] SPAIN HASH
82,82,22-05-2020 20:25:06,Batumi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм (предзаказ) скидка 10%",,нет,5,Батуми,0.5 гр,0.0089,6110,2292,203,85.0,,,,,,,,,True,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm (predzakaz) skidka 10%"
83,83,22-05-2020 20:25:06,Batumi,54915c4374,"Бупренорфин 1 грамм (Предложение для тех кто хочет победить так называемую ""Ломку"")",,нет,1,Батуми,1 гр,0.0344,25886,9719,863,,,,,,,330.0,,,True,,,"Buprenorfin 1 gramm (Predlozhenie dlja teh kto hochet pobedit' tak nazyvaemuju ""Lomku"")"
84,84,22-05-2020 20:25:06,Batumi,54915c4374,Батуми н-бооом 2 штуки,,нет,8,Батуми,2 гр,0.0038,2589,972,86,,,,,,,33.0,,,True,,,Batumi n-booom 2 shtuki
85,85,22-05-2020 20:25:06,Batumi,54915c4374,MDMA !! 3 грамма,,нет,2,Батуми,3 гр,0.0421,28752,10784,954,400.0,,,,,,,,,True,,,MDMA !! 3 gramma
86,86,22-05-2020 20:25:06,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1653,112990,51992,3802,,,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
87,87,22-05-2020 20:25:06,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2618,178900,82321,6019,,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
88,88,22-05-2020 20:25:06,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0096,7188,2696,239,100.0,,,,,,,,,True,,,kur'er v Batumi
89,89,22-05-2020 20:25:06,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0239,17970,6740,596,250.0,,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
90,90,22-05-2020 20:25:06,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0239,17970,6740,596,250.0,,,,,,,,,True,,,Ischu kur'era v Gruzii!
91,91,22-05-2020 20:25:06,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5921,1078206,404400,35784,15000.0,,,,,,,,,True,,,Vakansija optovogo kur'era na mef
92,92,22-05-2020 20:25:06,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0526,35940,13480,1193,500.0,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
93,93,22-05-2020 20:26:48,Kutaisi,b7446e2cca,Шишки Lemon weed ТГК 25% 0.55г бтк скидка 10% !!,,1,нет,Кутаиси,0.55 гр,0.0021,1581,593,52,22.0,,,,,,,,,,,True,Shishki Lemon weed TGK 25% 0.55g btk skidka 10% !!
94,94,22-05-2020 20:26:48,Kutaisi,b7446e2cca,Шишки Lemon weed ТГК 25% 1.1г бтк скидка 10% !!,,5,нет,Кутаиси,1.1 гр,0.0038,2875,1078,95,40.0,,,,,,,,,,,True,Shishki Lemon weed TGK 25% 1.1g btk skidka 10% !!
95,95,22-05-2020 20:26:48,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,6,нет,Кутаиси,2 гр,0.0505,34862,13076,1157,485.0,,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
96,96,22-05-2020 20:26:48,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,8,нет,Кутаиси,3 гр,0.0385,26596,9975,883,370.0,,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
97,97,22-05-2020 20:26:48,Kutaisi,b7446e2cca,Шишки Lemon weed ТГК 25% 3.3г бтк скидка 10% !!,,2,нет,Кутаиси,3.3 гр,0.0072,5391,2022,179,75.0,,,,,,,,,,,True,Shishki Lemon weed TGK 25% 3.3g btk skidka 10% !!
98,98,22-05-2020 20:26:48,Kutaisi,b7446e2cca,Шишки Lemon weed ТГК 25% 5.5г бтк скидка 10% !!,,2,нет,Кутаиси,5.5 гр,0.0115,8626,3235,286,120.0,,,,,,,,,,,True,Shishki Lemon weed TGK 25% 5.5g btk skidka 10% !!
99,99,22-05-2020 20:26:48,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.021,14376,5392,477,200.0,,,,,,,,,,,True,Rabota na marki (kur'er)
