,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
46,46,29-02-2020 23:30:28,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0998,60292,22230,2015,900.0,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
47,47,29-02-2020 23:30:28,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.0776,46894,17290,1567,700.0,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
48,48,29-02-2020 23:30:28,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0442,26729,9855,893,399.0,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
49,49,29-02-2020 23:30:28,Tbilisi,c9a56b2b4a,10x Extasy Duracell 223mg MDMA.,True,нет,4,Тбилиси,10 гр,0.0392,23447,8645,784,350.0,,,,,,,,,10x Extasy Duracell 223mg MDMA.
50,50,29-02-2020 23:30:28,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.0887,53593,19760,1791,800.0,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
51,51,29-02-2020 23:30:28,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2467,149055,54958,4982,2225.0,,,,,,,,,Amfetamin [White] [Import] 10G
52,52,29-02-2020 23:30:28,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,10,Тбилиси,10 гр,0.1622,97070,35790,3244,1449.0,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
53,53,29-02-2020 23:30:28,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0413,24720,9114,826,369.0,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
54,54,29-02-2020 23:30:28,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,4,Тбилиси,10 гр,0.0335,20030,7385,670,299.0,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
55,55,29-02-2020 23:30:28,Tbilisi,c9a56b2b4a,20x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,20 гр,0.0784,46894,17290,1567,700.0,,,,,,,,,20x Extasy Duracell 223mg MDMA.
56,56,29-02-2020 23:30:28,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0671,40128,14795,1341,599.0,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
57,57,29-02-2020 23:30:28,Tbilisi,64284550d9,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.0745,46894,17290,1567,700.0,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
58,58,29-02-2020 23:30:28,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1209,80389,29640,2687,1200.0,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
59,59,29-02-2020 23:30:28,Tbilisi,64284550d9,50G -- HYBRID-> Скидка 5% за BTC,True,нет,1,Тбилиси,50 гр,0.1063,66924,24675,2237,999.0,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
60,60,29-02-2020 23:30:28,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2217,133982,49400,4478,2000.0,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
61,61,29-02-2020 23:30:28,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,True,нет,2,Тбилиси,100 гр,0.2239,133982,49400,4478,2000.0,,,,,,,,,SUBOXIN - HQ - 100 G.
62,62,29-02-2020 23:30:28,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2771,167477,61750,5598,2500.0,,,,,,,,,Marihuana [Shishki] [Gali] 100G
