,time_stamp,region,sell_code,sell_name,description,Nadzaladevi,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Didube,Saburtalo,Old Tbilisi (Старый город),€,Авлобари,Батуми,Центр,Кутаиси,desc_en
62,07-04-2020 12:44:16,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,,нет,5,Тбилиси,5 гр,0.0656,37363,13325,1257,489,True,,,,,,,,,💘✨5g. MDMA ✨💘
63,07-04-2020 12:44:16,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,1,5,Тбилиси,5 гр,0.0254,14441,5150,486,189,True,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
64,07-04-2020 12:44:16,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.1196,68767,24525,2314,900,True,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
65,07-04-2020 12:44:16,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,5,Тбилиси,10 гр,0.093,53485,19075,1800,700,True,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
66,07-04-2020 12:45:02,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,5,Тбилиси,10 гр,0.0932,53485,19075,1800,700,True,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
67,07-04-2020 12:45:02,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,6,Тбилиси,10 гр,0.0426,24450,8720,823,320,True,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
68,07-04-2020 12:45:02,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,5,Тбилиси,10 гр,0.1065,61126,21800,2057,800,True,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
69,07-04-2020 12:45:02,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2963,170006,60631,5720,2225,True,,,,,,,,,Amfetamin [White] [Import] 10G
70,07-04-2020 12:45:02,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,,нет,8,Тбилиси,10 гр,0.1949,110714,39485,3725,1449,True,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
71,07-04-2020 12:45:02,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,10,Тбилиси,10 гр,0.0496,28194,10055,949,369,True,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
72,07-04-2020 12:45:02,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,,нет,1,Тбилиси,10 гр,0.0402,22846,8148,769,299,True,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
73,07-04-2020 12:45:02,Tbilisi,8B31,GEOWEEDSHOP,20 gr Indica marijuana buds (hight quality),,нет,8,Тбилиси,20 гр,0.0539,30945,11036,1041,405,True,,True,,,,,,,20 gr Indica marijuana buds (hight quality)
74,07-04-2020 12:45:02,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0806,45768,16323,1540,599,True,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
75,07-04-2020 12:45:02,Tbilisi,8B31,GEOWEEDSHOP,50gr Georgian Indica dominant buds. The Best PRICE,,нет,13,Тбилиси,50 гр,0.133,76331,27223,2568,999,True,,True,,,,,,,50gr Georgian Indica dominant buds. The Best PRICE
76,07-04-2020 12:45:02,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 50шт. вес таблетки 450mg,,нет,1,Тбилиси,50 гр,0.1465,84048,29975,2828,1100,True,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
77,07-04-2020 12:45:02,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.3196,183378,65400,6170,2400,True,,,,,,,,,100 gr marijuana buds
78,07-04-2020 12:45:02,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2663,152815,54500,5142,2000,True,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
79,07-04-2020 12:45:02,Tbilisi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,,1,1,Тбилиси,100 гр,0.269,152815,54500,5142,2000,True,,,,,,,,,SUBOXIN - HQ - 100 G.
80,07-04-2020 12:45:02,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.3329,191019,68125,6427,2500,True,,,,,,,,,Marihuana [Shishki] [Gali] 100G
81,07-04-2020 12:45:02,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.6126,351474,125350,11826,4600,True,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
82,07-04-2020 12:45:02,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.9987,573056,204375,19281,7500,True,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
83,07-04-2020 12:45:02,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,1.1319,649463,231625,21852,8500,True,,,,,,,,,10000sht marki 25i-nbome. predoplata
84,07-04-2020 12:45:02,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0242,15281,5450,514,200,True,,,,,,,,,KURYER..500RUB.+BONUS
85,07-04-2020 12:45:02,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0266,15281,5450,514,200,True,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
86,07-04-2020 12:45:02,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0333,19102,6813,643,250,True,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
87,07-04-2020 12:45:02,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,2.0157,1146111,408750,38562,15000,True,,,,,,,,,Vakansija optovogo kur'era na mef
88,07-04-2020 12:46:44,Batumi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбооооом!!! 2 штуки!!!,,5,нет,Батуми,2 гр,0.0046,2903,1036,98,38,,,,,,,True,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 2 shtuki!!!
89,07-04-2020 12:46:44,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.293,168096,59950,5656,2200,,,,,,,True,,,[100g] SPAIN HASH
90,07-04-2020 12:46:44,Batumi,XH0NP,XX-PABLO-XX,MARIXYANA - 1 G. (SHISHKI) SALE 10% BTC,,нет,2,Батуми,1 гр,0.0135,7641,2725,257,100,,,,,,,True,,,MARIXYANA - 1 G. (SHISHKI) SALE 10% BTC
91,07-04-2020 12:46:44,Batumi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),,1,13,Батуми,5 гр,0.0242,15281,5450,514,200,,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
92,07-04-2020 12:46:44,Batumi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.269,152815,54500,5142,2000,,,,,,,True,,,SUBOXIN - HQ - 100 G.
93,07-04-2020 12:46:44,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0121,7641,2725,257,100,,,,,,,True,,,kur'er v Batumi
94,07-04-2020 12:46:44,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0303,19102,6813,643,250,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
95,07-04-2020 12:46:44,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0303,19102,6813,643,250,,,,,,,True,,,Ischu kur'era v Gruzii!
