,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),Saburtalo,Vake,Didube,€,Батуми,Центр,Кутаиси,desc_en
58,58,01-03-2020 17:48:22,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.8404,502432,185250,16793,7500.0,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
59,59,01-03-2020 17:48:22,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9525,569423,209950,19032,8500.0,,,,,,,,,10000sht marki 25i-nbome. predoplata
60,60,01-03-2020 17:48:22,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0204,13398,4940,448,200.0,,,,,,,,,KURYER..500RUB.+BONUS
61,61,01-03-2020 17:48:22,Tbilisi,8528108b62,Требуется Курьер,True,1,нет,Тбилиси,1 гр,0.0204,13398,4940,448,200.0,,,,,,,,,Trebuetsja Kur'er
62,62,01-03-2020 17:48:22,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0224,13398,4940,448,200.0,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
63,63,01-03-2020 17:48:22,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.027999999999999997,16748,6175,560,250.0,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
64,64,01-03-2020 17:48:22,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.6962,1004864,370500,33587,15000.0,,,,,,,,,Vakansija optovogo kur'era na mef
65,65,01-03-2020 17:50:07,Batumi,30f48d507d,Skunk! 50 gr.,,1,нет,Батуми,50 гр,0.1678,100486,37050,3359,1500.0,,,,,,True,,,Skunk! 50 gr.
66,66,01-03-2020 17:50:07,Batumi,f8a875c191,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE ),,2,5,Батуми,0.27 гр,0.0305,18088,6669,605,270.0,,,,,,True,,,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE )
67,67,01-03-2020 17:50:07,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,18,Батуми,5 гр,0.0203,13398,4940,448,200.0,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
68,68,01-03-2020 17:50:07,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2259,133982,49400,4478,2000.0,,,,,,True,,,SUBOXIN - HQ - 100 G.
69,69,01-03-2020 17:50:07,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.1695,100486,37050,3359,1500.0,,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
70,70,01-03-2020 17:50:07,Batumi,d4df7908c3,"Приходите к нам работать вторым кладменом (кладчик, курьер)",,1,нет,Батуми,1 гр,0.0113,6699,2470,224,100.0,,,,,,True,,,"Prihodite k nam rabotat' vtorym kladmenom (kladchik, kur'er)"
71,71,01-03-2020 17:50:07,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0051,3350,1235,112,50.0,,,,,,True,,,kur'er v Batumi
72,72,01-03-2020 17:50:07,Batumi,a5417660bf,Вакансия Курьера в Батуми,,1,нет,Батуми,3 гр,0.0051,3350,1235,112,50.0,,,,,,True,,,Vakansija Kur'era v Batumi
73,73,01-03-2020 17:50:07,Batumi,a5417660bf,Вакансия Курьера в Батуми,,1,нет,Батуми,5 гр,0.0076,5000,2301,167,,,,,,,True,,,Vakansija Kur'era v Batumi
74,74,01-03-2020 17:50:07,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0254,16748,6175,560,250.0,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
75,75,01-03-2020 17:50:07,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0254,16748,6175,560,250.0,,,,,,True,,,Ischu kur'era v Gruzii!
76,76,01-03-2020 17:50:07,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.693,1004864,370500,33587,15000.0,,,,,,True,,,Vakansija optovogo kur'era na mef
77,77,01-03-2020 17:50:07,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0559,33495,12350,1120,500.0,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
78,78,01-03-2020 17:51:30,Kutaisi,d4df7908c3,Шишки / weeds Afghan Kush - 2г,,1,нет,Кутаиси,2 гр,0.0084,4957,1828,166,74.0,,,,,,,,True,Shishki / weeds Afghan Kush - 2g
79,79,01-03-2020 17:51:30,Kutaisi,d4df7908c3,"Шишки / Weed Afghan Kush, 3g",,2,3,Кутаиси,3 гр,0.0122,7235,2668,242,108.0,,,,,,,,True,"Shishki / Weed Afghan Kush, 3g"
80,80,01-03-2020 17:51:30,Kutaisi,d4df7908c3,"Приходите к нам работать вторым кладменом (кладчик, курьер)",,1,нет,Кутаиси,1 гр,0.0113,6699,2470,224,100.0,,,,,,,,True,"Prihodite k nam rabotat' vtorym kladmenom (kladchik, kur'er)"
