,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Saburtalo,Zahesi,Дигоми,Varketili,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
85,85,25-06-2020 01:44:55,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0618,41234,16059,1419,599.0,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
86,86,25-06-2020 01:44:55,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,True,нет,5,Тбилиси,50 гр,0.1328,89420,34826,3078,1299.0,,,,,,,,,,,50 gr georgian weed. Package on magnet
87,87,25-06-2020 01:44:55,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,True,нет,4,Тбилиси,100 гр,0.2554,172025,66998,5921,2499.0,,,,,,,,,,,100 gr georgian weed. Package on magnet
88,88,25-06-2020 01:44:55,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2453,165210,64344,5686,2400.0,,,,,,,,,,,100 gr marijuana buds
89,89,25-06-2020 01:44:55,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2044,137675,53620,4738,2000.0,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
90,90,25-06-2020 01:44:55,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2555,172094,67025,5923,2500.0,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
91,91,25-06-2020 01:44:55,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.603,406142,158179,13978,5900.0,,,,,,,,,,,180 gr marihuana persoalno
92,92,25-06-2020 01:44:55,Tbilisi,e56bb6ca93,200gr Georgian indica dominant buds. WHOLESALE PRICE!,True,нет,4,Тбилиси,200 гр,0.4383,292560,113943,10069,4250.0,,,,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
93,93,25-06-2020 01:44:55,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4702,316653,123326,10898,4600.0,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
94,94,25-06-2020 01:44:55,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7665,516282,201075,17769,7500.0,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
