,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,€,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
74,26-02-2020 14:39:02,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана SABURTALO! если платите с бтк скидка 10% !!,True,нет,10,Тбилиси,5 гр,0.0266,16379,6175,557,250,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana SABURTALO! esli platite s btk skidka 10% !!
75,26-02-2020 14:39:02,Tbilisi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),True,нет,17,Тбилиси,5 гр,0.0193,13104,4940,445,200,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
76,26-02-2020 14:39:02,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2803,190000,87429,6506,,,,,,,,,,reagent 25i nbome. 5gr
77,26-02-2020 14:39:02,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.29,196553,74100,6680,3000,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
78,26-02-2020 14:39:02,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,5,Тбилиси,5 гр,0.0923,56280,21217,1913,859,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
79,26-02-2020 14:39:02,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,10,Тбилиси,5 гр,0.0199,12121,4570,412,185,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
80,26-02-2020 14:39:02,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0525,32038,12078,1089,489,,,,,,,,,💘✨5g. MDMA ✨💘
81,26-02-2020 14:39:02,Tbilisi,9VLN,AlienShop,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩,True,нет,5,Тбилиси,5 гр,0.0353,21555,8126,733,329,,,,,,,,,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩
82,26-02-2020 14:39:02,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,5,Тбилиси,5 гр,0.0193,11793,4446,401,180,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
83,26-02-2020 14:39:02,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0957,58966,22230,2004,900,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
84,26-02-2020 14:39:02,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.0744,45862,17290,1559,700,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
85,26-02-2020 14:39:02,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0424,26142,9855,889,399,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
86,26-02-2020 14:39:02,Tbilisi,7B8EQ,w1ld1nd1an,"10g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,2,Тбилиси,10 гр,0.2417,163794,61750,5567,2500,,,,,,,,,"10g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
87,26-02-2020 14:39:02,Tbilisi,NVOG,ProperMgzn,10x Extasy Duracell 223mg MDMA.,True,1,5,Тбилиси,10 гр,0.0376,22931,8645,779,350,,,,,,,,,10x Extasy Duracell 223mg MDMA.
88,26-02-2020 14:39:02,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.0851,52414,19760,1781,800,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
89,26-02-2020 14:39:02,Tbilisi,V4QM9,PotHero420,"Godfather OG - (Only Buds, IMPORT) Шишки(всегда подъезд) 10G (BTC sale 10%) (предзаказ будет сделан очень оперативно)",True,нет,5,Тбилиси,10 гр,0.0386,26142,9855,889,399,,,,,,,,,"Godfather OG - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 10G (BTC sale 10%) (predzakaz budet sdelan ochen' operativno)"
90,26-02-2020 14:39:02,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2366,145777,54958,4955,2225,,,,,,,,,Amfetamin [White] [Import] 10G
91,26-02-2020 14:39:02,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,10,Тбилиси,10 гр,0.1556,94935,35790,3227,1449,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
92,26-02-2020 14:39:02,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0396,24176,9114,822,369,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
93,26-02-2020 14:39:02,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,5,Тбилиси,10 гр,0.0321,19590,7385,666,299,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
94,26-02-2020 14:39:02,Tbilisi,7B8EQ,w1ld1nd1an,"20g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,8,Тбилиси,20 гр,0.319,216208,81510,7348,3300,,,,,,,,,"20g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
95,26-02-2020 14:39:02,Tbilisi,NVOG,ProperMgzn,20x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,20 гр,0.0752,45862,17290,1559,700,,,,,,,,,20x Extasy Duracell 223mg MDMA.
96,26-02-2020 14:39:02,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,10,Тбилиси,20 гр,0.0643,39245,14795,1334,599,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
97,26-02-2020 14:39:02,Tbilisi,ABOAB,ProGrow,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.0714,45862,17290,1559,700,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
98,26-02-2020 14:39:02,Tbilisi,RGIUB,SaintJoint,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.116,78621,29640,2672,1200,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
99,26-02-2020 14:39:02,Tbilisi,ABOAB,ProGrow,50G -- HYBRID-> Скидка 5% за BTC,True,нет,1,Тбилиси,50 гр,0.1019,65452,24675,2225,999,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
100,26-02-2020 14:39:02,Tbilisi,9VVG,ToWeedShop,Hybrid Skunk! 50 gr,True,нет,2,Тбилиси,50 гр,0.101,62242,23465,2115,950,,,,,,,,,Hybrid Skunk! 50 gr
101,26-02-2020 14:39:02,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2127,131035,49400,4454,2000,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
