,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Дигоми,Old Tbilisi (Старый город),Vake,Tbilisis Zgva,Авлобари,Varketili,Батуми,Центр,desc_en
84,84,27-07-2020 08:01:06,Batumi,3c9bc6f8e9,Gelato Grinded Moonrocks (измельченные мунроки) Эксклюзив. 5гр,,1,нет,Батуми,5 гр,0.025,20047,7846,669,,,280.0,,,,,,,True,,Gelato Grinded Moonrocks (izmel'chennye munroki) Ekskljuziv. 5gr
85,85,27-07-2020 08:01:06,Batumi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,2,Батуми,1 гр,0.0357,25762,10106,859,310.0,,,,,,,,,True,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
86,86,27-07-2020 08:01:06,Batumi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,4,Батуми,10 гр,0.0506,36565,14344,1219,440.0,,,,,,,,,True,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
87,87,27-07-2020 08:01:06,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,4,Батуми,11 гр,0.0449,32410,12714,1081,390.0,,,,,,,,,True,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
88,88,27-07-2020 08:01:06,Batumi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,1,Батуми,11 гр,0.0459,33158,13007,1106,399.0,,,,,,,,,True,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
89,89,27-07-2020 08:01:06,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0089,7160,2802,239,,,100.0,,,,,,,True,,kur'er v Batumi
90,90,27-07-2020 08:01:06,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0223,17899,7005,597,,,250.0,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
91,91,27-07-2020 08:01:06,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0223,17899,7005,597,,,250.0,,,,,,,True,,Ischu kur'era v Gruzii!
92,92,27-07-2020 08:01:06,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0197,14319,5604,478,,,200.0,,,,,,,True,,Kur'er Batumi na marihuanu
93,93,27-07-2020 08:01:06,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.4872,1073961,420300,35847,,,15000.0,,,,,,,True,,Vakansija optovogo kur'era na mef
94,94,27-07-2020 08:01:06,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,2,Батуми,1000 гр,0.0491,35799,14010,1195,,,500.0,,,,,,,,True,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
