,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Varketili,Didube,Дигоми,Gldani,Авлобари,Saburtalo,Vake,Old Tbilisi (Старый город),Батуми,Центр,Кутаиси,desc_en
80,19-04-2020 14:03:14,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0339,18486,6850,611,250,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
81,19-04-2020 14:03:14,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),True,нет,1,Тбилиси,25 гр,0.0271,14789,5480,489,200,,,,,,,,,,,,Rabota na marki (kur'er)
82,19-04-2020 14:03:14,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,2.0513,1109162,411000,36675,15000,,,,,,,,,,,,Vakansija optovogo kur'era na mef
83,19-04-2020 14:04:30,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2979,162677,60280,5379,2200,,,,,,,,,True,,,[100g] SPAIN HASH
84,19-04-2020 14:04:30,Batumi,F1CR,PvPalpha,Ск синий крис очень сильный 3гр,,нет,2,Батуми,3 гр,0.0406,24402,9042,807,330,,,,,,,,,,True,,Sk sinij kris ochen' sil'nyj 3gr
85,19-04-2020 14:04:30,Batumi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2735,147888,54800,4890,2000,,,,,,,,,True,,,SUBOXIN - HQ - 100 G.
86,19-04-2020 14:04:30,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0123,7394,2740,245,100,,,,,,,,,True,,,kur'er v Batumi
87,19-04-2020 14:04:30,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0308,18486,6850,611,250,,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
88,19-04-2020 14:04:30,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0308,18486,6850,611,250,,,,,,,,,True,,,Ischu kur'era v Gruzii!
89,19-04-2020 14:04:30,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.0495,1109162,411000,36675,15000,,,,,,,,,True,,,Vakansija optovogo kur'era na mef
90,19-04-2020 14:04:30,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0677,36972,13700,1223,500,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
91,19-04-2020 14:05:32,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,3,нет,Кутаиси,1.5 гр,0.0213,11757,4357,389,159,,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
92,19-04-2020 14:05:32,Kutaisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,2 гр,0.0538,29356,10878,971,397,,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
93,19-04-2020 14:05:32,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,10,нет,Кутаиси,3 гр,0.039,21296,7891,704,288,,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
94,19-04-2020 14:05:32,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0271,14789,5480,489,200,,,,,,,,,,,True,Rabota na marki (kur'er)
