,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Old Tbilisi (Старый город),Didube,€,Авлобари,Батуми,Центр,Кутаиси,desc_en
57,57,10-04-2020 10:29:55,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0441,23874,8800,805,320.0,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
58,58,10-04-2020 10:29:55,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.1102,59684,22000,2013,800.0,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
59,59,10-04-2020 10:29:55,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.3064,165996,61188,5598,2225.0,,,,,,,,,Amfetamin [White] [Import] 10G
60,60,10-04-2020 10:29:55,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 10 штук!!! (спец предзаказ),True,4,3,Тбилиси,10 гр,0.0136,8109,3005,274,,,,,100.0,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 10 shtuk!!! (spets predzakaz)
61,61,10-04-2020 10:29:55,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,8,Тбилиси,10 гр,0.2015,108103,39848,3646,1449.0,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
62,62,10-04-2020 10:29:55,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0513,27529,10148,928,369.0,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
63,63,10-04-2020 10:29:55,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,1,Тбилиси,10 гр,0.0416,22307,8223,752,299.0,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
64,64,10-04-2020 10:29:55,Tbilisi,e56bb6ca93,20 gr Indica marijuana buds (hight quality),True,нет,7,Тбилиси,20 гр,0.0558,30215,11138,1019,405.0,True,,,,,,,,20 gr Indica marijuana buds (hight quality)
65,65,10-04-2020 10:32:47,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.3043,164131,60500,5535,2200.0,,,,,,True,,,[100g] SPAIN HASH
66,66,10-04-2020 10:32:47,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,12,Батуми,5 гр,0.0251,14921,5500,503,200.0,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
