,time_stamp,region,sell_code,sell_name,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Gldani,Тбилиси,$,Saburtalo,Varketili,Vazisubani,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
55,06-06-2020 22:51:56,Tbilisi,9VLN,AlienShop,✨💘20g MDMA💘✨,,нет,3,Тбилиси,20 гр,0.139,102948,40275,3572,,,True,1500,,,,,,,,,✨💘20g MDMA💘✨
56,06-06-2020 22:51:56,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0617,41111,16083,1426,,,True,599,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
57,06-06-2020 22:51:56,Tbilisi,7LHWP,GEOBUDS,50 gr georgian weed. Package on magnet,,нет,5,Тбилиси,50 гр,0.1324,89153,34878,3093,,,True,1299,,,,,,,,,50 gr georgian weed. Package on magnet
58,06-06-2020 22:51:56,Tbilisi,7LHWP,GEOBUDS,100 gr georgian weed. Package on magnet,,нет,4,Тбилиси,100 гр,0.2547,171511,67098,5950,,,True,2499,,,,,,,,,100 gr georgian weed. Package on magnet
59,06-06-2020 22:51:56,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2446,164717,64440,5714,,,True,2400,,,,,,,,,100 gr marijuana buds
60,06-06-2020 22:51:56,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2038,137264,53700,4762,,,True,2000,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
61,06-06-2020 22:51:56,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2548,171580,67125,5953,,,True,2500,,,,,,,,,Marihuana [Shishki] [Gali] 100G
62,06-06-2020 22:51:56,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6014,404928,158415,14048,,,True,5900,,,,,,,,,180 gr marihuana persoalno
63,06-06-2020 22:51:56,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.4689,315707,123510,10953,,,True,4600,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
64,06-06-2020 22:51:56,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.7644,514739,201375,17858,,,True,7500,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
