,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Vake,€,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
59,59,06-03-2020 22:51:36,Tbilisi,64284550d9,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.0715,47262,17591,1565,700.0,,,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
60,60,06-03-2020 22:51:36,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1161,81021,30156,2683,1200.0,,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
61,61,06-03-2020 22:51:36,Tbilisi,64284550d9,50G -- HYBRID-> Скидка 5% за BTC,True,нет,1,Тбилиси,50 гр,0.102,67450,25105,2233,999.0,,,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
62,62,06-03-2020 22:51:36,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2129,135035,50260,4471,2000.0,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
63,63,06-03-2020 22:51:36,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.215,135035,50260,4471,2000.0,,,,,,,,,,,SUBOXIN - HQ - 100 G.
64,64,06-03-2020 22:51:36,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2661,168794,62825,5589,2500.0,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
65,65,06-03-2020 22:51:36,Tbilisi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.1612,101276,37695,3354,1500.0,,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
66,66,06-03-2020 22:51:36,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4896,310581,115598,10284,4600.0,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
67,67,06-03-2020 22:51:36,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7982,506381,188475,16768,7500.0,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
68,68,06-03-2020 22:51:36,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9046,573899,213605,19003,8500.0,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
69,69,06-03-2020 22:52:27,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0194,13504,5026,447,200.0,,,,,,,,,,,KURYER..500RUB.+BONUS
70,70,06-03-2020 22:52:27,Tbilisi,8528108b62,Требуется Курьер,True,1,нет,Тбилиси,1 гр,0.0194,13504,5026,447,200.0,,,,,,,,,,,Trebuetsja Kur'er
71,71,06-03-2020 22:52:27,Tbilisi,54915c4374,Работа на марки (курьер),True,1,нет,Тбилиси,10 гр,0.0145,10128,3770,335,150.0,,,,,,,,,,,Rabota na marki (kur'er)
72,72,06-03-2020 22:52:27,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0213,13504,5026,447,200.0,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
