,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,€,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
54,54,25-02-2020 01:28:35,Tbilisi,366326d4d6,NEW !!! 5G White Widow !!! NEW,True,2,нет,Тбилиси,5 гр,0.0156,9902,3775,341,154.0,,,,,,,,,,NEW !!! 5G White Widow !!! NEW
55,55,25-02-2020 01:28:35,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 5g.,True,1,нет,Тбилиси,5 гр,0.0782,55234,21054,1900,859.0,,,,,,,,,,VHQ BEST Cocaine 5g.
56,56,25-02-2020 01:28:35,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,2,нет,Тбилиси,5 гр,0.0059,4180,1593,144,65.0,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
57,57,25-02-2020 01:28:35,Tbilisi,c225d2f67d,гашиш евро 5г,True,1,нет,Тбилиси,5 гр,0.0202,13503,5147,465,210.0,,,,,,,,,,gashish evro 5g
58,58,25-02-2020 01:28:35,Tbilisi,7ee4f68218,🍃 5гр ГАШИШ 🍃,True,3,нет,Тбилиси,5 гр,0.026000000000000002,17361,6618,597,270.0,,,,,,,,,,🍃 5gr GAShISh 🍃
59,59,25-02-2020 01:28:35,Tbilisi,7ee4f68218,"10 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg",True,1,нет,Тбилиси,10 гр,0.0311,20826,7959,717,,,,300.0,,,,,,,"10 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg"
60,60,25-02-2020 01:28:35,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,True,12,нет,Тбилиси,10 гр,0.0267,17168,6544,591,267.0,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
61,61,25-02-2020 01:28:35,Tbilisi,8219f5e7b8,"LSD - 250 ug, 10 pieces",True,3,нет,Тбилиси,10 гр,0.0303,19290,7353,664,300.0,,,,,,,,,,"LSD - 250 ug, 10 pieces"
62,62,25-02-2020 01:28:35,Tbilisi,e501bd0ada,"special mix 10 g - gorila glue, amnezia, laughing buddha, northen light",True,2,нет,Тбилиси,10 гр,0.0319,22505,8579,774,350.0,,,,,,,,,,"special mix 10 g - gorila glue, amnezia, laughing buddha, northen light"
63,63,25-02-2020 01:28:35,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0385,25720,9804,885,400.0,,,,,,,,,,gashish evro 10g
