,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,$,Saburtalo,Gldani,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
51,19-05-2020 09:18:03,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,2,Тбилиси,5 гр,0.0197,5056,461,13793,189,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
52,19-05-2020 09:18:03,Tbilisi,A3I9,Joookerrr,"""Express Batumi"" марки н-боооом 8 шт.",True,нет,4,Тбилиси,8 гр,0.0103,2675,244,7298,100,,,,,,,,,,"""Express Batumi"" marki n-boooom 8 sht."
53,19-05-2020 09:18:03,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0931,24075,2193,65682,900,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
54,19-05-2020 09:18:03,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0414,10700,975,29192,400,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
55,19-05-2020 09:18:03,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0724,18725,1706,51086,700,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
56,19-05-2020 09:18:03,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0434,11235,1023,30652,420,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
57,19-05-2020 09:18:03,Tbilisi,18FB,Mr.Green Tbilis,10G Hybrid Marijuana Leafs,True,нет,38,Тбилиси,10 гр,0.0103,2675,244,7298,100,,,,,,,,,,10G Hybrid Marijuana Leafs
58,19-05-2020 09:18:03,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0827,21400,1949,58384,800,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
59,19-05-2020 09:18:03,Tbilisi,6P9R,RickNMorty,VHQ Jamaican Dream 19% Thc 10 Gr,True,нет,1,Тбилиси,10 гр,0.03,7758,707,21164,290,,,,,,,,,,VHQ Jamaican Dream 19% Thc 10 Gr
60,19-05-2020 09:18:03,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2301,59519,5421,162380,2225,,,,,,,,,,Amfetamin [White] [Import] 10G
