,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Gldani,Saburtalo,Varketili,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
82,82,30-06-2020 00:51:43,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5761,1049270,403500,35759,,True,15000.0,,,,,,,,Vakansija optovogo kur'era na mef
83,83,30-06-2020 00:54:06,Batumi,3b3ba4f5a5,Мощные шишки NORTHERN LIGHTS (INDICA) 5г,,2,нет,Батуми,5 гр,0.0298,20286,7801,691,,,290.0,,,,,,True,,Moschnye shishki NORTHERN LIGHTS (INDICA) 5g
84,84,30-06-2020 00:54:06,Batumi,3c4662c591,Super Critical 10G,,4,нет,Батуми,10 гр,0.0467,31478,12105,1073,,,450.0,,,,,,,True,Super Critical 10G
85,85,30-06-2020 00:54:06,Batumi,f8a875c191,METADON - 0.25 - SALE,,нет,10,Батуми,0.25 гр,0.0262,17488,6725,596,,,250.0,,,,,,True,,METADON - 0.25 - SALE
86,86,30-06-2020 00:54:06,Batumi,54915c4374,Геройн (сирец) 5 гр,,нет,2,Батуми,5 гр,0.1558,104927,40350,3576,,,1500.0,,,,,,True,,Gerojn (sirets) 5 gr
87,87,30-06-2020 00:54:06,Batumi,54915c4374,Сирец (геройн) очень сильный 10 гр,,нет,2,Батуми,10 гр,0.2285,153893,59180,5245,,,2200.0,,,,,,True,,Sirets (gerojn) ochen' sil'nyj 10 gr
88,88,30-06-2020 00:54:06,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.168,112990,51992,3897,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
89,89,30-06-2020 00:54:06,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2659,178900,82321,6170,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
90,90,30-06-2020 00:54:06,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0094,6995,2690,238,,,100.0,,,,,,True,,kur'er v Batumi
91,91,30-06-2020 00:54:06,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0236,17488,6725,596,,,250.0,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
92,92,30-06-2020 00:54:06,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0236,17488,6725,596,,,250.0,,,,,,True,,Ischu kur'era v Gruzii!
93,93,30-06-2020 00:54:06,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0208,13990,5380,477,,,200.0,,,,,,True,,Kur'er Batumi na marihuanu
94,94,30-06-2020 00:54:06,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5719999999999998,1049270,403500,35759,,,15000.0,,,,,,True,,Vakansija optovogo kur'era na mef
95,95,30-06-2020 00:54:06,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0519,34976,13450,1192,,,500.0,,,,,,True,True,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
