,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Didube,Gldani,Vazisubani,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
66,23-05-2020 00:44:27,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6254,424094,159064,14075,5900,,,,,,,,,,,,180 gr marihuana persoalno
67,23-05-2020 00:44:27,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4876,330650,124016,10974,4600,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
68,23-05-2020 00:44:27,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.795,539103,202200,17892,7500,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
69,23-05-2020 00:45:03,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7931,539103,202200,17892,7500,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
70,23-05-2020 00:45:03,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8988,610983,229160,20278,8500,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
71,23-05-2020 00:45:03,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0192,14376,5392,477,200,,,,,,,,,,,,KURYER..500RUB.+BONUS
72,23-05-2020 00:45:03,Tbilisi,8B31,GEOWEEDSHOP,"Работа курьером в Тбилиси, ЗП от 4500$ в месяц, залог от 400$",True,1,нет,Тбилиси,1 гр,0.0423,28752,10784,954,400,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 4500$ v mesjats, zalog ot 400$"
73,23-05-2020 00:45:03,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0211,14376,5392,477,200,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
74,23-05-2020 00:45:03,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0264,17970,6740,596,250,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
75,23-05-2020 00:45:03,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.6006,1078206,404400,35784,15000,,,,,,,,,,,,Vakansija optovogo kur'era na mef
76,23-05-2020 00:46:51,Batumi,EIH4,San4oPan4o,ГАШИШ твердый!!! Hash!!!! 0.5 g !!! SALE!!! !!! БАТУМИ !!! BTC SALE 5%!!!,,6,нет,Батуми,0.5 гр,0.0063,4313,1618,143,60,,,,,,,,,True,,,GAShISh tverdyj!!! Hash!!!! 0.5 g !!! SALE!!! !!! BATUMI !!! BTC SALE 5%!!!
77,23-05-2020 00:46:51,Batumi,1L2R,svanweed,svan ice 1g,,1,нет,Батуми,1 гр,0.004,3019,1132,100,42,,,,,,,,,True,,,svan ice 1g
78,23-05-2020 00:46:51,Batumi,EIH4,San4oPan4o,ГАШИШ твердый!!! Hash!!!! 1 g !!! SALE!!! !!! БАТУМИ !!! BTC SALE 5%!!!,,1,нет,Батуми,1 гр,0.011,7547,2831,250,105,,,,,,,,,True,,,GAShISh tverdyj!!! Hash!!!! 1 g !!! SALE!!! !!! BATUMI !!! BTC SALE 5%!!!
79,23-05-2020 00:46:51,Batumi,Z9UT,Rainbow,шишки марихуаны 5G,,8,нет,Батуми,5 гр,0.0317,21564,8088,716,300,,,,,,,,,,True,,shishki marihuany 5G
80,23-05-2020 00:46:51,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2321,158137,59312,5248,2200,,,,,,,,,True,,,[100g] SPAIN HASH
81,23-05-2020 00:46:51,Batumi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм (предзаказ) скидка 10%",,нет,5,Батуми,0.5 гр,0.009,6110,2292,203,85,,,,,,,,,True,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm (predzakaz) skidka 10%"
