,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),Saburtalo,Авлобари,Дигоми,Varketili,Gldani,Didube,Nadzaladevi,€,Центр,Батуми,Кутаиси,desc_en
53,06-05-2020 14:16:47,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0578,39999,14878,1342,550,,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
54,06-05-2020 14:16:47,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,10,Тбилиси,5 гр,0.0247,17091,6357,574,235,,,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
55,06-05-2020 14:16:47,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,7,Тбилиси,5 гр,0.0252,17454,6492,586,240,,,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
56,06-05-2020 14:16:47,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,5 гр,0.0242,16727,6222,561,230,,,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
57,06-05-2020 14:16:47,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,True,нет,3,Тбилиси,5 гр,0.0252,17454,6492,586,240,,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
58,06-05-2020 14:16:47,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,5,Тбилиси,5 гр,0.0252,17454,6492,586,240,,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
59,06-05-2020 14:16:47,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0252,17454,6492,586,240,,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
60,06-05-2020 14:16:47,Tbilisi,BB6E,WEEDSH0P,5gr Stardawg Auto WEED BUDS,True,нет,10,Тбилиси,5 гр,0.0252,17454,6492,586,240,,,,,,,,,,,,,5gr Stardawg Auto WEED BUDS
61,06-05-2020 14:16:47,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0242,16727,6222,561,230,,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
62,06-05-2020 14:16:47,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0209,15927,5924,534,219,,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
63,06-05-2020 14:16:47,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0247,17091,6357,574,235,,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
64,06-05-2020 14:16:47,Tbilisi,6P9R,RickNMorty,VHQ Jamaican Dream 19% Thc 5 Gr,True,нет,1,Тбилиси,5 гр,0.0168,11636,4328,390,160,,,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 5 Gr
65,06-05-2020 14:16:47,Tbilisi,A3I9,Joookerrr,"Марки Н-ВоооооМ!!!! ""Джокер экспресс"" 5 штук",True,нет,72,Тбилиси,5 гр,0.0053,3636,1353,122,50,,,,,,,,,,,,,"Marki N-VoooooM!!!! ""Dzhoker ekspress"" 5 shtuk"
66,06-05-2020 14:16:47,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2495,190000,87429,6259,,,,,,,,,,,,,,reagent 25i nbome. 5gr
67,06-05-2020 14:16:47,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2865,218179,81150,7321,3000,True,,True,,,,,,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
68,06-05-2020 14:16:47,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,9,Тбилиси,5 гр,0.1017,69745,25941,2340,959,,,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
69,06-05-2020 14:17:21,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2864,218179,81150,7321,3000,True,,True,,,,,,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
70,06-05-2020 14:17:21,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,9,Тбилиси,5 гр,0.1017,69745,25941,2340,959,,,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
71,06-05-2020 14:17:21,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0202,13818,5140,464,190,,,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
72,06-05-2020 14:17:21,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0519,35563,13227,1193,489,,,,,,,,,,,,,💘✨5g. MDMA ✨💘
73,06-05-2020 14:17:21,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,3,Тбилиси,5 гр,0.02,13745,5112,461,189,,,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
74,06-05-2020 14:17:21,Tbilisi,A3I9,Joookerrr,"""Джокер экспрес"" марки нбооом 10 шт",True,нет,8,Тбилиси,10 гр,0.0116,8000,2976,268,110,,,,,,,,,,,,,"""Dzhoker ekspres"" marki nbooom 10 sht"
75,06-05-2020 14:17:21,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0945,65454,24345,2196,900,,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
76,06-05-2020 14:17:21,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.042,29091,10820,976,400,,,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
77,06-05-2020 14:17:21,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,3,Тбилиси,10 гр,0.0735,50908,18935,1708,700,,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
78,06-05-2020 14:17:21,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0336,23272,8656,781,320,,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
79,06-05-2020 14:17:21,Tbilisi,18FB,Mr.Green Tbilis,10G Hybrid Marijuana Leafs,True,нет,40,Тбилиси,10 гр,0.0105,7273,2705,244,100,,,,,,,,,,,,,10G Hybrid Marijuana Leafs
80,06-05-2020 14:17:21,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.084,58181,21640,1952,800,,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
81,06-05-2020 14:17:21,Tbilisi,6P9R,RickNMorty,VHQ Jamaican Dream 19% Thc 10 Gr,True,нет,1,Тбилиси,10 гр,0.0305,21091,7845,708,290,,,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 10 Gr
82,06-05-2020 14:17:21,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2336,161816,60186,5430,2225,,,,,,,,,,,,,Amfetamin [White] [Import] 10G
83,06-05-2020 14:17:21,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,5,Тбилиси,10 гр,0.1653,113380,42171,3805,1559,,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
84,06-05-2020 14:17:21,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0391,26836,9981,901,369,,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
85,06-05-2020 14:17:21,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5303,363632,135250,12202,5000,,,,,,,,,,,,,METADON - 20 G.
86,06-05-2020 14:17:21,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0635,43563,16203,1462,599,,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
87,06-05-2020 14:17:21,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1155,79999,29755,2684,1100,,,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
88,06-05-2020 14:17:21,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.252,174543,64920,5857,2400,,,,,,,,,,,,,100 gr marijuana buds
89,06-05-2020 14:17:21,Tbilisi,PTO3,MeDuZa777,AKA-47 ONLY BUDS 100g TOP VHQ,True,нет,1,Тбилиси,100 гр,0.315,218179,81150,7321,3000,,,,,,,,,,,,,AKA-47 ONLY BUDS 100g TOP VHQ
90,06-05-2020 14:17:21,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.21,145453,54100,4881,2000,,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
91,06-05-2020 14:17:21,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2625,181816,67625,6101,2500,,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
92,06-05-2020 14:17:21,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6195,429085,159595,14398,5900,,,,,,,,,,,,,180 gr marihuana persoalno
93,06-05-2020 14:17:21,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.483,334541,124430,11226,4600,,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
94,06-05-2020 14:17:21,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7876,545447,202875,18303,7500,,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
95,06-05-2020 14:17:21,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8926,618174,229925,20743,8500,,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
96,06-05-2020 14:17:21,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0191,14545,5410,488,200,,,,,,,,,,,,,KURYER..500RUB.+BONUS
97,06-05-2020 14:17:21,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.021,14545,5410,488,200,,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
98,06-05-2020 14:17:21,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0263,18182,6763,610,250,,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
